Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
FLWS,$9.82,1440008402343,"64,201",100% bullish,of 5 ratings,$15
TFSC,NULL,1440008402380,0,100% bearish,of 1 rating,N/A
FCCY,NULL,1440008402410,0,100% bullish,of 1 rating,$13
TFSCW,NULL,1440008402431,0,100% bearish,of 1 rating,N/A
FCTY,$7.56,1440008402473,"4,300",100% bullish,of 1 rating,$8.50
TFSCU,NULL,1440008402499,0,Not yet rated,NULL,N/A
TFSCR,NULL,1440008402520,0,Not yet rated,NULL,N/A
PIH,$7.41,1440008402776,700,100% bearish,of 1 rating,N/A
TWOU,$35.39,1440008402810,"139,460",50% bullish,of 2 ratings,$39
UGLD,$9.18,1440008402855,"75,933",100% bearish,of 1 rating,N/A
DSLV,$62.01,1440008402910,"20,352",100% bearish,of 1 rating,N/A
SRCE,$30.98,1440008402939,"12,888",100% bullish,of 3 ratings,$33
VNET,$20.67,1440008402986,"222,400",60% bullish,of 5 ratings,$29.50
USLV,$14.5618,1440008403011,"250,429",86% bullish,of 7 ratings,N/A
JOBS,$27.4,1440008403075,"45,448",50% bullish,of 4 ratings,$36
DGLD,$82.354,1440008403342,"11,595",100% bullish,of 1 rating,N/A
SIXD,$2.33,1440008403377,"174,096",Not yet rated,NULL,N/A
CAFD,$14.92,1440008403449,"96,412",Not yet rated,NULL,$25
AVHI,$14.3,1440008403502,"14,751",100% bearish,of 1 rating,$19
SHLM,$35.585,1440008403523,"76,211",100% bearish,of 1 rating,$50
AAON,$22.88,1440008403556,"36,238",100% bearish,of 1 rating,$24
ABGB,$4.22,1440008403667,"78,544",67% bullish,of 3 ratings,$5.50
EGHT,$8.6,1440008403707,"99,801",82% bullish,of 17 ratings,$11
ABY,$21.08,1440008403771,"166,177",100% bearish,of 2 ratings,$46
ABEO,$5.42,1440008403848,"160,728",67% bullish,of 3 ratings,$15.50
ABAX,$48.005,1440008403879,"61,538",100% bearish,of 1 rating,$60
ABMD,$105.57,1440008403901,"243,206",75% bullish,of 4 ratings,$86
ABEOW,$2,1440008403922,"3,689",100% bullish,of 1 rating,N/A
ACTG,$8.7999,1440008404070,"129,805",67% bullish,of 3 ratings,$18.50
AXAS,$1.64,1440008404096,"420,533",78% bullish,of 9 ratings,$3.50
ACHC,$79.51,1440008404263,"420,531",50% bullish,of 2 ratings,$92
ACAD,$38.47,1440008404338,"252,436",85% bullish,of 20 ratings,$48
ACST,$0.3634,1440008404444,"3,300",100% bullish,of 2 ratings,N/A
ARAY,$5.945,1440008404478,"988,308",100% bearish,of 1 rating,$10.50
AXDX,$18.8,1440008404529,"68,149",100% bearish,of 1 rating,N/A
ANCX,$19.05,1440008404575,"11,403",Not yet rated,NULL,$19
VXUP,$17.37,1440008404608,"9,950",Not yet rated,NULL,N/A
ACET,$25.35,1440008404707,"64,786",75% bullish,of 4 ratings,$30
ACRX,$4.22,1440008404732,"150,453",67% bearish,of 6 ratings,$5.50
XLRN,$31.12,1440008404773,"73,942",50% bullish,of 2 ratings,$57
AKAO,$6.99,1440008404902,"22,653",75% bullish,of 4 ratings,$15
ACIW,$22.8,1440008404928,"78,017",50% bullish,of 2 ratings,$24
VXDN,$14.5,1440008405064,"1,538",Not yet rated,NULL,N/A
ACHN,$8.41,1440008405090,"717,813",90% bullish,of 21 ratings,$16
ACOR,$30.7528,1440008405149,"81,284",67% bearish,of 3 ratings,$38.50
ACNB,$20.22,1440008405248,"1,063",Not yet rated,NULL,N/A
ACPW,$1.87,1440008405276,"14,664",100% bullish,of 4 ratings,$3.50
ACTS,$1.4,1440008405306,"20,404",100% bearish,of 1 rating,N/A
ATVI,$29.09,1440008405409,"1,496,791",68% bullish,of 84 ratings,$31.50
ACTA,$13.76,1440008405465,"44,588",67% bearish,of 3 ratings,$25
ACXM,$20.94,1440008405492,"153,479",67% bullish,of 3 ratings,N/A
ACUR,$0.6221,1440008405545,"37,702",100% bullish,of 5 ratings,$1
ADUS,$30.3,1440008405768,"26,282",100% bearish,of 1 rating,$31
ADMS,$20.46,1440008405798,"31,133",100% bearish,of 2 ratings,$36
ADAP,$15.2899,1440008405820,"26,417",67% bullish,of 3 ratings,$22
ADMP,$3.74,1440008405850,"14,385",50% bullish,of 2 ratings,$10
AEY,$2.3501,1440008405905,"18,199",100% bearish,of 2 ratings,N/A
ADEP,$7.3162,1440008406135,"11,153",50% bullish,of 2 ratings,$10.75
ADMA,$9.59,1440008406337,"4,300",Not yet rated,NULL,$19
AEIS,$25.89,1440008406513,"52,436",50% bullish,of 2 ratings,$32.50
AMD,$1.795,1440008406722,"3,092,102",83% bullish,of 102 ratings,$2
ADBE,$85.82,1440008406756,"787,595",65% bullish,of 17 ratings,$90
ADRO,$21.37,1440008406830,"83,544",80% bullish,of 5 ratings,$45.50
ADTN,$15.94,1440008407241,"173,227",67% bullish,of 3 ratings,$17.125
ADXS,$15.12,1440008407454,"338,414",64% bullish,of 14 ratings,$27
AEGN,$18.98,1440008407617,"77,576",100% bearish,of 1 rating,$21
YPRO,$23.0899,1440008407648,"19,713",100% bearish,of 1 rating,N/A
MULT,NULL,1440008407672,0,100% bearish,of 1 rating,N/A
AEGR,$18.0675,1440008407697,"118,867",50% bullish,of 6 ratings,$26
ADXSW,$10.8799,1440008407733,"19,871",100% bullish,of 1 rating,N/A
AMTX,$3.41,1440008407761,"5,802",50% bullish,of 2 ratings,$26.11
AEHR,$2.207,1440008407827,"1,312",50% bullish,of 2 ratings,N/A
AEZS,$0.1101,1440008407957,"7,904,601",90% bullish,of 21 ratings,$1.50
AVAV,$25.73,1440008407995,"43,456",50% bullish,of 4 ratings,$31
AEPI,$57.68,1440008408023,"3,440",100% bearish,of 1 rating,N/A
AEMD,$6.895,1440008408050,"18,635",Not yet rated,NULL,$27.50
AERI,$16.51,1440008408072,"180,690",75% bullish,of 4 ratings,$31.50
AFFX,$9.78,1440008408293,"66,120",80% bullish,of 5 ratings,$12
AFMD,$11.07,1440008408426,"168,953",50% bullish,of 4 ratings,$15
AGRX,$8.63,1440008408458,"8,999",100% bearish,of 1 rating,$18
AGEN,$7.63,1440008408480,"249,947",85% bullish,of 13 ratings,$14
AGYS,$9.4,1440008408565,"3,722",100% bearish,of 1 rating,N/A
AGIO,$94.495,1440008408703,"142,037",88% bullish,of 8 ratings,$114
AGFS,$9.98,1440008408733,"132,578",100% bearish,of 1 rating,N/A
