Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
FCTY,$8.01,1440624002275,"4,467",100% bullish,of 1 rating,$8.50
TFSCW,NULL,1440624002332,0,100% bearish,of 1 rating,N/A
FCCY,$11.6,1440624002358,"2,264",100% bullish,of 1 rating,$13
PIH,$7.22,1440624002387,"6,200",100% bearish,of 1 rating,N/A
TFSCR,NULL,1440624002407,0,Not yet rated,NULL,N/A
TFSCU,NULL,1440624002428,0,Not yet rated,NULL,N/A
TFSC,$9.73,1440624002460,"11,900",100% bearish,of 1 rating,N/A
VNET,$15.77,1440624002693,"930,701",60% bullish,of 5 ratings,$29.50
DGLD,$83.54,1440624002732,"18,113",100% bullish,of 1 rating,N/A
TWOU,$34.59,1440624002787,"167,487",50% bullish,of 2 ratings,$39
JOBS,$27.03,1440624002823,"83,386",50% bullish,of 4 ratings,$36
DSLV,$76.25,1440624002851,"20,579",100% bearish,of 1 rating,N/A
USLV,$11.35,1440624002872,"675,434",86% bullish,of 7 ratings,N/A
UGLD,$9.01,1440624002905,"171,028",100% bearish,of 1 rating,N/A
FLWS,$9.6,1440624003115,"360,452",100% bullish,of 5 ratings,$15
SRCE,$29.15,1440624003176,"46,378",100% bullish,of 3 ratings,$33
EGHT,$7.725,1440624003308,"463,172",82% bullish,of 17 ratings,$11
SIXD,$2.89,1440624003336,"407,448",Not yet rated,NULL,N/A
CAFD,$14.21,1440624003433,"228,939",Not yet rated,NULL,$25
SHLM,$33.24,1440624003536,"110,908",100% bearish,of 1 rating,$50
AAON,$20.13,1440624003689,"163,751",100% bearish,of 1 rating,$24
ABAX,$46.96,1440624003720,"127,185",100% bearish,of 1 rating,$60
AVHI,$13.96,1440624003741,"27,749",100% bearish,of 1 rating,$19
ABEOW,$1.85,1440624003764,"2,345",100% bullish,of 1 rating,N/A
ABGB,$6.58,1440624003802,"267,694",67% bullish,of 3 ratings,$5.50
ABEO,$4.58,1440624003900,"98,771",50% bullish,of 4 ratings,$15.50
ABMD,$97.29,1440624003966,"353,665",75% bullish,of 4 ratings,$100.50
AXAS,$1.59,1440624004098,"740,977",78% bullish,of 9 ratings,$3.50
ACTG,$8.935,1440624004156,"279,772",67% bullish,of 3 ratings,$18.50
ABY,$21.3,1440624004291,"801,230",100% bearish,of 2 ratings,$46
XLRN,$28.25,1440624004350,"170,451",50% bullish,of 2 ratings,$57
ACHC,$70.4016,1440624004376,"623,609",50% bullish,of 2 ratings,$92
ACST,$0.34,1440624004422,"21,805",100% bullish,of 2 ratings,N/A
AXDX,$18.61,1440624004447,"158,740",100% bearish,of 1 rating,N/A
ACAD,$36.38,1440624004476,"701,693",80% bullish,of 20 ratings,$48
ARAY,$6.42,1440624004619,"827,313",100% bearish,of 1 rating,$10.50
ANCX,$19.7,1440624004656,"28,386",Not yet rated,NULL,$20
VXDN,$1.97,1440624004750,"42,365",100% bearish,of 1 rating,N/A
VXUP,$1.47,1440624004831,"68,784",100% bearish,of 1 rating,N/A
ACRX,$4.21,1440624004857,"173,012",67% bearish,of 6 ratings,$5.50
ACET,$22.68,1440624004878,"84,389",75% bullish,of 4 ratings,$30
ACUR,$0.51,1440624005303,"48,034",100% bullish,of 5 ratings,$1
ACHN,$7.34,1440624005341,"1,750,040",90% bullish,of 21 ratings,$16
ACIW,$21.08,1440624005362,"489,897",67% bearish,of 3 ratings,$24
ACTS,$1.57,1440624005395,"21,329",100% bearish,of 1 rating,N/A
ACOR,$31.96,1440624005416,"830,337",67% bearish,of 3 ratings,$38.50
AKAO,$6.71,1440624005448,"120,839",75% bullish,of 4 ratings,$15
ACTA,$13,1440624005469,"72,427",67% bearish,of 3 ratings,$25
ATVI,$27.29,1440624005733,"4,845,029",68% bullish,of 84 ratings,$31.50
ACNB,$19.76,1440624005765,"4,700",Not yet rated,NULL,N/A
ADMS,$19.73,1440624005791,"45,781",100% bearish,of 2 ratings,$36
ACXM,$20.37,1440624005864,"317,175",67% bullish,of 3 ratings,N/A
ADMP,$3.46,1440624005925,"26,598",50% bullish,of 2 ratings,$10
ACPW,$1.8,1440624005996,"36,556",100% bullish,of 4 ratings,$3.50
ADAP,$11.45,1440624006029,"197,620",67% bullish,of 3 ratings,$22
ADUS,$28.29,1440624006127,"54,197",100% bearish,of 1 rating,$31
AEY,$2.3,1440624006158,"2,445",100% bearish,of 2 ratings,N/A
ADEP,$6.5,1440624006186,"37,513",50% bullish,of 2 ratings,$10.75
ADBE,$80.1945,1440624006259,"2,753,301",65% bullish,of 17 ratings,$90
ADTN,$15.345,1440624006319,"272,984",67% bullish,of 3 ratings,$17.125
ADMA,$9.05,1440624006345,"4,747",Not yet rated,NULL,$19
AMD,$1.72,1440624006539,"7,340,404",83% bullish,of 103 ratings,$2
AEIS,$24.11,1440624006594,"124,976",50% bullish,of 2 ratings,$32.50
ADRO,$19.34,1440624006623,"226,833",80% bullish,of 5 ratings,$45.50
ADXSW,$9.12,1440624006720,"32,595",100% bullish,of 1 rating,N/A
ADXS,$13.65,1440624006752,"856,278",64% bullish,of 14 ratings,$27
MULT,NULL,1440624006784,0,100% bearish,of 1 rating,N/A
AEGR,$17.7,1440624006819,"300,099",50% bullish,of 6 ratings,$26
YPRO,$22.97,1440624006883,"2,612",100% bearish,of 1 rating,N/A
AEHR,$2.32,1440624007018,"3,124",50% bullish,of 2 ratings,N/A
AEGN,$17.96,1440624007046,"119,754",100% bearish,of 2 ratings,$21
AVAV,$23.41,1440624007192,"76,687",50% bullish,of 4 ratings,$31
AEPI,$54.3,1440624007217,"9,804",100% bearish,of 1 rating,N/A
AMTX,$2.48,1440624007242,"28,939",50% bullish,of 2 ratings,$26.11
AERI,$15.96,1440624007269,"239,646",75% bullish,of 4 ratings,$31.50
AEZS,$0.0802,1440624007295,"4,829,729",90% bullish,of 21 ratings,$1.50
AGYS,$9.54,1440624007633,"41,357",100% bearish,of 1 rating,N/A
AFFX,$9.24,1440624007685,"356,438",80% bullish,of 5 ratings,$12
AGIO,$87.45,1440624007715,"404,843",88% bullish,of 8 ratings,$114
AGRX,$8.42,1440624007736,"14,139",100% bearish,of 1 rating,$17.50
AFMD,$10.04,1440624007757,"169,869",50% bullish,of 4 ratings,$15
AGEN,$6.91,1440624007797,"912,255",85% bullish,of 13 ratings,$14
AGFS,$10.05,1440624007891,"42,033",100% bearish,of 1 rating,N/A
AEMD,$6.92,1440624007928,"19,705",Not yet rated,NULL,$27.50
AGFSW,$1.89,1440624008148,"17,243",100% bearish,of 2 ratings,N/A
AIRT,$22.68,1440624008173,885,100% bullish,of 1 rating,N/A
AIMT,$22.67,1440624008227,"128,544",Not yet rated,NULL,N/A
AKAM,$68.17,1440624008360,"1,272,952",63% bullish,of 8 ratings,$77
AIXG,$5.81,1440624008388,"15,318",67% bearish,of 3 ratings,$5.25
ATSG,$8.73,1440624008410,"229,466",67% bullish,of 3 ratings,$13
AIRM,$35.85,1440624008559,"217,057",80% bearish,of 5 ratings,$53
AMCN,$4.49,1440624008599,"503,016",83% bullish,of 6 ratings,N/A
AKBA,$6.35,1440624008695,"178,822",100% bearish,of 1 rating,$18
ALRM,$16.29,1440624008758,"202,192",100% bearish,of 1 rating,$22
ALSK,$2.03,1440624008826,"100,565",78% bullish,of 18 ratings,$2
AKRX,$39.0053,1440624008853,"751,839",78% bullish,of 9 ratings,$56
AMRI,$20.02,1440624008994,"535,651",75% bearish,of 4 ratings,$24
AKER,$2.52,1440624009023,"79,700",Not yet rated,NULL,N/A
ABDC,$11.74,1440624009049,"60,064",Not yet rated,NULL,$15
ALDR,$38.54,1440624009131,"289,269",67% bearish,of 3 ratings,$62
ADHD,$7.84,1440624009196,"134,132",50% bullish,of 4 ratings,$18
ALDX,$6.77,1440624009225,"7,837",100% bearish,of 1 rating,$14.50
ALXN,$173.5192,1440624009329,"1,236,156",88% bullish,of 8 ratings,$223
ALGN,$55.9433,1440624009428,"479,511",100% bearish,of 2 ratings,$73
ALXA,$1.11,1440624009460,"15,709",83% bullish,of 6 ratings,$2.125
ALCO,$41.7,1440624009556,"7,959",50% bullish,of 2 ratings,N/A
ALGT,$215.93,1440624009588,"78,020",100% bearish,of 2 ratings,$235
ALKS,$60.0628,1440624009613,"557,994",67% bullish,of 3 ratings,$75
ALIM,$3.23,1440624009651,"85,874",80% bullish,of 5 ratings,$10
ALLB,$22.52,1440624009871,705,Not yet rated,NULL,N/A
AHGP,$35.02,1440624010001,"36,890",67% bullish,of 3 ratings,N/A
AFOP,$18.51,1440624010052,"125,310",75% bullish,of 8 ratings,$21
AHPI,$1.5,1440624010102,"1,200",50% bullish,of 2 ratings,N/A
AMOT,$18.6,1440624010124,"65,104",100% bearish,of 1 rating,N/A
AIQ,$13.61,1440624010153,"16,186",67% bullish,of 3 ratings,N/A
ARLP,$24.429,1440624010174,"92,950",67% bearish,of 3 ratings,$32
ALLT,$4.95,1440624010423,"157,608",75% bullish,of 4 ratings,$6.25
ALNY,$102.2377,1440624010459,"475,945",67% bullish,of 3 ratings,$148.50
AFAM,$45.24,1440624010488,"65,720",50% bullish,of 2 ratings,$44
AOSL,$7.22,1440624010509,"73,462",67% bullish,of 3 ratings,$9
SMCP,$22.33,1440624010541,600,Not yet rated,NULL,N/A
MDRX,$13.57,1440624010563,"2,181,483",60% bullish,of 5 ratings,$16
ATEC,$0.5795,1440624010818,"131,134",100% bullish,of 1 rating,$2
ASPS,$25.43,1440624010889,"231,584",67% bullish,of 3 ratings,$46.50
ALTR,$46.7178,1440624010987,"2,529,127",80% bearish,of 5 ratings,$54
AMRN,$1.9,1440624011016,"1,047,072",85% bullish,of 39 ratings,$8
AIMC,$24.33,1440624011043,"79,827",100% bearish,of 2 ratings,$28.50
ALQA,$4.2,1440624011066,"30,733",75% bullish,of 4 ratings,$8.50
AMAG,$63.26,1440624011118,"550,731",100% bullish,of 2 ratings,$77.50
AMRK,$10.35,1440624011272,"2,070",50% bullish,of 2 ratings,$14
AYA,$19.82,1440624011307,"14,095",100% bearish,of 1 rating,$40
AMBC,$15.56,1440624011406,"380,426",100% bearish,of 1 rating,$16.50
AMBCW,$7,1440624011436,"6,500",100% bearish,of 1 rating,N/A
AMZN,$498.01,1440624011460,"3,511,602",81% bullish,of 264 ratings,$646
EPAX,$2.68,1440624011592,"120,564",100% bearish,of 1 rating,N/A
AMCX,$69.72,1440624011676,"708,632",67% bullish,of 3 ratings,$87.50
AMBA,$89.94,1440624011733,"1,692,374",83% bullish,of 12 ratings,$102.50
DOX,$56.4,1440624011839,"578,823",67% bearish,of 3 ratings,$60
AMDA,$0.4749,1440624011865,"879,262",90% bullish,of 10 ratings,$1
AMED,$38.52,1440624011929,"151,312",100% bearish,of 1 rating,$42
UHAL,$367.96,1440624012073,"11,822",100% bullish,of 2 ratings,$393.50
ATAX,$5.15,1440624012100,"135,079",100% bullish,of 1 rating,$6.50
ASBI,$22.34,1440624012126,"8,323",Not yet rated,NULL,N/A
AGNCB,$24.18,1440624012255,"17,136",Not yet rated,NULL,N/A
AAL,$38.8,1440624012390,"9,684,069",93% bullish,of 88 ratings,$57
AMOV,$17.49,1440624012416,"8,473",100% bearish,of 1 rating,N/A
AGNCP,$25.25,1440624012466,"3,450",Not yet rated,NULL,N/A
MTGE,$15.39,1440624012491,"337,978",75% bullish,of 4 ratings,$19.50
AGNC,$19.3189,1440624012706,"3,143,170",71% bullish,of 28 ratings,$22
ACAS,$13.2189,1440624012732,"2,274,742",60% bullish,of 5 ratings,$16.75
ACSF,$12.06,1440624012760,"21,371",100% bearish,of 1 rating,$15
MTGEP,$24.58,1440624012781,"5,900",Not yet rated,NULL,N/A
AETI,$3.8,1440624013092,"1,244",67% bearish,of 3 ratings,N/A
ANAT,$99.6699,1440624013160,"32,223",100% bullish,of 1 rating,N/A
ANCI,$1.53,1440624013187,"2,800",100% bearish,of 1 rating,N/A
AMNB,$22.9,1440624013209,"9,778",Not yet rated,NULL,$25.50
AMIC,$9.66,1440624013351,3,Not yet rated,NULL,N/A
AMRB,$10.05,1440624013414,"19,704",Not yet rated,NULL,$11
ARII,$37.99,1440624013492,"190,315",67% bearish,of 3 ratings,$45
APEI,$21.3,1440624013517,"39,846",100% bearish,of 1 rating,$25.50
ASEI,$37.18,1440624013666,"33,425",100% bearish,of 1 rating,$52.50
AMSWA,$8.54,1440624013695,"40,622",100% bearish,of 2 ratings,$10.75
AMSC,$4.11,1440624013723,"95,507",50% bullish,of 4 ratings,N/A
AMWD,$65.17,1440624013744,"114,098",50% bullish,of 2 ratings,$70
CRMT,$36.22,1440624013876,"32,730",100% bearish,of 1 rating,$39
AMSF,$47.04,1440624014022,"45,548",Not yet rated,NULL,$57.50
ABCB,$26.62,1440624014072,"99,298",Not yet rated,NULL,$31
ASRV,$3.23,1440624014098,"42,971",100% bullish,of 2 ratings,N/A
ASRVP,NULL,1440624014119,0,Not yet rated,NULL,N/A
ATLO,$23.4,1440624014149,"9,014",Not yet rated,NULL,N/A
AMGN,$153.9615,1440624014347,"3,487,290",89% bullish,of 19 ratings,$185
FOLD,$14.375,1440624014377,"1,187,545",56% bullish,of 9 ratings,$21
AMSG,$79.03,1440624014481,"478,643",100% bearish,of 1 rating,$85.50
AMSGP,NULL,1440624014509,0,Not yet rated,NULL,N/A
AMPH,$13.53,1440624014575,"220,263",50% bullish,of 2 ratings,$20
AMKR,$4.62,1440624014608,"1,616,982",100% bearish,of 2 ratings,$5
AFSI,$57.7816,1440624014708,"499,548",60% bullish,of 5 ratings,$72
ASYS,$4.97,1440624014733,"64,605",67% bullish,of 3 ratings,$12
AMRS,$1.59,1440624014775,"57,126",70% bullish,of 10 ratings,N/A
ANAC,$132.5,1440624014924,"329,919",80% bullish,of 5 ratings,$180.50
ANAD,$0.329,1440624015064,"206,065",100% bullish,of 2 ratings,$.50
ANCB,$22.2,1440624015155,"1,232",Not yet rated,NULL,$23
ALOG,$78.97,1440624015194,"50,266",100% bearish,of 2 ratings,$100.50
ABCW,$39.78,1440624015219,"12,004",67% bullish,of 3 ratings,N/A
AMCF,$0.244,1440624015245,"2,516",100% bullish,of 7 ratings,N/A
ANGI,$4.82,1440624015272,"463,755",64% bullish,of 11 ratings,$5.50
ADI,$54.22,1440624015422,"3,194,023",67% bullish,of 3 ratings,$69
ATRS,$1.69,1440624015518,"675,555",92% bullish,of 12 ratings,$4.50
ANSS,$87.75,1440624015653,"414,040",100% bearish,of 1 rating,$100
