Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
TFSC,NULL,1441314902549,0,100% bearish,of 1 rating,N/A
FCTY,$7.94,1441314902579,264,100% bullish,of 1 rating,$8.50
TFSCU,$10.24,1441314902604,"3,300",Not yet rated,NULL,N/A
TFSCW,NULL,1441314902633,0,100% bearish,of 1 rating,N/A
SRCE,$29.7059,1441314902681,"52,565",100% bullish,of 3 ratings,$33
FCCY,$11.58,1441314902740,8,100% bullish,of 1 rating,$13
FLWS,$8.8218,1441314902820,"359,909",80% bullish,of 5 ratings,$15
PIH,$7.57,1441314902918,"2,591",100% bearish,of 1 rating,N/A
TFSCR,NULL,1441314902954,0,Not yet rated,NULL,N/A
DGLD,$83.3,1441314902997,"4,267",100% bullish,of 1 rating,N/A
VNET,$18.07,1441314903056,"411,827",60% bullish,of 5 ratings,$35
TWOU,$34.937,1441314903077,"253,516",50% bullish,of 2 ratings,$39
UGLD,$9.04,1441314903110,"122,944",100% bearish,of 1 rating,N/A
JOBS,$26.32,1441314903254,"45,342",50% bullish,of 4 ratings,$36
DSLV,$67.83,1441314903339,"18,126",100% bearish,of 1 rating,N/A
USLV,$12.67,1441314903430,"356,062",86% bullish,of 7 ratings,N/A
SIXD,$2.7806,1441314903580,"48,081",Not yet rated,NULL,N/A
EGHT,$7.75,1441314903617,"347,196",82% bullish,of 17 ratings,$11
CAFD,$14.99,1441314903677,"251,921",Not yet rated,NULL,$24.50
SHLM,$32.8266,1441314903810,"195,410",100% bearish,of 1 rating,$47
ABEO,$4.6009,1441314903869,"38,464",50% bullish,of 4 ratings,$15.50
AAON,$19.964,1441314903939,"84,689",100% bearish,of 1 rating,$24
ABY,$22.3645,1441314903968,"368,921",100% bearish,of 2 ratings,$46
ABAX,$47.0894,1441314904059,"64,789",100% bearish,of 1 rating,$60
AVHI,$13.9628,1441314904094,"26,676",100% bearish,of 1 rating,$19
ABMD,$94.1788,1441314904120,"320,664",75% bullish,of 4 ratings,$100.50
ABGB,$4.69,1441314904141,"53,234",67% bullish,of 3 ratings,$5.50
ABEOW,$1.76,1441314904355,"6,541",100% bullish,of 1 rating,N/A
AXAS,$1.6903,1441314904388,"679,932",78% bullish,of 9 ratings,$3.50
ACTG,$9.1418,1441314904488,"219,435",67% bullish,of 3 ratings,$18.50
ACHC,$72.87,1441314904509,"387,595",50% bullish,of 2 ratings,$92
ACAD,$39.13,1441314904538,"2,098,417",80% bullish,of 20 ratings,$48
XLRN,$28.08,1441314904588,"98,285",50% bullish,of 2 ratings,$57
ACST,$0.32,1441314904722,"55,903",100% bullish,of 2 ratings,N/A
AXDX,$18.7437,1441314904756,"59,418",100% bearish,of 1 rating,N/A
ARAY,$6.6613,1441314904858,"656,220",100% bearish,of 1 rating,$10.50
VXDN,$1.87,1441314904891,"51,036",100% bearish,of 1 rating,N/A
ANCX,$19.6239,1441314904912,"18,210",Not yet rated,NULL,$20
ACRX,$4.12,1441314904963,"330,269",67% bearish,of 6 ratings,$7
ACET,$22.1544,1441314904988,"80,903",75% bullish,of 4 ratings,$30
VXUP,$1.59,1441314905059,"34,825",100% bearish,of 1 rating,N/A
