Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
RKDA,$5.86,1440523204299,"17,394",100% bearish,of 2 ratings,$10
CACQ,$7.1,1440523206439,"18,671",100% bearish,of 1 rating,$12.25
CVGW,$55.71,1440523206795,"52,024",50% bullish,of 2 ratings,$58.50
CDW,$38.42,1440523207265,"314,474",75% bullish,of 4 ratings,$44
CTHR,$1.2101,1440523207450,"1,424",50% bullish,of 2 ratings,$2.50
CNTF,$0.7971,1440523207868,"40,784",Not yet rated,NULL,N/A
CHSCM,$25.55,1440523207945,"17,375",Not yet rated,NULL,N/A
CTAS,$83.21,1440523208005,"149,645",100% bearish,of 1 rating,$91
CBMX,$1.1772,1440523208592,"29,518",83% bullish,of 6 ratings,$3.15
ESXB,$5.06,1440523208628,"69,300",Not yet rated,NULL,N/A
CXRX,$69.53,1440523208941,300,100% bearish,of 1 rating,$90
CWCO,$10.3204,1440523209100,"26,201",67% bullish,of 3 ratings,$14.50
CRVL,$31.22,1440523209254,"25,587",100% bearish,of 1 rating,N/A
CRDS,$1.03,1440523209511,"21,897",50% bullish,of 4 ratings,$4.50
CMLS,$1.31,1440523209671,"157,113",50% bullish,of 4 ratings,$6
DXM,$0.303,1440523210180,"86,861",50% bullish,of 2 ratings,N/A
DISCA,$26.31,1440523210370,"1,966,373",67% bullish,of 3 ratings,$34
DRWIW,$0.0474,1440523210732,117,Not yet rated,NULL,N/A
ECACU,NULL,1440523211027,0,Not yet rated,NULL,N/A
EVEP,$7.16,1440523211878,"163,505",50% bullish,of 2 ratings,$15
ESPR,$53.38,1440523211920,"283,044",70% bearish,of 10 ratings,$123
INBK,$30.3,1440523212643,"8,660",50% bullish,of 2 ratings,$37
FMBH,NULL,1440523212734,0,Not yet rated,NULL,N/A
QABA,$36.6074,1440523212970,"18,697",100% bearish,of 1 rating,N/A
FLXS,$31.87,1440523213253,"12,968",100% bearish,of 2 ratings,N/A
FORM,$6.1,1440523213313,"119,117",67% bullish,of 3 ratings,$10.50
FEIM,$10.81,1440523213632,"1,007",100% bearish,of 1 rating,N/A
