Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
PIH,$7.2,1440256202371,"15,400",100% bearish,of 1 rating,N/A
TFSCW,NULL,1440256202413,0,100% bearish,of 1 rating,N/A
TFSCR,NULL,1440256202435,0,Not yet rated,NULL,N/A
TFSC,NULL,1440256202464,0,100% bearish,of 1 rating,N/A
FCCY,$11.6,1440256202502,354,100% bullish,of 1 rating,$13
FCTY,$7.63,1440256202529,300,100% bullish,of 1 rating,$8.50
FLWS,$9.36,1440256202551,"220,692",100% bullish,of 5 ratings,$15
SRCE,$30.03,1440256202684,"55,334",100% bullish,of 3 ratings,$33
TFSCU,NULL,1440256202719,0,Not yet rated,NULL,N/A
VNET,$19.27,1440256202742,"733,790",60% bullish,of 5 ratings,$29.50
DGLD,$76.08,1440256202813,"21,135",100% bullish,of 1 rating,N/A
TWOU,$34.02,1440256202850,"673,961",50% bullish,of 2 ratings,$39
JOBS,$25.35,1440256202879,"172,084",50% bullish,of 4 ratings,$36
USLV,$14.59,1440256202946,"218,982",86% bullish,of 7 ratings,N/A
UGLD,$9.99,1440256203018,"253,649",100% bearish,of 1 rating,N/A
DSLV,$61.29,1440256203121,"22,007",100% bearish,of 1 rating,N/A
SIXD,$1.47,1440256203286,"250,988",Not yet rated,NULL,N/A
AVHI,$13.95,1440256203321,"37,920",100% bearish,of 1 rating,$19
EGHT,$8.215,1440256203349,"436,691",82% bullish,of 17 ratings,$11
CAFD,$15.52,1440256203376,"330,925",Not yet rated,NULL,$25
AAON,$21.67,1440256203438,"166,594",100% bearish,of 1 rating,$24
SHLM,$34.05,1440256203507,"123,800",100% bearish,of 1 rating,$50
ABAX,$47.54,1440256203590,"139,615",100% bearish,of 1 rating,$60
ABY,$20,1440256203617,"1,100,886",100% bearish,of 2 ratings,$46
ABGB,$4.09,1440256203640,"34,916",67% bullish,of 3 ratings,$5.50
ABEO,$4.83,1440256203677,"140,862",67% bullish,of 3 ratings,$15.50
ABMD,$97.08,1440256203769,"831,796",75% bullish,of 4 ratings,$100.50
ABEOW,$1.76,1440256203811,"2,525",100% bullish,of 1 rating,N/A
ACTG,$8.87,1440256204044,"323,174",67% bullish,of 3 ratings,$18.50
AXAS,$1.56,1440256204069,"860,487",78% bullish,of 9 ratings,$3.50
ACHC,$73.6762,1440256204138,"815,815",50% bullish,of 2 ratings,$92
ACAD,$38.13,1440256204295,"928,540",80% bullish,of 20 ratings,$48
AXDX,$17.93,1440256204328,"220,988",100% bearish,of 1 rating,N/A
ANCX,$18.76,1440256204363,"31,836",Not yet rated,NULL,$19
ARAY,$6.53,1440256204385,"3,387,732",100% bearish,of 1 rating,$10.50
XLRN,$28.36,1440256204421,"111,031",50% bullish,of 2 ratings,$57
ACRX,$4.05,1440256204449,"360,315",67% bearish,of 6 ratings,$5.50
ACST,$0.361,1440256204478,"71,223",100% bullish,of 2 ratings,N/A
ACET,$24.41,1440256204499,"127,207",75% bullish,of 4 ratings,$30
VXUP,$27,1440256204643,"49,956",Not yet rated,NULL,N/A
AKAO,$6.9457,1440256204682,"55,800",75% bullish,of 4 ratings,$15
VXDN,$5.5,1440256204708,"50,671",100% bearish,of 1 rating,N/A
ACHN,$7.75,1440256204780,"1,754,841",90% bullish,of 21 ratings,$16
ACIW,$21.89,1440256204861,"571,274",50% bullish,of 2 ratings,$24
ACOR,$29.75,1440256204991,"642,828",67% bearish,of 3 ratings,$38.50
ACNB,$20.33,1440256205017,"1,376",Not yet rated,NULL,N/A
ACPW,$1.856,1440256205042,"65,399",100% bullish,of 4 ratings,$3.50
ACTA,$13.89,1440256205097,"113,227",67% bearish,of 3 ratings,$25
ATVI,$27.2167,1440256205208,"5,132,751",68% bullish,of 84 ratings,$31.50
ACUR,$0.6182,1440256205245,"65,134",100% bullish,of 5 ratings,$1
ACTS,$1.3,1440256205275,"51,585",100% bearish,of 1 rating,N/A
ADMS,$20.07,1440256205307,"78,833",100% bearish,of 2 ratings,$36
ADAP,$12.53,1440256205339,"216,853",67% bullish,of 3 ratings,$22
ACXM,$20.1276,1440256205369,"350,940",67% bullish,of 3 ratings,N/A
ADMP,$3.65,1440256205394,"21,417",50% bullish,of 2 ratings,$10
ADUS,$29.83,1440256205591,"59,827",100% bearish,of 1 rating,$31
AEY,$2.29,1440256205621,"39,023",100% bearish,of 2 ratings,N/A
ADEP,$6.75,1440256205661,"33,889",50% bullish,of 2 ratings,$10.75
ADMA,$9.3,1440256205691,"3,500",Not yet rated,NULL,$19
ADBE,$78.87,1440256205719,"4,323,734",65% bullish,of 17 ratings,$90
ADTN,$15.59,1440256205791,"349,681",67% bullish,of 3 ratings,$17.125
ADRO,$19.44,1440256205872,"252,323",80% bullish,of 5 ratings,$45.50
AEIS,$25.055,1440256205969,"198,884",50% bullish,of 2 ratings,$32.50
AMD,$1.76,1440256205999,"7,935,981",83% bullish,of 103 ratings,$2
ADXSW,$10.15,1440256206028,"5,206",100% bullish,of 1 rating,N/A
ADXS,$14.5,1440256206060,"919,015",64% bullish,of 14 ratings,$27
MULT,NULL,1440256206084,0,100% bearish,of 1 rating,N/A
YPRO,$23.29,1440256206137,"4,120",100% bearish,of 1 rating,N/A
AEGR,$18.26,1440256206165,"394,681",50% bullish,of 6 ratings,$26
AEHR,$2.24,1440256206333,"7,972",50% bullish,of 2 ratings,N/A
AEGN,$18.24,1440256206368,"212,917",100% bearish,of 1 rating,$21
AEPI,$57.13,1440256206398,"21,960",100% bearish,of 1 rating,N/A
AMTX,$3.09,1440256206473,"17,253",50% bullish,of 2 ratings,$26.11
AERI,$15.92,1440256206499,"361,223",75% bullish,of 4 ratings,$31.50
AFMD,$9.78,1440256206679,"174,087",50% bullish,of 4 ratings,$15
AEMD,$7.22,1440256206714,"187,619",Not yet rated,NULL,$27.50
AVAV,$24.38,1440256206747,"143,405",50% bullish,of 4 ratings,$31
AGEN,$7.04,1440256206814,"940,432",85% bullish,of 13 ratings,$14
AEZS,$0.1005,1440256206844,"5,371,374",90% bullish,of 21 ratings,$1.50
AGRX,$8.17,1440256206872,"49,951",100% bearish,of 1 rating,$17.50
AFFX,$9.4,1440256206899,"587,032",80% bullish,of 5 ratings,$12
AGFS,$9.8121,1440256207117,"73,206",100% bearish,of 1 rating,N/A
AGYS,$9.63,1440256207144,"33,010",100% bearish,of 1 rating,N/A
AGFSW,$1.79,1440256207172,"28,997",100% bearish,of 2 ratings,N/A
AIRT,$22.94,1440256207361,51,100% bullish,of 1 rating,N/A
AGIO,$85.65,1440256207397,"509,530",88% bullish,of 8 ratings,$114
AIRM,$36.55,1440256207424,"309,312",80% bearish,of 5 ratings,$53
AIMT,$21.1,1440256207463,"120,787",Not yet rated,NULL,N/A
AMCN,$4.9,1440256207494,"424,894",83% bullish,of 6 ratings,N/A
AIXG,$5.98,1440256207520,"34,571",67% bearish,of 3 ratings,$5.25
ATSG,$9.1,1440256207597,"264,911",67% bullish,of 3 ratings,$13
AKAM,$68.463,1440256207649,"1,585,448",63% bullish,of 8 ratings,$77
AKBA,$6.65,1440256207678,"184,781",100% bearish,of 1 rating,$18
AKRX,$40.2552,1440256207729,"930,040",78% bullish,of 9 ratings,$56
AKER,$2.62,1440256207761,"93,096",Not yet rated,NULL,N/A
ALRM,$16.46,1440256207860,"358,434",100% bearish,of 1 rating,$22
AMRI,$19.73,1440256208048,"245,268",75% bearish,of 4 ratings,$24
ADHD,$8.31,1440256208116,"220,062",50% bullish,of 4 ratings,$18
ALDR,$36.64,1440256208149,"474,720",67% bearish,of 3 ratings,$62
ABDC,$12.7,1440256208179,"21,785",Not yet rated,NULL,$15
ALXA,$1.07,1440256208243,"26,737",83% bullish,of 6 ratings,$2.125
ALDX,$7.62,1440256208280,"6,759",100% bearish,of 1 rating,$14.50
ALCO,$42.36,1440256208350,"24,127",50% bullish,of 2 ratings,N/A
ALSK,$2.11,1440256208421,"112,029",78% bullish,of 18 ratings,$2
ALIM,$3.15,1440256208452,"169,442",80% bullish,of 5 ratings,$10
ALXN,$173.81,1440256208484,"1,548,456",88% bullish,of 8 ratings,$223
ALGT,$216.09,1440256208586,"164,611",100% bearish,of 1 rating,$235
ALGN,$56.4432,1440256208616,"422,327",100% bearish,of 2 ratings,$73
ALKS,$60.35,1440256208657,"705,866",67% bullish,of 3 ratings,$75
AFOP,$17.51,1440256208723,"139,898",75% bullish,of 8 ratings,$21
ALLB,$23.48,1440256208805,"1,820",Not yet rated,NULL,N/A
AIQ,$14.7,1440256208908,"29,906",67% bullish,of 3 ratings,N/A
AHGP,$36.6344,1440256208961,"31,919",67% bullish,of 3 ratings,N/A
ARLP,$24.94,1440256209042,"151,729",67% bearish,of 3 ratings,$32
AHPI,$1.46,1440256209140,435,50% bullish,of 2 ratings,N/A
AMOT,$17.09,1440256209190,"80,719",100% bearish,of 1 rating,N/A
ALLT,$5.04,1440256209212,"71,089",75% bullish,of 4 ratings,$6.25
ALQA,$4.43,1440256209242,"36,237",75% bullish,of 4 ratings,$8.50
AOSL,$7.21,1440256209371,"45,497",67% bullish,of 3 ratings,$9
MDRX,$13.52,1440256209399,"1,235,763",60% bullish,of 5 ratings,$16
AFAM,$46.84,1440256209422,"72,495",50% bullish,of 2 ratings,$44
ALNY,$100.3178,1440256209460,"414,351",67% bullish,of 3 ratings,$148.50
SMCP,$22.56,1440256209595,"1,500",Not yet rated,NULL,N/A
ATEC,$0.5768,1440256209727,"46,618",100% bullish,of 1 rating,$2
ALTR,$48.17,1440256209754,"2,956,121",80% bearish,of 5 ratings,$54
ASPS,$29.2565,1440256209779,"228,767",67% bullish,of 3 ratings,$46.50
AMAG,$59.95,1440256209946,"476,323",100% bullish,of 2 ratings,$77.50
