Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
FCCY,NULL,1441376102067,0,100% bullish,of 1 rating,$13
PIH,$7.56,1441376102160,"1,600",100% bearish,of 1 rating,N/A
TFSCW,NULL,1441376102197,0,100% bearish,of 1 rating,N/A
FLWS,$8.65,1441376102223,"24,554",80% bullish,of 5 ratings,$15
TFSCU,NULL,1441376102252,0,Not yet rated,NULL,N/A
TFSCR,NULL,1441376102277,0,Not yet rated,NULL,N/A
TFSC,NULL,1441376102358,0,100% bearish,of 1 rating,N/A
FCTY,NULL,1441376102440,0,100% bullish,of 1 rating,$8.50
VNET,$17.65,1441376102587,"17,759",60% bullish,of 5 ratings,$35
DGLD,$84.1476,1441376102663,"1,972",100% bullish,of 1 rating,N/A
TWOU,$34.89,1441376102726,"18,856",50% bullish,of 2 ratings,$39
DSLV,$69.0869,1441376102753,"5,870",100% bearish,of 1 rating,N/A
USLV,$12.463,1441376102782,"86,188",86% bullish,of 7 ratings,N/A
SRCE,$29.76,1441376102826,"3,282",100% bullish,of 3 ratings,$33
UGLD,$8.92,1441376102914,"70,398",100% bearish,of 1 rating,N/A
JOBS,$26.035,1441376102959,"10,547",50% bullish,of 4 ratings,$36
SIXD,$2.71,1441376103163,"3,630",Not yet rated,NULL,N/A
CAFD,$15,1441376103295,"7,306",Not yet rated,NULL,$24.50
EGHT,$7.77,1441376103356,"38,358",82% bullish,of 17 ratings,$11
SHLM,$32.41,1441376103452,"4,593",100% bearish,of 1 rating,$47
AAON,$19.82,1441376103477,"2,893",100% bearish,of 1 rating,$24
AVHI,$13.52,1441376103502,"158,627",100% bearish,of 1 rating,$19
ABY,$21.61,1441376103555,"248,827",100% bearish,of 2 ratings,$46
ABAX,$46.93,1441376103576,"5,442",100% bearish,of 1 rating,$60
ABGB,$5.005,1441376103708,"13,776",67% bullish,of 3 ratings,$5.50
ABEO,$4.6001,1441376103738,"4,742",50% bullish,of 4 ratings,$15.50
AXAS,$1.7,1441376103877,"74,743",78% bullish,of 9 ratings,$3.50
ABEOW,NULL,1441376103930,0,100% bullish,of 1 rating,N/A
ACTG,$9.11,1441376103985,"16,551",67% bullish,of 3 ratings,$18.50
ABMD,$93.87,1441376104010,"33,297",75% bullish,of 4 ratings,$100.50
ACAD,$38.875,1441376104145,"153,323",80% bullish,of 20 ratings,$48
ACHC,$72.44,1441376104170,"28,870",50% bullish,of 2 ratings,$92
ACST,$0.3,1441376104333,"2,700",100% bullish,of 2 ratings,N/A
XLRN,$28.57,1441376104374,"9,695",50% bullish,of 2 ratings,$57
AXDX,$18.98,1441376104402,"4,874",100% bearish,of 1 rating,N/A
ARAY,$6.5531,1441376104430,"29,052",100% bearish,of 1 rating,$10.50
ANCX,$19.32,1441376104566,"1,618",Not yet rated,NULL,$20
VXUP,$1.6,1441376104594,"1,135",100% bearish,of 1 rating,N/A
VXDN,$1.76,1441376104620,835,100% bearish,of 1 rating,N/A
ACET,$22.165,1441376104795,"14,916",75% bullish,of 4 ratings,$30
AKAO,$6.95,1441376104950,"4,745",75% bullish,of 4 ratings,$15
ACHN,$7.615,1441376105013,"396,891",90% bullish,of 21 ratings,$16
ACIW,$21.21,1441376105039,"14,428",67% bearish,of 3 ratings,$24
ACRX,$4.29,1441376105060,"29,882",67% bearish,of 6 ratings,$7
ACOR,$32.125,1441376105105,"18,073",67% bearish,of 3 ratings,$38.50
ACTS,$1.59,1441376105130,"3,700",100% bearish,of 1 rating,N/A
ACNB,NULL,1441376105212,0,Not yet rated,NULL,N/A
ACPW,$2,1441376105312,"13,174",100% bullish,of 4 ratings,$3.25
ATVI,$28.19,1441376105483,"765,250",67% bullish,of 84 ratings,$31.50
ACXM,$20.55,1441376105509,"10,646",67% bullish,of 3 ratings,N/A
ACTA,$13.89,1441376105588,"3,758",67% bearish,of 3 ratings,$25
ADMS,$18.61,1441376105681,"4,394",100% bearish,of 2 ratings,$36
ACUR,$2.91,1441376105707,"1,000",100% bullish,of 5 ratings,$5
ADAP,$10.99,1441376105727,"3,167",67% bullish,of 3 ratings,$22
ADMP,$3.44,1441376105759,"3,702",50% bullish,of 2 ratings,$10
ADUS,$28.84,1441376105936,700,100% bearish,of 1 rating,$31
AEY,$2.369,1441376106079,"3,105",100% bearish,of 2 ratings,N/A
ADTN,$15.63,1441376106139,"21,265",67% bullish,of 3 ratings,$17.125
ADRO,$18.55,1441376106171,"3,327",80% bullish,of 5 ratings,$45.50
ADMA,$8.5637,1441376106192,"6,757",Not yet rated,NULL,$19
ADEP,$7.25,1441376106213,"4,150",50% bullish,of 2 ratings,$10.75
ADBE,$77.6025,1441376106274,"257,221",65% bullish,of 17 ratings,$90
AEIS,$24.23,1441376106433,"8,469",50% bullish,of 2 ratings,$32.50
