Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
FLWS,$9.355,1440530402828,"116,632",100% bullish,of 5 ratings,$15
TFSCW,$0.2,1440530402877,"3,500",100% bearish,of 1 rating,N/A
FCCY,$11.538,1440530402957,"1,069",100% bullish,of 1 rating,$13
TFSCU,$10.14,1440530402983,907,Not yet rated,NULL,N/A
FCTY,$7.78,1440530403009,"7,790",100% bullish,of 1 rating,$8.50
TFSCR,NULL,1440530403037,0,Not yet rated,NULL,N/A
TFSC,NULL,1440530403062,0,100% bearish,of 1 rating,N/A
PIH,$7.17,1440530403140,"1,307",100% bearish,of 1 rating,N/A
SRCE,$28.634,1440530403412,"13,068",100% bullish,of 3 ratings,$33
DSLV,$69.32,1440530403442,"11,807",100% bearish,of 1 rating,N/A
VNET,$17.8,1440530403463,"329,289",60% bullish,of 5 ratings,$29.50
TWOU,$34.19,1440530403495,"150,059",50% bullish,of 2 ratings,$39
UGLD,$9.38,1440530403627,"204,721",100% bearish,of 1 rating,N/A
DGLD,$80.23,1440530403676,"23,519",100% bullish,of 1 rating,N/A
USLV,$12.7377,1440530403700,"259,183",86% bullish,of 7 ratings,N/A
JOBS,$26.96,1440530403857,"109,361",50% bullish,of 4 ratings,$36
SIXD,$3.3236,1440530404006,"1,466,644",Not yet rated,NULL,N/A
EGHT,$7.7301,1440530404109,"365,638",82% bullish,of 17 ratings,$11
ABAX,$46.57,1440530404195,"81,902",100% bearish,of 1 rating,$60
AVHI,$13.76,1440530404223,"26,465",100% bearish,of 1 rating,$19
CAFD,$14.54,1440530404247,"1,277,794",Not yet rated,NULL,$25
SHLM,$32.98,1440530404416,"62,555",100% bearish,of 1 rating,$50
ABY,$20.22,1440530404481,"787,682",100% bearish,of 2 ratings,$46
AAON,$20.24,1440530404540,"43,466",100% bearish,of 1 rating,$24
ABEO,$4.53,1440530404568,"70,340",50% bullish,of 4 ratings,$15.50
ABMD,$95.3,1440530404611,"356,650",75% bullish,of 4 ratings,$100.50
ABEOW,$1.85,1440530404644,"13,888",100% bullish,of 1 rating,N/A
ABGB,$4.93,1440530404698,"134,801",67% bullish,of 3 ratings,$5.50
ACAD,$34.76,1440530405083,"508,548",80% bullish,of 20 ratings,$48
AXDX,$18.4,1440530405108,"109,113",100% bearish,of 1 rating,N/A
AXAS,$1.515,1440530405153,"566,811",78% bullish,of 9 ratings,$3.50
ACST,$0.3634,1440530405184,"29,249",100% bullish,of 2 ratings,N/A
ACTG,$8.85,1440530405237,"188,160",67% bullish,of 3 ratings,$18.50
ACHC,$71.09,1440530405264,"471,751",50% bullish,of 2 ratings,$92
XLRN,$27.615,1440530405293,"72,701",50% bullish,of 2 ratings,$57
ARAY,$6.57,1440530405396,"587,192",100% bearish,of 1 rating,$10.50
ANCX,$19.47,1440530405530,"35,801",Not yet rated,NULL,$19
AKAO,$6.36,1440530405670,"40,189",75% bullish,of 4 ratings,$15
VXDN,$1.98,1440530405744,"216,214",100% bearish,of 1 rating,N/A
ACET,$22.68,1440530405770,"42,980",75% bullish,of 4 ratings,$30
VXUP,$1.535,1440530405795,"300,477",100% bearish,of 1 rating,N/A
ACRX,$4.15,1440530405927,"224,971",67% bearish,of 6 ratings,$5.50
ACHN,$7.29,1440530405997,"1,139,357",90% bullish,of 21 ratings,$16
ACIW,$20.94,1440530406027,"282,123",50% bullish,of 2 ratings,$24
ACNB,$19.99,1440530406094,"2,415",Not yet rated,NULL,N/A
ACOR,$32.72,1440530406161,"2,112,961",67% bearish,of 3 ratings,$38.50
ACPW,$1.8057,1440530406188,"43,621",100% bullish,of 4 ratings,$3.50
ATVI,$26.67,1440530406414,"2,873,560",68% bullish,of 84 ratings,$31.50
ACUR,$0.516,1440530406443,"167,097",100% bullish,of 5 ratings,$1
ACTS,$1.57,1440530406481,"77,368",100% bearish,of 1 rating,N/A
ACTA,$13.19,1440530406580,"84,811",67% bearish,of 3 ratings,$25
ADMS,$19.375,1440530406601,"44,854",100% bearish,of 2 ratings,$36
ACXM,$19.915,1440530406630,"266,845",67% bullish,of 3 ratings,N/A
ADMP,$3.525,1440530406679,"38,075",50% bullish,of 2 ratings,$10
ADAP,$11.52,1440530406876,"90,858",67% bullish,of 3 ratings,$22
ADUS,$28.5,1440530406916,"26,929",100% bearish,of 1 rating,$31
AEY,$2.34,1440530407135,"16,611",100% bearish,of 2 ratings,N/A
ADEP,$6.77,1440530407207,"15,887",50% bullish,of 2 ratings,$10.75
ADMA,$9.1,1440530407235,"16,185",Not yet rated,NULL,$19
ADBE,$76.65,1440530407256,"2,452,664",65% bullish,of 17 ratings,$90
ADTN,$14.95,1440530407284,"152,102",67% bullish,of 3 ratings,$17.125
ADRO,$18.835,1440530407531,"234,398",80% bullish,of 5 ratings,$45.50
AEIS,$23.9,1440530407688,"80,749",50% bullish,of 2 ratings,$32.50
ADXS,$13.42,1440530407820,"563,350",64% bullish,of 14 ratings,$27
MULT,NULL,1440530407851,0,100% bearish,of 1 rating,N/A
YPRO,$23.147,1440530407884,"4,659",100% bearish,of 1 rating,N/A
AMD,$1.71,1440530407906,"5,532,264",83% bullish,of 103 ratings,$2
ADXSW,$9.25,1440530407948,"2,400",100% bullish,of 1 rating,N/A
AEGR,$17.3,1440530407978,"155,052",50% bullish,of 6 ratings,$26
AEGN,$17.82,1440530408406,"117,957",100% bearish,of 2 ratings,$21
AMTX,$2.74,1440530408469,"20,927",50% bullish,of 2 ratings,$26.11
AEMD,$7.0818,1440530408574,"9,386",Not yet rated,NULL,$27.50
AEHR,$2.25,1440530408827,"8,766",50% bullish,of 2 ratings,N/A
AEPI,$53.82,1440530408853,"7,065",100% bearish,of 1 rating,N/A
AERI,$15.74,1440530408982,"179,453",75% bullish,of 4 ratings,$31.50
AVAV,$23.35,1440530409044,"73,641",50% bullish,of 4 ratings,$31
AFMD,$9.74,1440530409186,"107,510",50% bullish,of 4 ratings,$15
