Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
TFSCU,NULL,1440166802758,0,Not yet rated,NULL,N/A
TFSC,NULL,1440166802788,0,100% bearish,of 1 rating,N/A
TFSCR,NULL,1440166802814,0,Not yet rated,NULL,N/A
FCTY,NULL,1440166802846,0,100% bullish,of 1 rating,$8.50
FCCY,NULL,1440166802872,0,100% bullish,of 1 rating,$13
FLWS,$9.62,1440166802900,"49,367",100% bullish,of 5 ratings,$15
PIH,NULL,1440166802947,0,100% bearish,of 1 rating,N/A
VNET,$19.83,1440166803037,"74,193",60% bullish,of 5 ratings,$29.50
TWOU,$34,1440166803171,"114,308",50% bullish,of 2 ratings,$39
SRCE,$29.73,1440166803275,"22,502",100% bullish,of 3 ratings,$33
TFSCW,NULL,1440166803312,0,100% bearish,of 1 rating,N/A
DSLV,$62.79,1440166803337,"1,148",100% bearish,of 1 rating,N/A
UGLD,$9.683,1440166803362,"100,342",100% bearish,of 1 rating,N/A
DGLD,$78.19,1440166803394,"5,824",100% bullish,of 1 rating,N/A
JOBS,$25.94,1440166803530,"40,583",50% bullish,of 4 ratings,$36
USLV,$14.17,1440166803662,"81,679",86% bullish,of 7 ratings,N/A
CAFD,$15.68,1440166803870,"134,590",Not yet rated,NULL,$25
ABAX,$47.2,1440166803905,"34,643",100% bearish,of 1 rating,$60
EGHT,$8.23,1440166803973,"130,136",82% bullish,of 17 ratings,$11
AVHI,$13.95,1440166803999,"17,226",100% bearish,of 1 rating,$19
ABY,$19.78,1440166804024,"234,565",100% bearish,of 2 ratings,$46
SHLM,$34.62,1440166804164,"26,688",100% bearish,of 1 rating,$50
AAON,$22.11,1440166804212,"52,575",100% bearish,of 1 rating,$24
ABGB,$4.15,1440166804348,"8,357",67% bullish,of 3 ratings,$5.50
ABEO,$4.96,1440166804413,"47,931",67% bullish,of 3 ratings,$15.50
AXAS,$1.6249,1440166804515,"179,460",78% bullish,of 9 ratings,$3.50
ABEOW,$1.6901,1440166804544,947,100% bullish,of 1 rating,N/A
SIXD,$1.4952,1440166804574,"96,207",Not yet rated,NULL,N/A
ACTG,$8.72,1440166804673,"85,715",67% bullish,of 3 ratings,$18.50
ABMD,$97.26,1440166804733,"330,978",75% bullish,of 4 ratings,$100.50
ACAD,$35.5,1440166804958,"332,327",80% bullish,of 20 ratings,$48
ACHC,$74.3601,1440166805053,"133,663",50% bullish,of 2 ratings,$92
AXDX,$18.62,1440166805115,"46,076",100% bearish,of 1 rating,N/A
ANCX,$18.87,1440166805150,"10,939",Not yet rated,NULL,$19
