Symbol,Price,Date,Volume
AFSI,62.9255,1439766485290,254270
ASYS,5.83,1439766485319,54662
AMRS,1.68,1439766485347,87693
ANAC,136.22,1439766485377,395676
ADI,58.84,1439766485474,871498
ANAD,0.3061,1439766485497,553257
ABCW,41.532,1439766485626,13741
ALOG,78.8,1439766485652,69157
AMCF,0.3,1439766485683,36055
ANCB,22.95,1439766485715,830
ANGI,4.4,1439766485779,217296
ANIP,54.76,1439766485813,152414
ANGO,14.88,1439766485838,59404
ANIK,35.96,1439766485989,57914
ANSS,94.26,1439766486170,265800
ABAC,0.92,1439766486199,4540
ATRS,1.89,1439766486217,387131
ANTH,9.22,1439766486248,581423
APOG,54.27,1439766486278,230022
APOL,11.77,1439766486301,591187
APIC,8.14,1439766486349,120354
ATNY,2.41,1439766486372,1519
APPF,16.75,1439766486582,25821
AAPL,116.14,1439766486608,24640968
AINV,6.7571,1439766486626,1466887
ARCI,1.36,1439766486652,543
APDNW,1.29,1439766486778,2500
APDN,3.37,1439766486811,80801
AGTC,15.64,1439766486942,42383
AMCC,5.85,1439766486971,944701
AAOI,22.11,1439766486997,229080
AMAT,16.64,1439766487017,24370499
APRI,1.19,1439766487035,45007
AREX,2.69,1439766487073,237180
APTO,5.26,1439766487164,1382
AQXP,22.25,1439766487291,2857817
AQMS,5.44,1439766487348,36756
AUMA,9.75,1439766487377,1486
AUMAU,NULL,1439766487429,0
AUMAW,0.27,1439766487481,9600
PETX,16.98,1439766487559,171169
ARCW,3.74,1439766487628,6686
ARDM,7.49,1439766487650,164
ABUS,8.4978,1439766487688,297770
ABIO,0.92,1439766487728,222980
RKDA,4.69,1439766487789,10701
ACAT,30,1439766487861,78303
ACGL,73.4547,1439766487886,200784
ARCB,32.61,1439766487938,134416
ARDX,18.91,1439766488039,59867
ARNA,3.397,1439766488120,1055655
ARCC,16.14,1439766488217,687294
AGII,57.86,1439766488245,79188
ARGS,4.21,1439766488268,14978
ARIA,7.27,1439766488312,1332183
AGIIL,25.37,1439766488341,3309
ARIS,3.32,1439766488441,300
ARKR,25.4,1439766488478,116
ARMH,42.47,1439766488616,10028759
ARTX,1.57,1439766488644,104073
ARWA,NULL,1439766488663,0
ARWAR,NULL,1439766488683,0
ARWAU,10.11,1439766488747,1334
ARWAW,NULL,1439766488818,0
ARQL,1.69,1439766488889,44695
ARRY,5.7,1439766488963,635862
ARRS,27.5836,1439766488994,439421
AROW,27.56,1439766489016,9694
ARWR,5.52,1439766489094,981689
DWAT,10.4642,1439766489153,1950
ARTNA,22.38,1439766489221,13665
ASBB,24.82,1439766489327,232
ASNA,12.36,1439766489350,725469
ARTW,4.5,1439766489435,2770
ASTI,0.22,1439766489491,731544
ASCMA,29.02,1439766489569,105505
ASND,17.02,1439766489622,67219
ASMI,38.99,1439766489646,1156
APWC,2.0912,1439766489668,1000
ASML,92.69,1439766489796,1154458
AZPN,37.65,1439766489818,2950503
ASMB,13.28,1439766489851,51498
ASFI,9.14,1439766489879,11702
ALOT,13.89,1439766489980,1069
ATRO,60.31,1439766490047,151389
ASTE,38.59,1439766490079,65215
ASTC,2.39,1439766490175,9367
ASUR,6.07,1439766490207,5246
ATRA,47.18,1439766490336,101591
ATAI,3.19,1439766490362,8015
ATHN,138.1303,1439766490386,123936
AFCB,28,1439766490421,518
AAPC,10.17,1439766490473,21
ATHX,1.19,1439766490513,84041
AAME,3.59,1439766490540,4202
ACFC,6.1,1439766490667,67949
ATNI,74.13,1439766490722,33722
AAWW,45.06,1439766490810,109644
ATLC,3.98,1439766490842,1571
AFH,17,1439766490865,26478
ATOS,0.98,1439766490944,56888
ATML,7.81,1439766490971,2155297
ATRC,26.46,1439766491072,83571
ATRI,407,1439766491139,1781
ATRM,3.07,1439766491248,908
AUBN,27.14,1439766491272,130
LIFE,14.33,1439766491291,25342
AUPH,3.42,1439766491321,11765
ATTU,14.58,1439766491339,48192
AUDC,3.18,1439766491426,91957
ADAT,0.1051,1439766491551,43263
ABTL,19.79,1439766491611,170648
ADSK,54.86,1439766491635,665236
EARS,5.04,1439766491657,6000
ADP,82.8833,1439766491708,1297619
AVGO,122.2,1439766491730,1569400
AAVL,10.03,1439766491936,3871799
AVNW,1.14,1439766491990,63992
AVID,9.15,1439766492013,308546
AVEO,1.17,1439766492044,377529
AVNU,13.1,1439766492072,284
CAR,44.07,1439766492099,1131755
AWRE,3.23,1439766492146,8828
AVGR,15.46,1439766492201,32693
ACLS,3.21,1439766492429,292850
AXPWW,NULL,1439766492455,0
AXGN,3.78,1439766492494,11354
AXPW,1.19,1439766492517,138494
AXTI,2.21,1439766492540,24702
BCOM,19.49,1439766492566,456
RILY,10,1439766492670,2210
BOSC,2.24,1439766492737,4700
BIDU,164.65,1439766492839,2586841
BWINA,23.35,1439766492898,300
BEAV,51.17,1439766492922,283649
BLDP,1.34,1439766492940,164191
BWINB,23.34,1439766492970,5299
BCPC,60.4,1439766492998,113481
BANF,62.967,1439766493101,9943
BANFP,NULL,1439766493229,0
BKMU,7.35,1439766493251,42685
BOCH,5.8,1439766493272,7263
BMRC,48.09,1439766493325,12032
BOTJ,11.18,1439766493542,1114
BKSC,15.97,1439766493573,2380
OZRK,43.87,1439766493608,189645
BFIN,12.3,1439766493667,13153
BWFG,18.28,1439766493688,526
BZUN,7.73,1439766493710,69178
BANR,47.94,1439766493732,34342
TAPR,31.71,1439766493760,1155
BHACU,NULL,1439766493931,0
BHACR,NULL,1439766493966,0
BHAC,NULL,1439766493995,0
BHACW,0.1301,1439766494098,223
BSET,31.45,1439766494315,35614
BBCN,15.55,1439766494342,167531
BYBK,5.11,1439766494371,5086
BYLK,12.94,1439766494400,1864
BCBP,11.71,1439766494423,3158
BBSI,37.64,1439766494449,41946
BV,5.38,1439766494472,155355
BDCV,5.03,1439766494495,688
BSF,9.11,1439766494687,13169
BBGI,4.94,1439766494713,544
BECN,36.2544,1439766494770,195135
BEBE,1.85,1439766494843,90320
BBBY,63.18,1439766494902,1178399
BELFA,17.18,1439766495072,18
BLPH,4.06,1439766495140,30581
BELFB,20.13,1439766495165,31899
BLCM,18.48,1439766495197,194850
BNFT,38.23,1439766495224,290873
BNTC,NULL,1439766495247,0
BNCL,12.87,1439766495294,173559
BGCP,9.59,1439766495322,448030
BGMD,0.8211,1439766495451,323491
BGFV,11.09,1439766495480,44403
BIND,4.43,1439766495581,24590
BASI,1.79,1439766495635,3070
ORPN,5.45,1439766495657,13788
BCDA,NULL,1439766495782,0
BCRX,11.68,1439766495805,517381
BIOC,1.85,1439766495881,194442
BDSI,6.6,1439766495931,832542
BIOD,0.7316,1439766495963,685384
BLFS,2.16,1439766495989,266859
BIIB,311,1439766496006,1139650
BLRX,1.51,1439766496034,57510
BIOL,1.62,1439766496187,13674
BVXV,4.25,1439766496234,2802
BMRN,134.51,1439766496256,440002
BVXVW,NULL,1439766496329,0
BPTH,1.18,1439766496400,50108
BRLI,35.45,1439766496498,176022
BBP,33.75,1439766496595,25634
BIOS,1.35,1439766496622,2048445
BSPM,0.68,1439766496656,51823
BBC,32.17,1439766496674,13726
BSTC,51.19,1439766496704,57413
TECH,105.65,1439766496723,57393
BOTA,2.33,1439766496751,16624
BEAT,11.62,1439766496977,77838
BITI,19.31,1439766497000,49440
BDMS,13.2,1439766497028,6
BJRI,46.18,1439766497134,155592
BBOX,15.86,1439766497198,63754
BLKB,62.98,1439766497286,108814
BKCC,9.51,1439766497331,235395
BDE,7.43,1439766497357,150675
BBRY,7.6,1439766497375,1853462
HAWK,43.5,1439766497409,241541
ADRA,28.75,1439766497508,3946
ADRE,31.45,1439766497534,17219
ADRD,23.44,1439766497558,402
ADRU,23.2666,1439766497689,934
BCOR,13.83,1439766497770,105205
BLMN,21.66,1439766497819,654740
BUFF,26.87,1439766497998,821531
BLBD,12.93,1439766498037,3084
BHBK,14.5,1439766498092,28477
BPMC,26.55,1439766498122,75584
BLUE,127.26,1439766498150,483144
BBLU,0.9223,1439766498168,105042
BKEP,6.78,1439766498218,25111
NILE,34.68,1439766498245,70839
BKEPP,7.89,1439766498341,27
BNCN,21.89,1439766498450,88290
BOFI,128.5,1439766498476,140173
BOBE,46.61,1439766498502,55212
WIFI,9.07,1439766498608,209485
BOJA,20.84,1439766498671,349611
BOKF,66.3333,1439766498802,37770
BONA,11.85,1439766498825,57249
BAMM,3.22,1439766498848,9700
BNSO,1.72,1439766498890,81525
BPFHP,25.58,1439766498984,1527
BPFH,12.46,1439766499012,160742
EPAY,26.1,1439766499034,94035
BPFHW,NULL,1439766499056,0
BDBD,8.99,1439766499213,313922
BBRG,12.89,1439766499241,82949
BCLI,2.88,1439766499263,86912
BBEP,2.8015,1439766499415,1250490
BLIN,1.39,1439766499519,26605
BDGE,28.06,1439766499579,39505
BRID,8.14,1439766499628,888
BCOV,5.53,1439766499658,65235
BBEPP,14.39,1439766499676,49326
BRCM,50.5,1439766499705,1594297
BVSN,6.02,1439766499756,16148
BSFT,34.34,1439766499808,62708
BYFC,1.37,1439766499904,576
BWEN,3.56,1439766499931,29481
BRKL,10.8,1439766499991,155821
BRCD,10.1084,1439766500014,1356271
BRKS,11.06,1439766500175,141610
BRKR,20.14,1439766500255,259738
BMTC,29.83,1439766500285,50947
BWLD,195.84,1439766500311,161440
BLMT,21.22,1439766500329,5561
BSQR,7.28,1439766500393,739972
BLDR,14.2717,1439766500455,535234
BUR,2.02,1439766500478,1200
CFFI,36.65,1439766500555,5286
CHRW,69.4,1439766500614,431828
CCMP,45.71,1439766500685,93512
CDNS,21.3859,1439766500784,1028237
CA,29.339,1439766500915,1039559
CZR,7.36,1439766500941,472177
CACQ,7.18,1439766500961,37061
CDZI,7.42,1439766500979,50224
CSTE,50.1161,1439766501013,463560
PRSS,4.8,1439766501113,23855
CLMS,11.78,1439766501170,71313
CLBS,1.4,1439766501195,196556
CHI,11.13,1439766501318,197498
CHY,11.91,1439766501345,179045
CFGE,NULL,1439766501363,0
CCD,20.6,1439766501381,57503
CHW,8.12,1439766501551,136951
CGO,12.79,1439766501611,20918
CVGW,53,1439766501695,95587
CAMP,16.59,1439766501755,205986
CALD,16.56,1439766501820,145443
CFNB,13.47,1439766501843,24
CSQ,10.56,1439766501862,251640
CALA,5.33,1439766501885,317892
CALM,52,1439766502024,480182
CAMB,NULL,1439766502169,0
CLMT,26.37,1439766502197,233743
ABCD,4.45,1439766502216,60248
CAMBU,NULL,1439766502294,0
CAMT,2.83,1439766502352,9466
CAMBW,NULL,1439766502374,0
CAC,40.42,1439766502399,6646
CSIQ,24.71,1439766502528,990174
CPHC,10.7,1439766502553,2295
CGIX,11.09,1439766502578,25176
CBNJ,10.87,1439766502605,10059
CPLA,49.93,1439766502706,58767
CBF,30.2,1439766502728,33918
CCBG,15.19,1439766502793,8373
CPLP,7.22,1439766502890,319847
CSWC,49.86,1439766502942,9545
CPTA,15.25,1439766502975,51575
CFFN,12.19,1439766503000,193120
CAPN,3.05,1439766503022,898859
CPST,0.4018,1439766503194,717302
CAPNW,0.7799,1439766503218,215
CAPR,4.12,1439766503241,35784
CARA,21.91,1439766503294,133308
CRDC,0.4,1439766503379,29190
CARB,11.66,1439766503403,42578
CBYL,6.28,1439766503426,38646
CFNL,23.528,1439766503582,59766
CRME,9.77,1439766503611,64964
CSII,24.2,1439766503634,177670
CATM,35.33,1439766503715,104211
CDNA,6.31,1439766503781,15675
CTRE,11.2122,1439766503808,361640
CKEC,23.95,1439766503839,83395
CLBH,12.8,1439766503938,1040
CECO,3.99,1439766503966,301907
CART,5.46,1439766504066,1338
CRZO,35.06,1439766504108,527432
TAST,12.93,1439766504135,101527
CARO,16.09,1439766504153,8504
CARV,5.86,1439766504286,212
CRTN,2.89,1439766504309,19546
CASM,1.12,1439766504327,32906
CACB,5.55,1439766504470,62322
CWST,6.27,1439766504497,153542
CSCD,14,1439766504536,19817
CASY,106.61,1439766504606,186358
CATB,11.99,1439766504703,18867
CASI,1.53,1439766504726,8742
CPRX,4.11,1439766504744,242775
CASS,51.35,1439766504778,10885
CATY,32.18,1439766504871,169694
CATYW,NULL,1439766504915,0
CVCO,73.4488,1439766505007,24994
CBFV,20.05,1439766505133,5187
CNLM,NULL,1439766505158,0
CAVM,71.64,1439766505181,319178
CNLMR,NULL,1439766505209,0
CNLMU,NULL,1439766505237,0
CNLMW,NULL,1439766505337,0
CBOE,64.4229,1439766505378,209983
CDW,39.18,1439766505438,1048758
CDK,50.99,1439766505506,409820
CPXX,2.25,1439766505564,67115
CECE,10.1,1439766505587,98965
CELG,129.24,1439766505632,2096121
CELGZ,1.98,1439766505670,24800
CLDN,1.05,1439766505796,110063
CLDX,16.34,1439766505818,2315311
CLRB,3.12,1439766505890,2069
CBMG,23.77,1439766505967,16338
CLLS,32.67,1439766505991,64503
CLRBW,0.85,1439766506015,4282
