Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
FCCY,NULL,1441376402292,0,100% bullish,of 1 rating,$13
TFSCW,NULL,1441376402322,0,100% bearish,of 1 rating,N/A
FLWS,$8.69,1441376402358,"25,954",80% bullish,of 5 ratings,$15
TFSCU,NULL,1441376402379,0,Not yet rated,NULL,N/A
TFSCR,NULL,1441376402407,0,Not yet rated,NULL,N/A
FCTY,NULL,1441376402432,0,100% bullish,of 1 rating,$8.50
TFSC,NULL,1441376402458,0,100% bearish,of 1 rating,N/A
PIH,$7.56,1441376402479,"1,600",100% bearish,of 1 rating,N/A
TWOU,$34.74,1441376402643,"19,056",50% bullish,of 2 ratings,$39
SRCE,$29.76,1441376402681,"3,282",100% bullish,of 3 ratings,$33
UGLD,$8.92,1441376402775,"70,398",100% bearish,of 1 rating,N/A
JOBS,$26.025,1441376402844,"11,347",50% bullish,of 4 ratings,$36
DGLD,$84.1476,1441376402870,"1,972",100% bullish,of 1 rating,N/A
USLV,$12.3399,1441376402890,"86,458",86% bullish,of 7 ratings,N/A
DSLV,$69.0869,1441376402925,"5,870",100% bearish,of 1 rating,N/A
VNET,$17.65,1441376402947,"18,759",60% bullish,of 5 ratings,$35
EGHT,$7.74,1441376403356,"39,658",82% bullish,of 17 ratings,$11
SHLM,$32.41,1441376403386,"4,593",100% bearish,of 1 rating,$47
AVHI,$13.48,1441376403437,"158,827",100% bearish,of 1 rating,$19
SIXD,$2.71,1441376403458,"3,630",Not yet rated,NULL,N/A
CAFD,$15.095,1441376403491,"8,306",Not yet rated,NULL,$24.50
AAON,$19.81,1441376403593,"3,193",100% bearish,of 1 rating,$24
ABEO,$4.6,1441376403906,"4,842",50% bullish,of 4 ratings,$15.50
AXAS,$1.705,1441376404036,"77,228",78% bullish,of 9 ratings,$3.50
ABMD,$93.6,1441376404077,"35,397",75% bullish,of 4 ratings,$100.50
ABY,$21.6,1441376404106,"259,727",100% bearish,of 2 ratings,$46
ABAX,$46.93,1441376404128,"5,442",100% bearish,of 1 rating,$60
ACTG,$9.11,1441376404167,"16,851",67% bullish,of 3 ratings,$18.50
ABEOW,NULL,1441376404194,0,100% bullish,of 1 rating,N/A
ABGB,$4.9999,1441376404217,"14,111",67% bullish,of 3 ratings,$5.50
ACHC,$72.43,1441376404346,"30,310",50% bullish,of 2 ratings,$92
ACAD,$39.1679,1441376404447,"162,484",80% bullish,of 20 ratings,$48
XLRN,$28.6912,1441376404694,"10,395",50% bullish,of 2 ratings,$57
AXDX,$18.98,1441376404735,"4,874",100% bearish,of 1 rating,N/A
ACST,$0.3,1441376404760,"2,700",100% bullish,of 2 ratings,N/A
ANCX,$19.32,1441376404792,"1,618",Not yet rated,NULL,$20
VXUP,$1.6,1441376404818,"1,135",100% bearish,of 1 rating,N/A
ACET,$22.165,1441376404846,"14,916",75% bullish,of 4 ratings,$30
ARAY,$6.55,1441376404979,"29,752",100% bearish,of 1 rating,$10.50
VXDN,$1.76,1441376405003,835,100% bearish,of 1 rating,N/A
ACRX,$4.3099,1441376405065,"40,372",67% bearish,of 6 ratings,$7
AKAO,$6.95,1441376405143,"4,745",75% bullish,of 4 ratings,$15
ACIW,$21.24,1441376405196,"14,528",67% bearish,of 3 ratings,$24
ACHN,$7.63,1441376405272,"401,991",90% bullish,of 21 ratings,$16
ACNB,NULL,1441376405297,0,Not yet rated,NULL,N/A
ACOR,$31.9,1441376405547,"19,573",67% bearish,of 3 ratings,$38.50
ACTS,$1.59,1441376405595,"3,700",100% bearish,of 1 rating,N/A
ACPW,$2,1441376405620,"13,174",100% bullish,of 4 ratings,$3.25
ATVI,$28.2,1441376405678,"796,410",67% bullish,of 84 ratings,$31.50
ACUR,$2.91,1441376405707,"1,000",100% bullish,of 5 ratings,$5
ACTA,$13.89,1441376405756,"3,758",67% bearish,of 3 ratings,$25
ACXM,$20.55,1441376405810,"13,236",67% bullish,of 3 ratings,N/A
ADMP,$3.433,1441376405837,"5,202",50% bullish,of 2 ratings,$10
