Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
TFSC,NULL,1440264002438,0,100% bearish,of 1 rating,N/A
PIH,$7.2,1440264002472,"15,400",100% bearish,of 1 rating,N/A
FCCY,$11.6,1440264002498,354,100% bullish,of 1 rating,$13
TFSCU,NULL,1440264002523,0,Not yet rated,NULL,N/A
FLWS,$9.36,1440264002573,"220,692",100% bullish,of 5 ratings,$15
VNET,$19.27,1440264002599,"733,790",60% bullish,of 5 ratings,$29.50
SRCE,$30.03,1440264002756,"55,334",100% bullish,of 3 ratings,$33
TFSCR,NULL,1440264002785,0,Not yet rated,NULL,N/A
TFSCW,NULL,1440264002889,0,100% bearish,of 1 rating,N/A
UGLD,$9.99,1440264002914,"253,649",100% bearish,of 1 rating,N/A
FCTY,$7.63,1440264002940,300,100% bullish,of 1 rating,$8.50
DSLV,$61.29,1440264003102,"22,007",100% bearish,of 1 rating,N/A
TWOU,$34.02,1440264003133,"673,961",50% bullish,of 2 ratings,$39
DGLD,$76.08,1440264003154,"21,135",100% bullish,of 1 rating,N/A
USLV,$14.59,1440264003234,"218,982",86% bullish,of 7 ratings,N/A
SIXD,$1.47,1440264003463,"250,988",Not yet rated,NULL,N/A
JOBS,$25.35,1440264003488,"172,084",50% bullish,of 4 ratings,$36
AVHI,$13.95,1440264003558,"37,920",100% bearish,of 1 rating,$19
ABY,$20,1440264003631,"1,100,886",100% bearish,of 2 ratings,$46
AAON,$21.67,1440264003658,"166,594",100% bearish,of 1 rating,$24
ABAX,$47.54,1440264003714,"139,615",100% bearish,of 1 rating,$60
SHLM,$34.05,1440264003736,"123,800",100% bearish,of 1 rating,$50
CAFD,$15.52,1440264003788,"330,925",Not yet rated,NULL,$25
ABGB,$4.09,1440264003814,"34,916",67% bullish,of 3 ratings,$5.50
ABEO,$4.83,1440264003955,"140,862",67% bullish,of 3 ratings,$15.50
ABEOW,$1.76,1440264003989,"2,525",100% bullish,of 1 rating,N/A
ACTG,$8.87,1440264004087,"323,174",67% bullish,of 3 ratings,$18.50
EGHT,$8.215,1440264004119,"436,691",82% bullish,of 17 ratings,$11
ABMD,$97.08,1440264004171,"831,796",75% bullish,of 4 ratings,$100.50
ACHC,$73.6762,1440264004351,"815,815",50% bullish,of 2 ratings,$92
ACAD,$38.13,1440264004415,"928,540",80% bullish,of 20 ratings,$48
ACST,$0.361,1440264004445,"71,223",100% bullish,of 2 ratings,N/A
AXAS,$1.56,1440264004482,"860,487",78% bullish,of 9 ratings,$3.50
AXDX,$17.93,1440264004513,"220,988",100% bearish,of 1 rating,N/A
ANCX,$18.76,1440264004550,"31,836",Not yet rated,NULL,$19
ARAY,$6.53,1440264004616,"3,387,732",100% bearish,of 1 rating,$10.50
XLRN,$28.36,1440264004685,"111,031",50% bullish,of 2 ratings,$57
VXUP,$27,1440264004759,"49,956",Not yet rated,NULL,N/A
ACRX,$4.05,1440264004790,"360,315",67% bearish,of 6 ratings,$5.50
VXDN,$5.5,1440264004816,"50,671",100% bearish,of 1 rating,N/A
ACET,$24.41,1440264005152,"127,207",75% bullish,of 4 ratings,$30
ACNB,$20.33,1440264005203,"1,376",Not yet rated,NULL,N/A
AKAO,$6.9457,1440264005233,"55,800",75% bullish,of 4 ratings,$15
ACOR,$29.75,1440264005298,"642,828",67% bearish,of 3 ratings,$38.50
ACTS,$1.3,1440264005335,"51,585",100% bearish,of 1 rating,N/A
ACPW,$1.856,1440264005527,"65,399",100% bullish,of 4 ratings,$3.50
ACTA,$13.89,1440264005561,"113,227",67% bearish,of 3 ratings,$25
ACHN,$7.75,1440264005598,"1,754,841",90% bullish,of 21 ratings,$16
ATVI,$27.2167,1440264005627,"5,132,751",68% bullish,of 84 ratings,$31.50
ACXM,$20.1276,1440264005654,"350,940",67% bullish,of 3 ratings,N/A
ADMS,$20.07,1440264005684,"78,833",100% bearish,of 2 ratings,$36
ACIW,$21.89,1440264005712,"571,274",50% bullish,of 2 ratings,$24
ACUR,$0.6182,1440264005733,"65,134",100% bullish,of 5 ratings,$1
ADMP,$3.65,1440264005901,"21,417",50% bullish,of 2 ratings,$10
ADAP,$12.53,1440264005926,"216,853",67% bullish,of 3 ratings,$22
AEY,$2.29,1440264006239,"39,023",100% bearish,of 2 ratings,N/A
ADUS,$29.83,1440264006268,"59,827",100% bearish,of 1 rating,$31
ADMA,$9.3,1440264006297,"3,500",Not yet rated,NULL,$19
ADTN,$15.59,1440264006318,"349,681",67% bullish,of 3 ratings,$17.125
ADEP,$6.75,1440264006340,"33,889",50% bullish,of 2 ratings,$10.75
AEIS,$25.055,1440264006373,"198,884",50% bullish,of 2 ratings,$32.50
ADRO,$19.44,1440264006395,"252,323",80% bullish,of 5 ratings,$45.50
ADXS,$14.5,1440264006565,"919,015",64% bullish,of 14 ratings,$27
AMD,$1.76,1440264006616,"7,935,981",83% bullish,of 103 ratings,$2
AEGR,$18.26,1440264006704,"394,681",50% bullish,of 6 ratings,$26
ADXSW,$10.15,1440264006836,"5,206",100% bullish,of 1 rating,N/A
ADBE,$78.87,1440264006969,"4,323,734",65% bullish,of 17 ratings,$90
MULT,NULL,1440264006993,0,100% bearish,of 1 rating,N/A
YPRO,$23.29,1440264007018,"4,120",100% bearish,of 1 rating,N/A
AEGN,$18.24,1440264007153,"212,917",100% bearish,of 1 rating,$21
AERI,$15.92,1440264007179,"361,223",75% bullish,of 4 ratings,$31.50
AEHR,$2.24,1440264007214,"7,972",50% bullish,of 2 ratings,N/A
AVAV,$24.38,1440264007240,"143,405",50% bullish,of 4 ratings,$31
AFMD,$9.78,1440264007376,"174,087",50% bullish,of 4 ratings,$15
AEMD,$7.22,1440264007423,"187,619",Not yet rated,NULL,$27.50
