Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
TFSC,NULL,1441120502816,0,100% bearish,of 1 rating,N/A
TFSCW,NULL,1441120502859,0,100% bearish,of 1 rating,N/A
PIH,$7.3423,1441120503000,850,100% bearish,of 1 rating,N/A
SRCE,$29.4,1441120503100,"6,925",100% bullish,of 3 ratings,$33
TFSCR,NULL,1441120503126,0,Not yet rated,NULL,N/A
FCTY,$7.85,1441120503156,"1,000",100% bullish,of 1 rating,$8.50
TFSCU,NULL,1441120503181,0,Not yet rated,NULL,N/A
FCCY,$11.5,1441120503210,100,100% bullish,of 1 rating,$13
FLWS,$8.3,1441120503259,"88,709",80% bullish,of 5 ratings,$15
VNET,$17.51,1441120503288,"171,512",60% bullish,of 5 ratings,$35
TWOU,$34.14,1441120503450,"69,560",50% bullish,of 2 ratings,$39
DSLV,$69.4595,1441120503476,"7,158",100% bearish,of 1 rating,N/A
UGLD,$9.469,1441120503618,"138,401",100% bearish,of 1 rating,N/A
DGLD,$79.5766,1441120503775,"6,053",100% bullish,of 1 rating,N/A
USLV,$12.4599,1441120503804,"63,696",86% bullish,of 7 ratings,N/A
JOBS,$25.79,1441120503830,"28,343",50% bullish,of 4 ratings,$36
SIXD,$2.37,1441120503908,"42,847",Not yet rated,NULL,N/A
AVHI,$13.82,1441120504004,"4,122",100% bearish,of 1 rating,$19
CAFD,$14.73,1441120504033,"40,707",Not yet rated,NULL,$25
EGHT,$7.71,1441120504135,"71,629",82% bullish,of 17 ratings,$11
ABAX,$47.21,1441120504160,"42,487",100% bearish,of 1 rating,$60
ABEO,$4.678,1441120504213,"22,674",50% bullish,of 4 ratings,$15.50
ABGB,$5.79,1441120504330,"33,336",67% bullish,of 3 ratings,$5.50
SHLM,$33.42,1441120504390,"13,845",100% bearish,of 1 rating,$47
AAON,$20.16,1441120504416,"22,825",100% bearish,of 1 rating,$24
ABEOW,$1.6001,1441120504482,550,100% bullish,of 1 rating,N/A
ABY,$22.045,1441120504614,"138,924",100% bearish,of 2 ratings,$46
AXAS,$1.9085,1441120504639,"233,655",78% bullish,of 9 ratings,$3.50
ABMD,$95.6499,1441120504690,"80,129",75% bullish,of 4 ratings,$100.50
ACHC,$71.66,1441120504868,"72,725",50% bullish,of 2 ratings,$92
ACST,$0.3501,1441120504941,"7,301",100% bullish,of 2 ratings,N/A
ACAD,$36.37,1441120504969,"162,035",80% bullish,of 20 ratings,$48
ACTG,$9.12,1441120505071,"37,518",67% bullish,of 3 ratings,$18.50
AXDX,$19.75,1441120505096,"27,506",100% bearish,of 1 rating,N/A
XLRN,$28.9,1441120505237,"17,486",50% bullish,of 2 ratings,$57
ACRX,$4.3589,1441120505263,"94,431",67% bearish,of 6 ratings,$5.50
ARAY,$6.7899,1441120505320,"114,782",100% bearish,of 1 rating,$10.50
ACET,$22.17,1441120505347,"18,909",75% bullish,of 4 ratings,$30
VXDN,$1.7851,1441120505398,"79,299",100% bearish,of 1 rating,N/A
ANCX,$20.1,1441120505424,"3,692",Not yet rated,NULL,$20
VXUP,$1.72,1441120505563,"42,593",100% bearish,of 1 rating,N/A
AKAO,$6.96,1441120505771,"6,984",75% bullish,of 4 ratings,$15
ACIW,$21.23,1441120505791,"47,229",67% bearish,of 3 ratings,$24
ACHN,$7.2,1441120505823,"328,682",90% bullish,of 21 ratings,$16
ACOR,$32.36,1441120505934,"113,902",67% bearish,of 3 ratings,$38.50
ACXM,$20.799,1441120506067,"38,681",67% bullish,of 3 ratings,N/A
ACPW,$2.0172,1441120506193,"16,743",100% bullish,of 4 ratings,$3.25
ACNB,$19.94,1441120506229,"1,107",Not yet rated,NULL,N/A
ADMS,$19.86,1441120506250,"10,779",100% bearish,of 2 ratings,$36
ACUR,$2.9399,1441120506288,"7,559",100% bullish,of 5 ratings,$5
ATVI,$27.935,1441120506316,"2,033,255",67% bullish,of 84 ratings,$31.50
ACTA,$14,1441120506345,"9,194",67% bearish,of 3 ratings,$25
ACTS,$1.64,1441120506366,"4,808",100% bearish,of 1 rating,N/A
ADMP,$3.64,1441120506402,561,50% bullish,of 2 ratings,$10
AEY,$2.4,1441120506584,"1,482",100% bearish,of 2 ratings,N/A
ADAP,$11.49,1441120506665,"31,906",67% bullish,of 3 ratings,$22
ADUS,$28.57,1441120506834,"8,932",100% bearish,of 1 rating,$31
ADTN,$15.875,1441120506879,"43,359",67% bullish,of 3 ratings,$17.125
ADXS,$14.29,1441120506916,"147,564",64% bullish,of 14 ratings,$27
ADEP,$6.66,1441120507042,"40,681",50% bullish,of 2 ratings,$10.75
AEIS,$24.095,1441120507091,"37,802",50% bullish,of 2 ratings,$32.50
ADBE,$77.33,1441120507118,"484,778",65% bullish,of 17 ratings,$90
ADRO,$18.5395,1441120507148,"75,341",80% bullish,of 5 ratings,$45.50
ADMA,$9.2767,1441120507169,"2,150",Not yet rated,NULL,$19
ADXSW,$10.48,1441120507204,"5,778",100% bullish,of 1 rating,N/A
MULT,NULL,1441120507302,0,100% bearish,of 1 rating,N/A
AMD,$1.78,1441120507346,"1,010,418",83% bullish,of 103 ratings,$2
YPRO,NULL,1441120507581,0,100% bearish,of 1 rating,N/A
AEGN,$18.24,1441120507622,"26,056",100% bearish,of 2 ratings,$21
AEGR,$17.82,1441120507723,"59,151",50% bullish,of 6 ratings,$26
AMTX,$2.93,1441120507756,"3,764",50% bullish,of 2 ratings,$26.11
AVAV,$23.58,1441120507855,"14,498",50% bullish,of 4 ratings,$31
AEHR,$2.37,1441120507880,"4,644",50% bullish,of 2 ratings,N/A
AERI,$15.86,1441120507919,"97,718",75% bullish,of 4 ratings,$31.50
AEPI,$54.2401,1441120508024,"3,028",100% bearish,of 1 rating,N/A
AGEN,$7.03,1441120508084,"118,576",85% bullish,of 13 ratings,$14
AEZS,$0.0862,1441120508156,"3,230,243",90% bullish,of 21 ratings,$1.50
AFMD,$10.073,1441120508215,"26,395",50% bullish,of 4 ratings,$15
AFFX,$9.26,1441120508240,"63,708",80% bullish,of 5 ratings,$12.50
AEMD,$7.43,1441120508398,"7,038",Not yet rated,NULL,$27.50
AGRX,$8.63,1441120508423,"2,232",100% bearish,of 1 rating,$17.50
AGYS,$10.16,1441120508582,"1,848",100% bearish,of 1 rating,N/A
AGFSW,$2.01,1441120508606,500,100% bearish,of 2 ratings,N/A
AGFS,$9.89,1441120508669,"23,305",100% bearish,of 1 rating,N/A
AIMT,$20.9,1441120508696,"32,109",Not yet rated,NULL,$35.50
AGIO,$85.0301,1441120508717,"62,441",88% bullish,of 8 ratings,$114
AIRM,$35.814,1441120508897,"41,556",80% bearish,of 5 ratings,$53
AIRT,$22.3,1441120508940,504,100% bullish,of 1 rating,N/A
AMCN,$4.42,1441120508970,"65,640",83% bullish,of 6 ratings,N/A
ATSG,$8.915,1441120508997,"23,042",67% bullish,of 3 ratings,$13
AKBA,$7.2976,1441120509040,"71,449",100% bearish,of 1 rating,$18
AIXG,$6.32,1441120509076,"2,143",67% bearish,of 3 ratings,$5.25
AKER,$2.55,1441120509170,20,Not yet rated,NULL,N/A
AKAM,$71.29,1441120509204,"408,334",63% bullish,of 8 ratings,$77.50
AKRX,$39.1402,1441120509231,"109,051",78% bullish,of 9 ratings,$56
ALRM,$16.3192,1441120509559,"32,958",100% bearish,of 1 rating,$22
ALSK,$2.194,1441120509617,"37,304",78% bullish,of 18 ratings,$2
ALDX,$7.1699,1441120509642,"1,100",100% bearish,of 1 rating,$14.50
