Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
PIH,$7.22,1440623402673,"6,200",100% bearish,of 1 rating,N/A
FLWS,$9.6,1440623402716,"360,452",100% bullish,of 5 ratings,$15
FCCY,$11.6,1440623402814,"2,264",100% bullish,of 1 rating,$13
FCTY,$8.01,1440623402844,"4,467",100% bullish,of 1 rating,$8.50
SRCE,$29.15,1440623403043,"46,378",100% bullish,of 3 ratings,$33
VNET,$15.77,1440623403175,"930,701",60% bullish,of 5 ratings,$29.50
DGLD,$83.54,1440623403200,"18,113",100% bullish,of 1 rating,N/A
TWOU,$34.59,1440623403367,"167,487",50% bullish,of 2 ratings,$39
DSLV,$76.25,1440623403415,"20,579",100% bearish,of 1 rating,N/A
JOBS,$27.03,1440623403735,"83,386",50% bullish,of 4 ratings,$36
UGLD,$9.01,1440623403759,"171,028",100% bearish,of 1 rating,N/A
USLV,$11.35,1440623403784,"675,434",86% bullish,of 7 ratings,N/A
EGHT,$7.725,1440623404223,"463,172",82% bullish,of 17 ratings,$11
SIXD,$2.89,1440623404279,"407,448",Not yet rated,NULL,N/A
CAFD,$14.21,1440623404306,"228,939",Not yet rated,NULL,$25
AVHI,$13.96,1440623404372,"27,749",100% bearish,of 1 rating,$19
ABGB,$6.58,1440623404784,"267,694",67% bullish,of 3 ratings,$5.50
AAON,$20.13,1440623404809,"163,751",100% bearish,of 1 rating,$24
ABAX,$46.96,1440623405190,"127,185",100% bearish,of 1 rating,$60
SHLM,$33.24,1440623405274,"110,908",100% bearish,of 1 rating,$50
ABY,$21.3,1440623405332,"801,230",100% bearish,of 2 ratings,$46
ABMD,$97.29,1440623405356,"353,665",75% bullish,of 4 ratings,$100.50
ABEO,$4.58,1440623405717,"98,771",50% bullish,of 4 ratings,$15.50
ABEOW,$1.85,1440623405851,"2,345",100% bullish,of 1 rating,N/A
AXAS,$1.59,1440623406068,"740,977",78% bullish,of 9 ratings,$3.50
ACHC,$70.4016,1440623406096,"623,609",50% bullish,of 2 ratings,$92
ACTG,$8.935,1440623406121,"279,772",67% bullish,of 3 ratings,$18.50
ACAD,$36.38,1440623406259,"701,693",80% bullish,of 20 ratings,$48
ACST,$0.34,1440623406572,"21,805",100% bullish,of 2 ratings,N/A
AXDX,$18.61,1440623406597,"158,740",100% bearish,of 1 rating,N/A
XLRN,$28.25,1440623406847,"170,451",50% bullish,of 2 ratings,$57
ANCX,$19.7,1440623406977,"28,386",Not yet rated,NULL,$20
VXDN,$1.97,1440623407110,"42,365",100% bearish,of 1 rating,N/A
ARAY,$6.42,1440623407135,"827,313",100% bearish,of 1 rating,$10.50
VXUP,$1.47,1440623407269,"68,784",100% bearish,of 1 rating,N/A
ACRX,$4.21,1440623407400,"173,012",67% bearish,of 6 ratings,$5.50
ACHN,$7.34,1440623407526,"1,750,040",90% bullish,of 21 ratings,$16
ACET,$22.68,1440623407552,"84,389",75% bullish,of 4 ratings,$30
ACIW,$21.08,1440623407578,"489,897",67% bearish,of 3 ratings,$24
AKAO,$6.71,1440623407626,"120,839",75% bullish,of 4 ratings,$15
ACNB,$19.76,1440623407939,"4,700",Not yet rated,NULL,N/A
TFSCR,NULL,1440623407987,0,Not yet rated,NULL,N/A
TFSC,$9.73,1440623408120,"11,900",100% bearish,of 1 rating,N/A
ACPW,$1.8,1440623408153,"36,556",100% bullish,of 4 ratings,$3.50
TFSCU,NULL,1440623408174,0,Not yet rated,NULL,N/A
ACTS,$1.57,1440623408196,"21,329",100% bearish,of 1 rating,N/A
TFSCW,NULL,1440623408248,0,100% bearish,of 1 rating,N/A
ACOR,$31.96,1440623408334,"830,337",67% bearish,of 3 ratings,$38.50
ACTA,$13,1440623408466,"72,427",67% bearish,of 3 ratings,$25
ACUR,$0.51,1440623408496,"48,034",100% bullish,of 5 ratings,$1
ATVI,$27.29,1440623408523,"4,845,029",68% bullish,of 84 ratings,$31.50
ADAP,$11.45,1440623408792,"197,620",67% bullish,of 3 ratings,$22
ADMS,$19.73,1440623408851,"45,781",100% bearish,of 2 ratings,$36
AEY,$2.3,1440623409016,"2,445",100% bearish,of 2 ratings,N/A
ACXM,$20.37,1440623409049,"317,175",67% bullish,of 3 ratings,N/A
ADMP,$3.46,1440623409103,"26,598",50% bullish,of 2 ratings,$10
ADEP,$6.5,1440623409450,"37,513",50% bullish,of 2 ratings,$10.75
ADUS,$28.29,1440623409477,"54,197",100% bearish,of 1 rating,$31
ADRO,$19.34,1440623409617,"226,833",80% bullish,of 5 ratings,$45.50
ADBE,$80.1945,1440623409642,"2,753,301",65% bullish,of 17 ratings,$90
AEIS,$24.11,1440623409715,"124,976",50% bullish,of 2 ratings,$32.50
ADXSW,$9.12,1440623409953,"32,595",100% bullish,of 1 rating,N/A
ADXS,$13.65,1440623409995,"856,278",64% bullish,of 14 ratings,$27
ADMA,$9.05,1440623410020,"4,747",Not yet rated,NULL,$19
AMD,$1.72,1440623410085,"7,340,404",83% bullish,of 103 ratings,$2
MULT,NULL,1440623410148,0,100% bearish,of 1 rating,N/A
ADTN,$15.345,1440623410184,"272,984",67% bullish,of 3 ratings,$17.125
AEGR,$17.7,1440623410227,"300,099",50% bullish,of 6 ratings,$26
YPRO,$22.97,1440623410316,"2,612",100% bearish,of 1 rating,N/A
AEGN,$17.96,1440623410361,"119,754",100% bearish,of 2 ratings,$21
AMTX,$2.48,1440623410616,"28,939",50% bullish,of 2 ratings,$26.11
AEHR,$2.32,1440623410641,"3,124",50% bullish,of 2 ratings,N/A
AERI,$15.96,1440623410797,"239,646",75% bullish,of 4 ratings,$31.50
AFMD,$10.04,1440623410856,"169,869",50% bullish,of 4 ratings,$15
AEPI,$54.3,1440623410926,"9,804",100% bearish,of 1 rating,N/A
AEZS,$0.0802,1440623411072,"4,829,729",90% bullish,of 21 ratings,$1.50
AGRX,$8.42,1440623411132,"14,139",100% bearish,of 1 rating,$17.50
AVAV,$23.41,1440623411158,"76,687",50% bullish,of 4 ratings,$31
AGEN,$6.91,1440623411368,"912,255",85% bullish,of 13 ratings,$14
AGFS,$10.05,1440623411444,"42,033",100% bearish,of 1 rating,N/A
AEMD,$6.92,1440623411502,"19,705",Not yet rated,NULL,$27.50
AGYS,$9.54,1440623411577,"41,357",100% bearish,of 1 rating,N/A
AGIO,$87.45,1440623411635,"404,843",88% bullish,of 8 ratings,$114
AGFSW,$1.89,1440623411766,"17,243",100% bearish,of 2 ratings,N/A
AFFX,$9.24,1440623411799,"356,438",80% bullish,of 5 ratings,$12
AIXG,$5.81,1440623412509,"15,318",67% bearish,of 3 ratings,$5.25
AIRM,$35.85,1440623412591,"217,057",80% bearish,of 5 ratings,$53
AIRT,$22.68,1440623412623,885,100% bullish,of 1 rating,N/A
ATSG,$8.73,1440623412654,"229,466",67% bullish,of 3 ratings,$13
AIMT,$22.67,1440623412676,"128,544",Not yet rated,NULL,N/A
AKAM,$68.17,1440623412707,"1,272,952",63% bullish,of 8 ratings,$77
AKER,$2.52,1440623412734,"79,700",Not yet rated,NULL,N/A
AMCN,$4.49,1440623412760,"503,016",83% bullish,of 6 ratings,N/A
AKBA,$6.35,1440623412922,"178,822",100% bearish,of 1 rating,$18
AMRI,$20.02,1440623413052,"535,651",75% bearish,of 4 ratings,$24
AKRX,$39.0053,1440623413126,"751,839",78% bullish,of 9 ratings,$56
ALSK,$2.03,1440623413186,"100,565",78% bullish,of 18 ratings,$2
ALRM,$16.29,1440623413284,"202,192",100% bearish,of 1 rating,$22
ABDC,$11.74,1440623413312,"60,064",Not yet rated,NULL,$15
ADHD,$7.84,1440623413340,"134,132",50% bullish,of 4 ratings,$18
ALDR,$38.54,1440623413366,"289,269",67% bearish,of 3 ratings,$62
ALDX,$6.77,1440623413496,"7,837",100% bearish,of 1 rating,$14.50
