Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
TFSC,NULL,1439842503003,0,100% bearish,of 1 rating,N/A
FCCY,$11.73,1439842503035,"4,389",100% bullish,of 1 rating,$13
PIH,$7.7,1439842503068,"9,875",100% bearish,of 1 rating,N/A
TFSCW,NULL,1439842503088,0,100% bearish,of 1 rating,N/A
TFSCR,$0.35,1439842503118,"1,600",Not yet rated,NULL,N/A
TFSCU,NULL,1439842503139,0,Not yet rated,NULL,N/A
FLWS,$9.6292,1439842503169,"77,916",100% bullish,of 5 ratings,$15
SRCE,$31.35,1439842503191,"17,384",100% bullish,of 3 ratings,$33
USLV,$14.79,1439842503481,"117,234",86% bullish,of 7 ratings,N/A
FCTY,NULL,1439842503619,0,100% bullish,of 1 rating,$8.50
DSLV,$61.9,1439842503655,"5,392",100% bearish,of 1 rating,N/A
DGLD,$85.482,1439842503676,"1,294",100% bullish,of 1 rating,N/A
TWOU,$35.97,1439842503715,"495,747",50% bullish,of 2 ratings,$39
JOBS,$28.49,1439842503736,"70,363",50% bullish,of 4 ratings,$36
UGLD,$8.907,1439842503769,"59,561",100% bearish,of 1 rating,N/A
VNET,$21.45,1439842503790,"593,356",60% bullish,of 5 ratings,$29.50
CAFD,$15.57,1439842504239,"62,777",Not yet rated,NULL,$25
SHLM,$35.54,1439842504274,"55,520",100% bearish,of 1 rating,$50
ABY,$22.2,1439842504379,"387,915",100% bearish,of 2 ratings,$46
AVHI,$14.12,1439842504432,"21,916",100% bearish,of 1 rating,$19
EGHT,$8.58,1439842504462,"160,557",82% bullish,of 17 ratings,$11
SIXD,$2.965,1439842504488,"59,476",Not yet rated,NULL,N/A
AAON,$23,1439842504536,"48,879",100% bearish,of 1 rating,$24
ABAX,$48.27,1439842504561,"78,709",100% bearish,of 1 rating,$60
ABEOW,$2.35,1439842504694,"1,470",100% bullish,of 1 rating,N/A
ABMD,$106.45,1439842504746,"358,862",75% bullish,of 4 ratings,$86
AXAS,$1.81,1439842504820,"415,624",78% bullish,of 9 ratings,$3.50
ACHC,$81.84,1439842504997,"421,894",50% bullish,of 2 ratings,$92
ACAD,$39.4,1439842505046,"544,943",85% bullish,of 20 ratings,$48
ACTG,$8.8451,1439842505088,"240,175",67% bullish,of 3 ratings,$18.50
ABGB,$4.93,1439842505129,"46,791",67% bullish,of 3 ratings,$5.50
ABEO,$5.39,1439842505187,"86,654",67% bullish,of 3 ratings,$15.50
AXDX,$19.52,1439842505426,"92,013",100% bearish,of 1 rating,N/A
VXUP,$16.9,1439842505606,"26,591",Not yet rated,NULL,N/A
ARAY,$6.16,1439842505637,"424,827",100% bearish,of 1 rating,$10.50
VXDN,$17.02,1439842505658,"3,615",Not yet rated,NULL,N/A
XLRN,$32.32,1439842505746,"143,343",50% bullish,of 2 ratings,$57
