AETI,$4.05,1439683817316,1241
ANAT,$104.931,1439683817398,15994
AMIC,$10.26,1439683817424,3
AMNB,$23.23,1439683817440,8672
APEI,$22.03,1439683817460,36788
ARII,$40.52,1439683817554,156983
ASEI,$39.89,1439683817649,32018
AMRB,$10.1,1439683817790,5564
AMSWA,$9.31,1439683817803,28210
AMWD,$65.3878,1439683817847,87312
AMSC,$4.11,1439683817867,25769
CRMT,$46.35,1439683818024,13664
ABCB,$28.058,1439683818043,122269
ASRV,$3.3,1439683818085,2858
AMSF,$50.37,1439683818101,30540
ATLO,$23.46,1439683818221,3702
AMGN,$167.72,1439683818250,1715864
AMKR,$4.45,1439683818382,785910
AMPH,$14.64,1439683818413,158759
FOLD,$15.97,1439683818431,824112
AMSG,$84.8,1439683818612,199521
AFSI,$62.9255,1439683818742,254270
ASYS,$5.83,1439683818761,54662
AMRS,$1.68,1439683818780,87693
ANAC,$136.22,1439683818859,395676
ANAD,$0.3061,1439683818877,553257
ANCB,$22.95,1439683818969,830
ADI,$58.84,1439683819032,871498
ABCW,$41.532,1439683819062,13741
AMCF,$0.3,1439683819144,36055
ALOG,$78.8,1439683819170,69157
ANGI,$4.4,1439683819291,217296
ANGO,$14.88,1439683819333,59404
ANIP,$54.76,1439683819427,152414
ANIK,$35.96,1439683819447,57914
ATRS,$1.89,1439683819466,387131
ANSS,$94.26,1439683819548,265800
ABAC,$0.92,1439683819649,4540
APIC,$8.14,1439683819744,120354
APOG,$54.27,1439683819816,230022
ATNY,$2.41,1439683819835,1519
APOL,$11.77,1439683819880,591187
ANTH,$9.22,1439683819905,581423
AINV,$6.7571,1439683819997,1466887
APPF,$16.75,1439683820015,25821
APDN,$3.37,1439683820231,80801
AGTC,$15.64,1439683820313,42383
APDNW,$1.29,1439683820332,2500
AMAT,$16.64,1439683820373,24370499
ARCI,$1.36,1439683820394,543
AMCC,$5.85,1439683820443,944701
AAOI,$22.11,1439683820622,229080
AAPL,$116.14,1439683820647,24640968
AREX,$2.69,1439683820666,237180
