Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
TFSCR,NULL,1439993402210,0,Not yet rated,NULL,N/A
FLWS,$9.5539,1439993402235,"14,882",100% bullish,of 5 ratings,$15
PIH,NULL,1439993402288,0,100% bearish,of 1 rating,N/A
TFSC,NULL,1439993402374,0,100% bearish,of 1 rating,N/A
FCCY,NULL,1439993402419,0,100% bullish,of 1 rating,$13
FCTY,NULL,1439993402473,0,100% bullish,of 1 rating,$8.50
TFSCW,NULL,1439993402550,0,100% bearish,of 1 rating,N/A
TFSCU,NULL,1439993402616,0,Not yet rated,NULL,N/A
TWOU,$35.085,1439993402646,"16,952",50% bullish,of 2 ratings,$39
SRCE,$30.423,1439993402679,"6,399",100% bullish,of 3 ratings,$33
VNET,$20.95,1439993402755,"27,065",60% bullish,of 5 ratings,$29.50
DSLV,$62.46,1439993402957,"7,158",100% bearish,of 1 rating,N/A
UGLD,$9.1299,1439993403092,"42,852",100% bearish,of 1 rating,N/A
USLV,$14.45,1439993403146,"128,312",86% bullish,of 7 ratings,N/A
JOBS,$27.77,1439993403172,"9,399",50% bullish,of 4 ratings,$36
DGLD,$83.2101,1439993403223,"4,095",100% bullish,of 1 rating,N/A
EGHT,$8.55,1439993403383,"25,150",82% bullish,of 17 ratings,$11
SIXD,$2.275,1439993403458,"6,687",Not yet rated,NULL,N/A
CAFD,$15.63,1439993403489,"26,146",Not yet rated,NULL,$25
ABY,$21.435,1439993403593,"14,404",100% bearish,of 2 ratings,$46
SHLM,$34.92,1439993403627,"20,658",100% bearish,of 1 rating,$50
ABAX,$47.57,1439993403656,"31,381",100% bearish,of 1 rating,$60
ABEO,$5.35,1439993403724,"106,447",67% bullish,of 3 ratings,$15.50
AAON,$22.8972,1439993403788,"7,906",100% bearish,of 1 rating,$24
AVHI,$14.33,1439993403839,"1,718",100% bearish,of 1 rating,$19
ABGB,$4.32,1439993403867,"27,154",67% bullish,of 3 ratings,$5.50
ABEOW,$2.2,1439993404095,"3,389",100% bullish,of 1 rating,N/A
AXAS,$1.74,1439993404250,"44,142",78% bullish,of 9 ratings,$3.50
ABMD,$103.465,1439993404326,"68,353",75% bullish,of 4 ratings,$86
ACHC,$80.08,1439993404383,"33,925",50% bullish,of 2 ratings,$92
ACST,$0.365,1439993404412,"1,200",100% bullish,of 2 ratings,N/A
ACAD,$38.66,1439993404441,"46,945",85% bullish,of 20 ratings,$48
ACTG,$8.58,1439993404467,"38,832",67% bullish,of 3 ratings,$18.50
XLRN,$30.42,1439993404522,"5,060",50% bullish,of 2 ratings,$57
AXDX,$18.84,1439993404626,"27,285",100% bearish,of 1 rating,N/A
ARAY,$6.015,1439993404713,"77,231",100% bearish,of 1 rating,$10.50
VXDN,$14.388,1439993404771,138,Not yet rated,NULL,N/A
VXUP,$17.29,1439993404856,"6,250",Not yet rated,NULL,N/A
ACRX,$4.33,1439993404882,"29,970",67% bearish,of 6 ratings,$5.50
ANCX,$19.24,1439993404910,"2,936",Not yet rated,NULL,$19
ACET,$25.07,1439993405066,"6,359",75% bullish,of 4 ratings,$30
AKAO,$6.91,1439993405098,"11,480",75% bullish,of 4 ratings,$15
ACHN,$8.79,1439993405234,"201,112",90% bullish,of 21 ratings,$16
ACNB,$20.12,1439993405263,63,Not yet rated,NULL,N/A
ACTS,$1.47,1439993405289,"2,504",100% bearish,of 1 rating,N/A
ACIW,$22.63,1439993405315,"17,138",50% bullish,of 2 ratings,$24
ACPW,$1.8799,1439993405475,"4,200",100% bullish,of 4 ratings,$3.50
ACOR,$30.99,1439993405501,"15,802",67% bearish,of 3 ratings,$38.50
ACTA,$13.43,1439993405629,"3,748",67% bearish,of 3 ratings,$25
ADMS,$20.59,1439993405655,"2,402",100% bearish,of 2 ratings,$36
ATVI,$29.1,1439993405687,"225,998",68% bullish,of 84 ratings,$31.50
ACXM,$20.86,1439993405729,"31,042",67% bullish,of 3 ratings,N/A
ACUR,$0.622,1439993405790,"4,788",100% bullish,of 5 ratings,$1
ADMP,$3.8,1439993405866,404,50% bullish,of 2 ratings,$10
ADAP,$15.2501,1439993405924,"2,116",67% bullish,of 3 ratings,$22
ADUS,$30.437,1439993406001,"5,738",100% bearish,of 1 rating,$31
AEY,$2.3499,1439993406135,"6,599",100% bearish,of 2 ratings,N/A
ADEP,$7.4475,1439993406267,"4,453",50% bullish,of 2 ratings,$10.75
ADTN,$16.02,1439993406327,"39,129",67% bullish,of 3 ratings,$17.125
ADRO,$21.445,1439993406459,"12,130",80% bullish,of 5 ratings,$45.50
AMD,$1.8,1439993406485,"452,592",83% bullish,of 102 ratings,$2
ADMA,NULL,1439993406518,0,Not yet rated,NULL,$19
ADBE,$85.98,1439993406546,"82,152",65% bullish,of 17 ratings,$90
ADXS,$15.76,1439993406568,"64,379",64% bullish,of 14 ratings,$27
AEIS,$25.895,1439993406613,"8,484",50% bullish,of 2 ratings,$32.50
ADXSW,NULL,1439993406759,0,100% bullish,of 1 rating,N/A
MULT,NULL,1439993406786,0,100% bearish,of 1 rating,N/A
AEGR,$18.68,1439993407022,"31,890",50% bullish,of 6 ratings,$26
AEHR,$2.24,1439993407105,12,50% bullish,of 2 ratings,N/A
YPRO,NULL,1439993407129,0,100% bearish,of 1 rating,N/A
AEGN,$18.56,1439993407181,"10,280",100% bearish,of 1 rating,$21
AERI,$16.25,1439993407208,"38,791",75% bullish,of 4 ratings,$31.50
AEPI,$57.18,1439993407268,"1,039",100% bearish,of 1 rating,N/A
AMTX,NULL,1439993407372,0,50% bullish,of 2 ratings,$26.11
AVAV,$25.62,1439993407433,"16,605",50% bullish,of 4 ratings,$31
AEZS,$0.1196,1439993407510,"2,570,036",90% bullish,of 21 ratings,$1.50
AEMD,$7.1275,1439993407566,"9,426",Not yet rated,NULL,$27.50
AGEN,$7.49,1439993407596,"45,440",85% bullish,of 13 ratings,$14
AFFX,$9.75,1439993407730,"13,242",80% bullish,of 5 ratings,$12
AGRX,$8.52,1439993407759,"2,282",100% bearish,of 1 rating,$18
AGYS,$9.38,1439993407799,522,100% bearish,of 1 rating,N/A
AFMD,$10.958,1439993407825,"53,521",50% bullish,of 4 ratings,$15
AGFS,$10,1439993408019,"68,679",100% bearish,of 1 rating,N/A
AGIO,$94.04,1439993408090,"16,358",88% bullish,of 8 ratings,$114
AIMT,$24.7999,1439993408223,"7,687",Not yet rated,NULL,N/A
ATSG,$9.54,1439993408301,"12,662",67% bullish,of 3 ratings,$13
AIRT,$22.99,1439993408333,100,100% bullish,of 1 rating,N/A
