Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
FLWS,$9.39,1440537602961,"202,268",100% bullish,of 5 ratings,$15
TFSCU,$10.14,1440537602990,"1,007",Not yet rated,NULL,N/A
FCTY,$7.87,1440537603065,"9,794",100% bullish,of 1 rating,$8.50
FCCY,$11.5,1440537603091,"1,169",100% bullish,of 1 rating,$13
UGLD,$9.4,1440537603497,"230,372",100% bearish,of 1 rating,N/A
TFSCR,NULL,1440537603529,0,Not yet rated,NULL,N/A
DSLV,$69.45,1440537603556,"12,407",100% bearish,of 1 rating,N/A
TFSCW,$0.2,1440537603589,"4,000",100% bearish,of 1 rating,N/A
TFSC,NULL,1440537603626,0,100% bearish,of 1 rating,N/A
PIH,$7.19,1440537603652,"1,509",100% bearish,of 1 rating,N/A
VNET,$17.28,1440537603682,"439,316",60% bullish,of 5 ratings,$29.50
SRCE,$28.37,1440537603708,"23,059",100% bullish,of 3 ratings,$33
USLV,$12.7,1440537603994,"297,775",86% bullish,of 7 ratings,N/A
TWOU,$34.02,1440537604019,"231,184",50% bullish,of 2 ratings,$39
DGLD,$80.07,1440537604098,"27,460",100% bullish,of 1 rating,N/A
JOBS,$27.1662,1440537604168,"159,099",50% bullish,of 4 ratings,$36
SHLM,$32.51,1440537604476,"101,774",100% bearish,of 1 rating,$50
SIXD,$3.49,1440537604502,"1,617,120",Not yet rated,NULL,N/A
AAON,$19.84,1440537604527,"119,806",100% bearish,of 1 rating,$24
ABY,$20.04,1440537604581,"1,052,703",100% bearish,of 2 ratings,$46
CAFD,$14.18,1440537604712,"1,318,056",Not yet rated,NULL,$25
EGHT,$7.64,1440537604766,"550,872",82% bullish,of 17 ratings,$11
AVHI,$13.74,1440537604794,"43,111",100% bearish,of 1 rating,$19
ABGB,$4.87,1440537604815,"146,544",67% bullish,of 3 ratings,$5.50
ABEO,$4.4,1440537604950,"98,098",50% bullish,of 4 ratings,$15.50
ABEOW,$1.86,1440537604975,"13,984",100% bullish,of 1 rating,N/A
ABAX,$46.4,1440537605119,"117,294",100% bearish,of 1 rating,$60
ABMD,$93,1440537605288,"459,674",75% bullish,of 4 ratings,$100.50
AXDX,$18.25,1440537605516,"156,477",100% bearish,of 1 rating,N/A
ACST,$0.36,1440537605837,"30,349",100% bullish,of 2 ratings,N/A
ACAD,$34,1440537605864,"777,806",80% bullish,of 20 ratings,$48
ACTG,$8.88,1440537605890,"374,251",67% bullish,of 3 ratings,$18.50
AXAS,$1.48,1440537606103,"750,287",78% bullish,of 9 ratings,$3.50
ARAY,$6.47,1440537606259,"907,552",100% bearish,of 1 rating,$10.50
VXDN,$1.78,1440537606286,"279,913",100% bearish,of 1 rating,N/A
ACHC,$70.62,1440537606308,"807,688",50% bullish,of 2 ratings,$92
ANCX,$19.3,1440537606583,"47,381",Not yet rated,NULL,$19
XLRN,$27,1440537606645,"115,688",50% bullish,of 2 ratings,$57
ACRX,$4.02,1440537606718,"304,758",67% bearish,of 6 ratings,$5.50
VXUP,$1.68,1440537606883,"340,576",100% bearish,of 1 rating,N/A
AKAO,$6.27,1440537606950,"59,268",75% bullish,of 4 ratings,$15
ACET,$22.16,1440537607050,"93,415",75% bullish,of 4 ratings,$30
ACHN,$7.1,1440537607279,"1,790,217",90% bullish,of 21 ratings,$16
ACIW,$20.7159,1440537607342,"510,992",50% bullish,of 2 ratings,$24
ACNB,$19.9,1440537607435,"2,815",Not yet rated,NULL,N/A
ACOR,$31.37,1440537607627,"2,743,847",67% bearish,of 3 ratings,$38.50
ACTS,$1.57,1440537607771,"93,268",100% bearish,of 1 rating,N/A
ACPW,$1.82,1440537608035,"51,121",100% bullish,of 4 ratings,$3.50
ATVI,$26.18,1440537608068,"4,125,929",68% bullish,of 84 ratings,$31.50
ACTA,$12.94,1440537608468,"115,103",67% bearish,of 3 ratings,$25
ADMS,$19.26,1440537608505,"69,691",100% bearish,of 2 ratings,$36
ADMP,$3.49,1440537608535,"38,975",50% bullish,of 2 ratings,$10
ACUR,$0.521,1440537608598,"172,497",100% bullish,of 5 ratings,$1
ADAP,$11.45,1440537608625,"107,418",67% bullish,of 3 ratings,$22
ADUS,$28.18,1440537608647,"33,780",100% bearish,of 1 rating,$31
ACXM,$19.6761,1440537608684,"461,655",67% bullish,of 3 ratings,N/A
AEY,$2.32,1440537608772,"17,011",100% bearish,of 2 ratings,N/A
ADEP,$6.72,1440537608921,"17,753",50% bullish,of 2 ratings,$10.75
ADRO,$17.92,1440537609090,"279,221",80% bullish,of 5 ratings,$45.50
ADMA,$9.1,1440537609119,"18,489",Not yet rated,NULL,$19
ADTN,$14.83,1440537609146,"290,047",67% bullish,of 3 ratings,$17.125
ADBE,$74.57,1440537609178,"3,928,169",65% bullish,of 17 ratings,$90
AEIS,$23.51,1440537609225,"136,398",50% bullish,of 2 ratings,$32.50
AMD,$1.67,1440537609320,"7,762,848",83% bullish,of 103 ratings,$2
ADXS,$13,1440537609379,"761,526",64% bullish,of 14 ratings,$27
MULT,NULL,1440537609586,0,100% bearish,of 1 rating,N/A
ADXSW,$8.67,1440537609618,"3,981",100% bullish,of 1 rating,N/A
AEGR,$17.02,1440537609647,"337,156",50% bullish,of 6 ratings,$26
YPRO,$22.93,1440537609671,"5,259",100% bearish,of 1 rating,N/A
AEHR,$2.25,1440537609698,"10,035",50% bullish,of 2 ratings,N/A
AEGN,$17.53,1440537609829,"161,820",100% bearish,of 2 ratings,$21
AMTX,$2.59,1440537609976,"25,131",50% bullish,of 2 ratings,$26.11
AEPI,$53.53,1440537610022,"10,165",100% bearish,of 1 rating,N/A
AERI,$15.52,1440537610046,"251,788",75% bullish,of 4 ratings,$31.50
AEZS,$0.085,1440537610111,"7,886,718",90% bullish,of 21 ratings,$1.50
AVAV,$22.9,1440537610137,"115,237",50% bullish,of 4 ratings,$31
AEMD,$7.07,1440537610268,"11,886",Not yet rated,NULL,$27.50
AFMD,$9.56,1440537610295,"124,804",50% bullish,of 4 ratings,$15
AGEN,$6.65,1440537610424,"767,196",85% bullish,of 13 ratings,$14
AFFX,$8.83,1440537610566,"367,583",80% bullish,of 5 ratings,$12
AGRX,$8.23,1440537610647,"17,369",100% bearish,of 1 rating,$17.50
AGYS,$9.41,1440537610675,"48,627",100% bearish,of 1 rating,N/A
AGIO,$81.7,1440537610696,"332,032",88% bullish,of 8 ratings,$114
AGFS,$9.76,1440537610725,"144,707",100% bearish,of 1 rating,N/A
AGFSW,$1.83,1440537610750,"5,943",100% bearish,of 2 ratings,N/A
