Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
SRCE,$29.82,1440436802571,"10,561",100% bullish,of 3 ratings,$33
TFSCR,NULL,1440436802597,0,Not yet rated,NULL,N/A
PIH,$7.1001,1440436802622,"7,500",100% bearish,of 1 rating,N/A
TFSC,NULL,1440436802959,0,100% bearish,of 1 rating,N/A
TFSCU,NULL,1440436803025,0,Not yet rated,NULL,N/A
VNET,$18.01,1440436803097,"1,099,721",60% bullish,of 5 ratings,$29.50
FCTY,NULL,1440436803122,0,100% bullish,of 1 rating,$8.50
TWOU,$34.23,1440436803147,"153,947",50% bullish,of 2 ratings,$39
FLWS,$9.37,1440436803190,"113,832",100% bullish,of 5 ratings,$15
TFSCW,NULL,1440436803216,0,100% bearish,of 1 rating,N/A
FCCY,NULL,1440436803345,0,100% bullish,of 1 rating,$13
USLV,$13.38,1440436803559,"382,213",86% bullish,of 7 ratings,N/A
JOBS,$25.09,1440436803692,"192,512",50% bullish,of 4 ratings,$36
DSLV,$65.61,1440436803897,"31,705",100% bearish,of 1 rating,N/A
UGLD,$9.82,1440436803948,"280,545",100% bearish,of 1 rating,N/A
DGLD,$77.1038,1440436804079,"17,804",100% bearish,of 1 rating,N/A
EGHT,$8.115,1440436804135,"239,893",82% bullish,of 17 ratings,$11
CAFD,$15.23,1440436804174,"194,495",Not yet rated,NULL,$25
SIXD,$1.36,1440436804352,"77,531",Not yet rated,NULL,N/A
ABGB,$4.48,1440436804481,"56,569",67% bullish,of 3 ratings,$5.50
ABAX,$46.77,1440436804579,"41,534",100% bearish,of 1 rating,$60
ABEO,$4.58,1440436804663,"121,806",67% bullish,of 3 ratings,$15.50
AAON,$21.28,1440436804708,"37,870",100% bearish,of 1 rating,$24
AVHI,$13.74,1440436804742,"6,044",100% bearish,of 1 rating,$19
SHLM,$34.25,1440436804770,"41,943",100% bearish,of 1 rating,$50
ABEOW,$1.86,1440436805090,"1,550",100% bullish,of 1 rating,N/A
ABMD,$95.25,1440436805144,"513,040",75% bullish,of 4 ratings,$100.50
ABY,$19.742,1440436805218,"353,187",100% bearish,of 2 ratings,$46
AXAS,$1.605,1440436805323,"473,831",78% bullish,of 9 ratings,$3.50
XLRN,$28.22,1440436805457,"83,639",50% bullish,of 2 ratings,$57
ACST,$0.3315,1440436805498,"10,415",100% bullish,of 2 ratings,N/A
ACAD,$35.31,1440436805523,"464,705",80% bullish,of 20 ratings,$48
AXDX,$18.54,1440436805588,"85,265",100% bearish,of 1 rating,N/A
ACRX,$4.04,1440436805982,"162,555",67% bearish,of 6 ratings,$5.50
ARAY,$6.54,1440436806009,"673,345",100% bearish,of 1 rating,$10.50
ACHC,$71.73,1440436806031,"535,888",50% bullish,of 2 ratings,$92
ACET,$23.4,1440436806164,"35,186",75% bullish,of 4 ratings,$30
ACTG,$8.75,1440436806190,"137,708",67% bullish,of 3 ratings,$18.50
ANCX,$18.72,1440436806318,"14,418",Not yet rated,NULL,$19
VXUP,$2.3,1440436806354,"502,656",Not yet rated,NULL,N/A
VXDN,$2.0999,1440436806451,"517,363",100% bearish,of 1 rating,N/A
ACIW,$21.69,1440436806834,"150,285",50% bullish,of 2 ratings,$24
ACOR,$30.01,1440436806862,"179,549",67% bearish,of 3 ratings,$38.50
ACNB,$20.05,1440436806890,"13,044",Not yet rated,NULL,N/A
AKAO,$6.25,1440436807050,"99,076",75% bullish,of 4 ratings,$15
ACHN,$7.5,1440436807133,"1,588,164",90% bullish,of 21 ratings,$16
ATVI,$26.85,1440436807371,"2,753,590",68% bullish,of 84 ratings,$31.50
ACTA,$13.8,1440436807403,"51,273",67% bearish,of 3 ratings,$25
ACXM,$20.08,1440436807477,"243,734",67% bullish,of 3 ratings,N/A
ADMP,$3.54,1440436807507,"27,199",50% bullish,of 2 ratings,$10
ADMS,$19.595,1440436807538,"39,826",100% bearish,of 2 ratings,$36
ACUR,$0.5976,1440436807564,"24,499",100% bullish,of 5 ratings,$1
ACPW,$1.765,1440436807889,"54,753",100% bullish,of 4 ratings,$3.50
ACTS,$1.49,1440436807974,"39,835",100% bearish,of 1 rating,N/A
ADEP,$6.67,1440436808144,"35,047",50% bullish,of 2 ratings,$10.75
ADAP,$12.01,1440436808175,"74,166",67% bullish,of 3 ratings,$22
ADUS,$29.18,1440436808277,"18,198",100% bearish,of 1 rating,$31
ADBE,$77.21,1440436808321,"1,925,115",65% bullish,of 17 ratings,$90
ADRO,$18.84,1440436808347,"199,580",80% bullish,of 5 ratings,$45.50
ADTN,$15.44,1440436808514,"100,722",67% bullish,of 3 ratings,$17.125
AMD,$1.795,1440436808648,"5,694,638",83% bullish,of 103 ratings,$2
AEY,$2.2603,1440436808902,"4,500",100% bearish,of 2 ratings,N/A
ADXSW,$9.62,1440436808927,"6,078",100% bullish,of 1 rating,N/A
AEIS,$24.3994,1440436809082,"139,523",50% bullish,of 2 ratings,$32.50
MULT,NULL,1440436809138,0,100% bearish,of 1 rating,N/A
ADMA,$9.25,1440436809163,"13,534",Not yet rated,NULL,$19
ADXS,$14.35,1440436809295,"388,704",64% bullish,of 14 ratings,$27
YPRO,$23.2,1440436809763,400,100% bearish,of 1 rating,N/A
AMTX,$2.7312,1440436809800,"13,760",50% bullish,of 2 ratings,$26.11
AEMD,$6.9499,1440436809991,"23,485",Not yet rated,NULL,$27.50
