Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
PIH,$7.54,1440868502308,"9,402",100% bearish,of 1 rating,N/A
TFSCU,NULL,1440868502333,0,Not yet rated,NULL,N/A
TFSC,NULL,1440868502364,0,100% bearish,of 1 rating,N/A
TFSCR,NULL,1440868502390,0,Not yet rated,NULL,N/A
FLWS,$8.91,1440868502411,"687,314",80% bullish,of 5 ratings,$15
FCTY,$7.96,1440868502441,"3,400",100% bullish,of 1 rating,$8.50
TFSCW,$0.21,1440868502462,"1,300",100% bearish,of 1 rating,N/A
FCCY,$11.54,1440868502490,933,100% bullish,of 1 rating,$13
SRCE,$29.44,1440868502645,"29,029",100% bullish,of 3 ratings,$33
DGLD,$81.1,1440868502724,"16,958",100% bullish,of 1 rating,N/A
VNET,$18.05,1440868502757,"541,289",60% bullish,of 5 ratings,$35
DSLV,$69.51,1440868502786,"9,311",100% bearish,of 1 rating,N/A
USLV,$12.45,1440868502818,"242,677",86% bullish,of 7 ratings,N/A
TWOU,$34.99,1440868502840,"129,143",50% bullish,of 2 ratings,$39
UGLD,$9.31,1440868502874,"340,880",100% bearish,of 1 rating,N/A
JOBS,$27.019,1440868502900,"69,549",50% bullish,of 4 ratings,$36
SIXD,$2.72,1440868503130,"111,232",Not yet rated,NULL,N/A
CAFD,$15.0196,1440868503307,"242,552",Not yet rated,NULL,$25
ABAX,$47.89,1440868503364,"108,826",100% bearish,of 1 rating,$60
AVHI,$13.96,1440868503387,"12,911",100% bearish,of 1 rating,$19
EGHT,$7.84,1440868503408,"384,316",82% bullish,of 17 ratings,$11
ABY,$23.04,1440868503434,"423,555",100% bearish,of 2 ratings,$46
SHLM,$34.06,1440868503467,"65,672",100% bearish,of 1 rating,$47
AAON,$20.51,1440868503498,"107,410",100% bearish,of 1 rating,$24
ABGB,$5.71,1440868503570,"37,255",67% bullish,of 3 ratings,$5.50
ABEOW,$1.83,1440868503654,"2,361",100% bullish,of 1 rating,N/A
ABEO,$4.82,1440868503686,"47,964",50% bullish,of 4 ratings,$15.50
ABMD,$98.23,1440868503708,"317,770",75% bullish,of 4 ratings,$100.50
ACTG,$9.43,1440868503745,"194,247",67% bullish,of 3 ratings,$18.50
AXAS,$1.92,1440868503787,"949,481",78% bullish,of 9 ratings,$3.50
ACHC,$74.2503,1440868503845,"344,347",50% bullish,of 2 ratings,$92
ACST,$0.3694,1440868504048,"9,260",100% bullish,of 2 ratings,N/A
ACAD,$38.17,1440868504102,"436,567",80% bullish,of 20 ratings,$48
AXDX,$19.1,1440868504128,"112,407",100% bearish,of 1 rating,N/A
XLRN,$29.71,1440868504155,"89,309",50% bullish,of 2 ratings,$57
ANCX,$20.01,1440868504188,"20,165",Not yet rated,NULL,$20
ARAY,$6.77,1440868504290,"691,224",100% bearish,of 1 rating,$10.50
VXDN,$1.96,1440868504322,"24,710",100% bearish,of 1 rating,N/A
VXUP,$1.6,1440868504353,"49,457",100% bearish,of 1 rating,N/A
ACRX,$4.24,1440868504421,"310,833",67% bearish,of 6 ratings,$5.50
ACET,$22.76,1440868504451,"83,357",75% bullish,of 4 ratings,$30
AKAO,$6.99,1440868504479,"38,455",75% bullish,of 4 ratings,$15
ACHN,$7.76,1440868504509,"1,462,742",90% bullish,of 21 ratings,$16
ACNB,$19.85,1440868504614,"4,210",Not yet rated,NULL,N/A
ACIW,$21.38,1440868504689,"288,136",67% bearish,of 3 ratings,$24
ACTS,$1.6,1440868504787,"49,648",100% bearish,of 1 rating,N/A
ACPW,$1.81,1440868504891,"38,604",100% bullish,of 4 ratings,$3.50
ACOR,$32.73,1440868504920,"557,265",67% bearish,of 3 ratings,$38.50
ATVI,$29.28,1440868504952,"135,594,206",68% bullish,of 84 ratings,$31.50
ACTA,$14.02,1440868504982,"90,621",67% bearish,of 3 ratings,$25
ACXM,$21.15,1440868505021,"258,695",67% bullish,of 3 ratings,N/A
ACUR,$2.83,1440868505053,"48,939",100% bullish,of 5 ratings,$1
ADMP,$3.69,1440868505132,"11,630",50% bullish,of 2 ratings,$10
ADMS,$20.61,1440868505162,"60,583",100% bearish,of 2 ratings,$36
ADAP,$11.66,1440868505260,"84,789",67% bullish,of 3 ratings,$22
AEY,$2.3,1440868505339,"7,434",100% bearish,of 2 ratings,N/A
ADUS,$28.71,1440868505364,"18,242",100% bearish,of 1 rating,$31
ADEP,$6.87,1440868505403,"20,312",50% bullish,of 2 ratings,$10.75
ADMA,$9.37,1440868505428,"14,766",Not yet rated,NULL,$19
ADBE,$79.4,1440868505584,"2,177,794",65% bullish,of 17 ratings,$90
ADTN,$15.7,1440868505611,"386,714",67% bullish,of 3 ratings,$17.125
ADRO,$20.61,1440868505677,"147,897",80% bullish,of 5 ratings,$45.50
AEIS,$24.42,1440868505743,"174,991",50% bullish,of 2 ratings,$32.50
ADXS,$14.69,1440868505773,"468,415",64% bullish,of 14 ratings,$27
ADXSW,$10.47,1440868505805,"1,850",100% bullish,of 1 rating,N/A
AMD,$1.85,1440868505836,"6,623,181",83% bullish,of 103 ratings,$2
MULT,NULL,1440868505868,0,100% bearish,of 1 rating,N/A
YPRO,$22.79,1440868505899,"3,532",100% bearish,of 1 rating,N/A
AEGR,$17.66,1440868506006,"331,111",50% bullish,of 6 ratings,$26
AEGN,$18.28,1440868506064,"94,812",100% bearish,of 2 ratings,$21
AEHR,$2.27,1440868506198,"2,346",50% bullish,of 2 ratings,N/A
AMTX,$3.11,1440868506225,"28,001",50% bullish,of 2 ratings,$26.11
AEPI,$53.89,1440868506246,"11,740",100% bearish,of 1 rating,N/A
AEZS,$0.088,1440868506382,"10,110,751",90% bullish,of 21 ratings,$1.50
AEMD,$6.95,1440868506409,"91,259",Not yet rated,NULL,$27.50
AVAV,$24,1440868506437,"75,229",50% bullish,of 4 ratings,$31
AERI,$16.49,1440868506460,"376,040",75% bullish,of 4 ratings,$31.50
AFMD,$10.43,1440868506499,"107,629",50% bullish,of 4 ratings,$15
AGEN,$7.26,1440868506594,"602,072",85% bullish,of 13 ratings,$14
AFFX,$9.48,1440868506628,"279,489",80% bullish,of 5 ratings,$12.50
AGYS,$10.21,1440868506730,"23,032",100% bearish,of 1 rating,N/A
AGRX,$9.16,1440868506757,"22,184",100% bearish,of 1 rating,$17.50
AGFS,$10.1318,1440868506788,"137,593",100% bearish,of 1 rating,N/A
AGIO,$90.62,1440868506814,"186,340",88% bullish,of 8 ratings,$114
AGFSW,$1.95,1440868506895,"8,300",100% bearish,of 2 ratings,N/A
AIMT,$21.11,1440868507030,"136,933",Not yet rated,NULL,N/A
ATSG,$8.95,1440868507088,"126,980",67% bullish,of 3 ratings,$13
AIRT,$22.16,1440868507113,376,100% bullish,of 1 rating,N/A
AMCN,$4.59,1440868507158,"108,503",83% bullish,of 6 ratings,N/A
AIRM,$37.86,1440868507185,"199,407",80% bearish,of 5 ratings,$53
AIXG,$6.38,1440868507256,"27,231",67% bearish,of 3 ratings,$5.25
AKAM,$71.9,1440868507319,"1,710,795",63% bullish,of 8 ratings,$77
AKBA,$7,1440868507345,"105,064",100% bearish,of 1 rating,$18
AKER,$2.48,1440868507421,"28,755",Not yet rated,NULL,N/A
ALRM,$16.8,1440868507515,"126,608",100% bearish,of 1 rating,$22
AKRX,$41.03,1440868507557,"401,819",78% bullish,of 9 ratings,$56
ALSK,$2.15,1440868507590,"235,932",78% bullish,of 18 ratings,$2
AMRI,$20.6,1440868507688,"158,563",75% bearish,of 4 ratings,$24
ABDC,$12.83,1440868507716,"24,564",Not yet rated,NULL,$15
ALDR,$38.61,1440868507743,"186,540",67% bearish,of 3 ratings,$62
ADHD,$7.94,1440868507779,"131,054",50% bullish,of 4 ratings,$18
ALDX,$7.06,1440868507913,"18,445",100% bearish,of 1 rating,$14.50
ALCO,$42.25,1440868507967,"5,313",50% bullish,of 2 ratings,N/A
ALXN,$178.86,1440868508016,"1,012,132",88% bullish,of 8 ratings,$223
ALXA,$1.13,1440868508042,"13,227",83% bullish,of 6 ratings,$2.125
ALGN,$57.27,1440868508069,"244,131",100% bearish,of 2 ratings,$73
ALKS,$62.0942,1440868508322,"542,032",67% bullish,of 3 ratings,$75
ALIM,$3.44,1440868508349,"27,203",80% bullish,of 5 ratings,$10
ALGT,$208.41,1440868508382,"150,284",100% bearish,of 2 ratings,$235
ALLB,$22.72,1440868508404,797,Not yet rated,NULL,N/A
AIQ,$14.35,1440868508479,"6,903",67% bullish,of 3 ratings,N/A
AFOP,$19.05,1440868508506,"104,154",75% bullish,of 8 ratings,$21
AHGP,$36.41,1440868508545,"89,083",67% bullish,of 3 ratings,N/A
ARLP,$25.32,1440868508710,"280,083",67% bearish,of 3 ratings,$32
AHPI,$1.44,1440868508731,"1,714",50% bullish,of 2 ratings,N/A
AMOT,$18.85,1440868508767,"86,927",100% bearish,of 1 rating,N/A
ALLT,$5.42,1440868508789,"187,497",75% bullish,of 4 ratings,$6.25
ALQA,$4.4,1440868508810,"19,390",75% bullish,of 4 ratings,$8.50
MDRX,$13.8,1440868508867,"810,640",60% bullish,of 5 ratings,$16
ALNY,$109.1,1440868508997,"357,082",67% bullish,of 3 ratings,$148.50
AFAM,$45.43,1440868509025,"41,778",50% bullish,of 2 ratings,$44
AOSL,$7.31,1440868509051,"49,947",67% bullish,of 3 ratings,$9
SMCP,NULL,1440868509072,0,Not yet rated,NULL,N/A
ATEC,$0.54,1440868509250,"81,514",100% bullish,of 1 rating,$2
ALTR,$48.61,1440868509312,"1,182,479",80% bearish,of 5 ratings,$54
AMAG,$65.85,1440868509347,"315,677",100% bullish,of 2 ratings,$77.50
AMRN,$2.23,1440868509382,"1,409,147",85% bullish,of 39 ratings,$8
AIMC,$24.94,1440868509410,"71,616",100% bearish,of 2 ratings,$28.50
AMRK,$10.28,1440868509438,"2,016",50% bullish,of 2 ratings,$14
AYA,$20.7,1440868509465,"10,578",100% bearish,of 1 rating,$40
ASPS,$25.48,1440868509491,"184,857",67% bullish,of 3 ratings,$46.50
AMZN,$519.59,1440868509637,"1,553,310",81% bullish,of 264 ratings,$646
