Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
TFSCU,NULL,1439842202647,0,Not yet rated,NULL,N/A
TFSCR,$0.35,1439842202725,"1,600",Not yet rated,NULL,N/A
FLWS,$9.73,1439842202756,"77,616",100% bullish,of 5 ratings,$15
FCTY,NULL,1439842202787,0,100% bullish,of 1 rating,$8.50
PIH,$7.7,1439842202818,"9,875",100% bearish,of 1 rating,N/A
FCCY,$11.73,1439842202855,"4,389",100% bullish,of 1 rating,$13
TFSCW,NULL,1439842202890,0,100% bearish,of 1 rating,N/A
SRCE,$31.35,1439842202918,"17,384",100% bullish,of 3 ratings,$33
DGLD,$85.482,1439842203080,"1,294",100% bullish,of 1 rating,N/A
UGLD,$8.907,1439842203110,"59,561",100% bearish,of 1 rating,N/A
TWOU,$36,1439842203180,"494,320",50% bullish,of 2 ratings,$39
USLV,$14.79,1439842203209,"117,234",86% bullish,of 7 ratings,N/A
JOBS,$28.49,1439842203245,"69,963",50% bullish,of 4 ratings,$36
VNET,$21.45,1439842203276,"589,752",60% bullish,of 5 ratings,$29.50
TFSC,NULL,1439842203423,0,100% bearish,of 1 rating,N/A
DSLV,$61.9,1439842203448,"5,392",100% bearish,of 1 rating,N/A
SIXD,$2.965,1439842203738,"59,276",Not yet rated,NULL,N/A
CAFD,$15.57,1439842203768,"62,777",Not yet rated,NULL,$25
AVHI,$14.12,1439842203832,"21,616",100% bearish,of 1 rating,$19
ABGB,$4.93,1439842203868,"46,791",67% bullish,of 3 ratings,$5.50
ABAX,$48.24,1439842203964,"77,486",100% bearish,of 1 rating,$60
EGHT,$8.58,1439842203995,"158,177",82% bullish,of 17 ratings,$11
AAON,$22.93,1439842204021,"48,471",100% bearish,of 1 rating,$24
SHLM,$35.53,1439842204097,"55,010",100% bearish,of 1 rating,$50
ABEOW,$2.35,1439842204231,"1,470",100% bullish,of 1 rating,N/A
ABEO,$5.39,1439842204357,"86,654",67% bullish,of 3 ratings,$15.50
ABY,$22.195,1439842204384,"386,579",100% bearish,of 2 ratings,$46
ABMD,$106.46,1439842204415,"354,041",75% bullish,of 4 ratings,$86
AXAS,$1.81,1439842204516,"415,624",78% bullish,of 9 ratings,$3.50
ACTG,$8.96,1439842204604,"239,375",67% bullish,of 3 ratings,$18.50
ACST,$0.3873,1439842204792,"29,904",100% bullish,of 2 ratings,N/A
ACHC,$81.87,1439842204856,"416,694",50% bullish,of 2 ratings,$92
ACAD,$39.36,1439842204920,"538,722",85% bullish,of 20 ratings,$48
AXDX,$19.5,1439842204987,"91,451",100% bearish,of 1 rating,N/A
XLRN,$32.34,1439842205013,"141,943",50% bullish,of 2 ratings,$57
ANCX,$19.11,1439842205087,"20,115",Not yet rated,NULL,$19
ARAY,$6.15,1439842205320,"421,784",100% bearish,of 1 rating,$10.50
VXDN,$17.02,1439842205345,"3,615",Not yet rated,NULL,N/A
VXUP,$16.9,1439842205532,"26,591",Not yet rated,NULL,N/A
ACRX,$4.41,1439842205588,"188,144",67% bearish,of 6 ratings,$5.50
ACIW,$23.12,1439842205626,"120,548",50% bullish,of 2 ratings,$24
AKAO,$7.25,1439842205659,"91,977",75% bullish,of 4 ratings,$15
ACHN,$8.65,1439842205721,"4,541,100",90% bullish,of 21 ratings,$16
ACET,$25.44,1439842205752,"48,095",75% bullish,of 4 ratings,$30
ACOR,$32.28,1439842205905,"143,370",67% bearish,of 3 ratings,$38.50
ACNB,$20.2,1439842205931,200,Not yet rated,NULL,N/A
ACTS,$1.5,1439842206067,"40,035",100% bearish,of 1 rating,N/A
ACPW,$1.8984,1439842206093,"8,929",100% bullish,of 4 ratings,$3.50
ATVI,$29.3,1439842206163,"2,758,654",68% bullish,of 84 ratings,$31.50
ACTA,$13.86,1439842206347,"50,280",67% bearish,of 3 ratings,$25
ACUR,$0.65,1439842206374,"104,963",100% bullish,of 5 ratings,$1
ADMS,$21.96,1439842206396,"41,516",100% bearish,of 2 ratings,$36
ACXM,$21.31,1439842206432,"222,778",67% bullish,of 3 ratings,N/A
ADAP,$15.52,1439842206530,"61,982",67% bullish,of 3 ratings,$22
ADMP,$3.75,1439842206578,"31,044",50% bullish,of 2 ratings,$10
ADEP,$7.4,1439842206813,"12,119",50% bullish,of 2 ratings,$10.75
AEY,$2.26,1439842206856,"8,285",100% bearish,of 2 ratings,N/A
ADUS,$29.23,1439842206896,"46,498",100% bearish,of 1 rating,$31
ADMA,$9.45,1439842206953,"8,740",Not yet rated,NULL,$19
