KNDI,$6.84,1439676501080
KCAP,$5.06,1439676501111
KELYA,$14.81,1439676501140
KPTI,$12.02,1439676501152
KBSF,$3.76,1439676501211
KRNY,$11.55,1439676501277
KMPH,$21.45,1439676501430
KELYB,NULL,1439676501552
KERX,$6.05,1439676501570
KFFB,$8.29,1439676501617
GMCR,$50.59,1439676501677
KEQU,$17.47,1439676501806
KFRC,$28.01,1439676501826
KTCC,$9.96,1439676501846
KTEC,$12.3,1439676501942
KE,$11.5575,1439676501978
KBAL,$11.62,1439676502042
KIN,$5.9,1439676502113
KONE,$4.07,1439676502217
KINS,$8.17,1439676502236
KGJI,$0.73,1439676502334
KIRK,$26.64,1439676502412
KLAC,$51.2,1439676502459
KITE,$56.403,1439676502561
KLXI,$38.92,1439676502821
KOPN,$2.66,1439676502850
KRNT,$13.16,1439676502864
KWEB,$34.24,1439676502888
KONA,$20.32,1439676502913
KOSS,$2.64,1439676502966
KZ,$7.08,1439676503036
KTOS,$4.84,1439676503062
KUTV,$0.82,1439676503291
KLIC,$10.25,1439676503308
KYTH,$74.61,1439676503369
KVHI,$10.6,1439676503435
FSTR,$19.5,1439676503528
LJPC,$25.24,1439676503609
LSBK,$13.3,1439676503657
LSBG,$14.92,1439676503676
LKFN,$42.35,1439676503734
LBAI,$11.32,1439676503758
LAKE,$10.06,1439676503800
LAMR,$57.24,1439676503853
LRCX,$71.073,1439676503991
LANC,$95.0586,1439676504012
LNDC,$13.04,1439676504146
LARK,$27.49,1439676504164
LE,$23.03,1439676504309
LMRK,$15.6,1439676504386
LTRX,$1.31,1439676504444
LSCC,$4.05,1439676504477
LAWS,$25.1,1439676504554
LPSB,$14.24,1439676504581
LSTR,$69.03,1439676504602
LNTH,$7.45,1439676504630
LCNB,$16.29,1439676504749
LBIX,$3.42,1439676504897
LDRH,$40.54,1439676504917
LAYN,$8.19,1439676504946
LGCYO,$16.5,1439676505082
LGCY,$7.14,1439676505137
TREE,$133.71,1439676505295
LGCYP,$15.8,1439676505324
LTXB,$28.952,1439676505338
LMAT,$13.61,1439676505375
LXRX,$10.48,1439676505392
LGIH,$26.53,1439676505460
LHCG,$47.48,1439676505644
LBRDA,$54.51,1439676505695
LBRDK,$53.78,1439676505719
LBTYA,$52.02,1439676505766
LBTYB,NULL,1439676505805
LILA,$39.31,1439676505955
LILAK,$39.09,1439676506060
LBTYK,$48.17,1439676506083
QVCA,$30.26,1439676506179
QVCB,NULL,1439676506197
LVNTA,$41.58,1439676506226
LMCA,$38.28,1439676506273
LVNTB,NULL,1439676506311
LMCK,$37.87,1439676506349
LMCB,NULL,1439676506524
TAX,$24.44,1439676506586
LTRPB,NULL,1439676506655
LTRPA,$26.38,1439676506686
LPNT,$81.8473,1439676506790
LFVN,$0.72,1439676506857
LWAY,$14.84,1439676506916
LCUT,$14.92,1439676506941
LTBR,$1.05,1439676506976
LGND,$93.84,1439676507002
LLEX,$0.83,1439676507073
LPTH,$1.7,1439676507166
LIME,$3.72,1439676507227
LLNW,$2.7,1439676507314
LMNR,$19.48,1439676507381
LINC,$1.05,1439676507512
LIND,$9.6,1439676507557
LECO,$62.05,1439676507593
LLTC,$41.24,1439676507770
LINDW,$1.5,1439676507794
LNCO,$3.08,1439676507833
LINE,$3.14,1439676507851
LBIO,$7.15,1439676507896
LPCN,$16.51,1439676507970
LIOX,$5.99,1439676508012
LIQD,$0.13,1439676508116
LQDT,$7.95,1439676508198
LFUS,$92.91,1439676508284
LOB,$19.22,1439676508370
LMIA,$11.96,1439676508504
LIVE,$1.97,1439676508525
LPSN,$9.2,1439676508600
LKQ,$31.5262,1439676508655
LNBB,$19.38,1439676508679
LOGM,$70.66,1439676508750
LOGI,$13.6,1439676508791
LOJN,$3.54,1439676508857
LOOK,$0.6,1439676508987
LORL,$61.48,1439676509028
EVAR,$3.95,1439676509068
LABC,$23.99,1439676509092
LPLA,$42.8386,1439676509259
LOXO,$19.83,1439676509302
LPTN,$0.235,1439676509337
LRAD,$1.72,1439676509471
LULU,$65.1622,1439676509705
LMNS,$13.88,1439676509780
LITE,$20.33,1439676509830
LYTS,$9.53,1439676509854
LMNX,$19.26,1439676509884
LMOS,$13.2,1439676510026
LUNA,$1.17,1439676510089
MBTF,$6,1439676510349
MTSI,$32.84,1439676510667
MCUR,$12.89,1439676510864
