Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
FCCY,$11.56,1441732502572,100,100% bullish,of 1 rating,$13
FCTY,$7.9,1441732502641,512,100% bullish,of 1 rating,$8.50
TFSCU,NULL,1441732502670,0,Not yet rated,NULL,N/A
PIH,$7.54,1441732502691,503,100% bearish,of 1 rating,N/A
FLWS,$8.3542,1441732502713,"155,867",80% bullish,of 5 ratings,$15
TFSCW,$0.3,1441732502746,"4,500",100% bearish,of 1 rating,N/A
TFSC,NULL,1441732502767,0,100% bearish,of 1 rating,N/A
TFSCR,$0.3723,1441732502788,"1,000",Not yet rated,NULL,N/A
TWOU,$35.95,1441732502942,"129,545",50% bullish,of 2 ratings,$39
JOBS,$26.58,1441732503111,"45,347",50% bullish,of 4 ratings,$36
VNET,$18.26,1441732503145,"184,612",60% bullish,of 5 ratings,$35
UGLD,$9.0072,1441732503178,"43,058",100% bearish,of 1 rating,N/A
USLV,$12.89,1441732503206,"150,866",86% bullish,of 7 ratings,N/A
DGLD,$82.99,1441732503231,"3,137",100% bullish,of 1 rating,N/A
SRCE,$30.7,1441732503264,"7,752",100% bullish,of 3 ratings,$33
DSLV,$66.7892,1441732503285,"12,897",100% bearish,of 1 rating,N/A
SIXD,$2.89,1441732503694,"17,321",Not yet rated,NULL,N/A
CAFD,$14.3,1441732503723,"69,023",Not yet rated,NULL,$24.50
EGHT,$7.95,1441732503749,"74,533",82% bullish,of 17 ratings,$11
ABY,$20.55,1441732503774,"1,487,396",100% bearish,of 2 ratings,$46
AVHI,$13.57,1441732503823,"5,543",100% bearish,of 1 rating,$19
AAON,$19.74,1441732503928,"21,446",100% bearish,of 1 rating,$24
ABGB,$5.6699,1441732503955,"53,866",67% bullish,of 3 ratings,$5.50
ABAX,$48.495,1441732503980,"20,772",100% bearish,of 1 rating,$60
ABEO,$4.76,1441732504195,"18,023",50% bullish,of 4 ratings,$15.50
ABMD,$95.33,1441732504225,"182,098",75% bullish,of 4 ratings,$100.50
SHLM,$32.28,1441732504247,"58,651",100% bearish,of 1 rating,$47
AXAS,$1.675,1441732504267,"469,759",78% bullish,of 9 ratings,$3.50
ABEOW,$1.7101,1441732504398,100,100% bullish,of 1 rating,N/A
ACTG,$9.11,1441732504425,"114,809",67% bullish,of 3 ratings,$18.50
ACHC,$73.48,1441732504446,"119,944",50% bullish,of 2 ratings,$92
ACAD,$40.25,1441732504684,"278,666",80% bullish,of 20 ratings,$48
ACST,$0.3002,1441732504817,"17,902",100% bullish,of 2 ratings,N/A
AXDX,$17.82,1441732504844,"58,953",100% bearish,of 1 rating,N/A
ANCX,$20.33,1441732504977,"12,181",Not yet rated,NULL,$20
ARAY,$6.605,1441732505009,"145,203",100% bearish,of 1 rating,$10.50
VXUP,$1.541,1441732505037,"25,275",100% bearish,of 1 rating,N/A
VXDN,$1.89,1441732505062,"4,689",100% bearish,of 1 rating,N/A
ACRX,$4.045,1441732505111,"377,415",67% bearish,of 6 ratings,$7
XLRN,$30.07,1441732505308,"62,118",50% bullish,of 2 ratings,$57
AKAO,$6.955,1441732505440,"24,134",75% bullish,of 4 ratings,$15
ACET,$22.88,1441732505468,"34,346",75% bullish,of 4 ratings,$30
ACIW,$21.54,1441732505489,"72,921",67% bearish,of 3 ratings,$24
ACHN,$7.855,1441732505520,"2,563,935",90% bullish,of 21 ratings,$16
ACOR,$33,1441732505656,"67,616",67% bearish,of 3 ratings,$38.50
ACTS,$1.61,1441732505714,"4,201",100% bearish,of 1 rating,N/A
ACNB,$20.12,1441732505743,300,Not yet rated,NULL,N/A
ACPW,$1.96,1441732505847,"18,683",100% bullish,of 4 ratings,$3.25
ACUR,$2.9934,1441732506080,"6,400",100% bullish,of 5 ratings,$5
ATVI,$28.455,1441732506109,"2,269,940",67% bullish,of 84 ratings,$31.50
ADMS,$19.605,1441732506143,"37,238",100% bearish,of 2 ratings,$36
ACXM,$20.83,1441732506169,"38,216",67% bullish,of 3 ratings,N/A
ADUS,$29.6,1441732506239,"19,147",100% bearish,of 1 rating,$31
ACTA,$14.13,1441732506267,"26,041",67% bearish,of 3 ratings,$25
ADAP,$11.2,1441732506298,"9,491",67% bullish,of 3 ratings,$22
ADMP,$3.85,1441732506396,"9,829",50% bullish,of 2 ratings,$10
AEY,$2.39,1441732506498,550,100% bearish,of 2 ratings,N/A
ADMA,$9.02,1441732506604,"3,199",Not yet rated,NULL,$19
ADBE,$78.72,1441732506646,"627,679",61% bullish,of 18 ratings,$90
ADEP,$7.775,1441732506734,"42,479",50% bullish,of 2 ratings,$10.75
AEIS,$24.4625,1441732506865,"89,380",50% bullish,of 2 ratings,$32.50
ADTN,$15.685,1441732506890,"48,844",67% bullish,of 3 ratings,$17.125
ADRO,$18.77,1441732506917,"94,406",80% bullish,of 5 ratings,$45.50
AMD,$1.865,1441732506949,"2,662,061",83% bullish,of 103 ratings,$2
ADXS,$13.92,1441732506975,"249,685",64% bullish,of 14 ratings,$27
ADXSW,$9.97,1441732507054,150,100% bullish,of 1 rating,N/A
YPRO,NULL,1441732507138,0,100% bearish,of 1 rating,N/A
MULT,NULL,1441732507225,0,100% bearish,of 1 rating,N/A
AEGR,$17.96,1441732507372,"63,390",50% bullish,of 6 ratings,$26
AEGN,$18.005,1441732507397,"40,819",100% bearish,of 2 ratings,$21
AEHR,NULL,1441732507423,0,50% bullish,of 2 ratings,N/A
AMTX,$2.922,1441732507444,"4,728",50% bullish,of 2 ratings,N/A
AEPI,$62.97,1441732507576,"21,889",100% bearish,of 1 rating,N/A
AVAV,$20.69,1441732507768,"57,688",50% bullish,of 4 ratings,$28
AEZS,$0.0785,1441732507801,"7,275,961",90% bullish,of 21 ratings,$1.50
AERI,$16.15,1441732507822,"245,245",75% bullish,of 4 ratings,$31.50
AFFX,$9.401,1441732507859,"250,190",80% bullish,of 5 ratings,$12.50
AFMD,$9.9,1441732507899,"56,607",50% bullish,of 4 ratings,$15
AEMD,$7.3,1441732507954,"76,513",Not yet rated,NULL,$27.50
AGRX,$8.8001,1441732507988,"4,535",100% bearish,of 1 rating,$17.50
AGEN,$7.06,1441732508057,"150,788",85% bullish,of 13 ratings,$14
AGYS,$9.73,1441732508233,"3,605",100% bearish,of 1 rating,N/A
AGIO,$88.92,1441732508392,"91,736",88% bullish,of 8 ratings,$114
AGFS,$10.05,1441732508454,"59,199",100% bearish,of 1 rating,N/A
AIRT,$22.706,1441732508482,"3,035",100% bullish,of 1 rating,N/A
AGFSW,$2.1,1441732508503,"10,300",100% bearish,of 2 ratings,N/A
AIRM,$36.4,1441732508532,"51,041",80% bearish,of 5 ratings,$53
AIMT,$22.6564,1441732508553,"121,783",Not yet rated,NULL,$35.50
AIXG,$6.9,1441732508686,"7,744",67% bearish,of 3 ratings,$5.25
AKAM,$73.47,1441732508882,"322,282",63% bullish,of 8 ratings,$77.50
AMCN,$4.6,1441732508909,"163,360",83% bullish,of 6 ratings,N/A
