Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
CAFD,$13.85,1440602402537,"62,411",Not yet rated,NULL,$25
EGHT,$7.495,1440602402705,"101,517",82% bullish,of 17 ratings,$11
ADTN,$15.01,1440602403107,"54,905",67% bullish,of 3 ratings,$17.125
AVAV,$22.91,1440602403332,"17,346",50% bullish,of 4 ratings,$31
AMRI,$19.4,1440602403582,"121,411",75% bearish,of 4 ratings,$24
AMCX,$69.58,1440602403946,"237,387",67% bullish,of 3 ratings,$87.50
ASEI,$36.9499,1440602404302,"9,155",100% bearish,of 1 rating,$52.50
ASRVP,NULL,1440602404359,0,Not yet rated,NULL,N/A
ARCB,$27.51,1440602404883,"69,712",67% bearish,of 3 ratings,$39.50
ARQL,$1.575,1440602405117,"40,850",75% bullish,of 4 ratings,$5
AROW,$26.92,1440602405290,"5,258",Not yet rated,NULL,N/A
AFCB,$27.3,1440602405471,100,Not yet rated,NULL,N/A
BIDU,$140.0873,1440602405868,"1,962,436",81% bullish,of 88 ratings,$210
BVXV,$3.2764,1440602406304,"1,200",Not yet rated,NULL,N/A
BIOC,$1.85,1440602406369,"143,262",83% bullish,of 6 ratings,$3.85
BBEP,$2.48,1440602406919,"353,034",69% bullish,of 13 ratings,$5.625
BYFC,$1.32,1440602406972,600,50% bullish,of 2 ratings,N/A
CPHC,NULL,1440602407464,0,100% bearish,of 1 rating,N/A
CVCO,$70.084,1440602407785,"4,140",100% bearish,of 1 rating,N/A
CLLS,$29.86,1440602407954,"43,386",75% bullish,of 4 ratings,$51.50
CEMP,$33.4,1440602408100,"130,715",71% bullish,of 7 ratings,$52
HGSH,$1.67,1440602408595,"1,200",67% bullish,of 3 ratings,N/A
CHSCM,$25.793,1440602408667,"5,682",Not yet rated,NULL,N/A
CISG,$7.21,1440602409013,"40,604",100% bullish,of 5 ratings,$10
ESXB,$5.1,1440602409439,20,Not yet rated,NULL,N/A
CPSI,$44.62,1440602409627,"14,406",100% bearish,of 1 rating,$45.50
CRAI,$21.61,1440602410146,"2,711",100% bearish,of 1 rating,$36
CUI,$4.88,1440602410382,"7,600",50% bullish,of 2 ratings,$10
