Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
PIH,$7.03,1440684603355,300,100% bearish,of 1 rating,N/A
TFSCR,NULL,1440684603413,0,Not yet rated,NULL,N/A
SRCE,$29.27,1440684603443,"4,544",100% bullish,of 3 ratings,$33
TFSCW,NULL,1440684603464,0,100% bearish,of 1 rating,N/A
TWOU,$35.11,1440684603485,"31,330",50% bullish,of 2 ratings,$39
FCTY,NULL,1440684603618,0,100% bullish,of 1 rating,$8.50
USLV,$11.61,1440684603799,"98,877",86% bullish,of 7 ratings,N/A
TFSCU,NULL,1440684603823,0,Not yet rated,NULL,N/A
DGLD,$84.09,1440684603848,"8,566",100% bullish,of 1 rating,N/A
JOBS,$27.16,1440684603875,"13,188",50% bullish,of 4 ratings,$36
VNET,$17.16,1440684603897,"291,307",60% bullish,of 5 ratings,$29.50
FLWS,$8.86,1440684604327,"211,533",80% bullish,of 5 ratings,$15
DSLV,$75.84,1440684604352,"6,007",100% bearish,of 1 rating,N/A
FCCY,NULL,1440684604414,0,100% bullish,of 1 rating,$13
TFSC,NULL,1440684604518,0,100% bearish,of 1 rating,N/A
UGLD,$8.96,1440684604782,"396,399",100% bearish,of 1 rating,N/A
CAFD,$14.72,1440684606449,"42,774",Not yet rated,NULL,$25
SIXD,$3.08,1440684606500,"64,401",Not yet rated,NULL,N/A
EGHT,$7.67,1440684606522,"36,664",82% bullish,of 17 ratings,$11
AAON,$20.03,1440684606550,"17,083",100% bearish,of 1 rating,$24
ABY,$21.41,1440684606716,"58,998",100% bearish,of 2 ratings,$46
ABEOW,$1.73,1440684606860,561,100% bullish,of 1 rating,N/A
SHLM,$33.57,1440684607064,"15,479",100% bearish,of 1 rating,$47
ABAX,$46.79,1440684607101,"14,408",100% bearish,of 1 rating,$60
ABGB,$6.3399,1440684607197,"100,949",67% bullish,of 3 ratings,$5.50
AVHI,$13.6,1440684607227,"19,982",100% bearish,of 1 rating,$19
ABEO,$4.6,1440684607337,"10,879",50% bullish,of 4 ratings,$15.50
ACAD,$37.8712,1440684607496,"170,446",80% bullish,of 20 ratings,$48
ABMD,$97.665,1440684608029,"82,146",75% bullish,of 4 ratings,$100.50
ACST,$0.36,1440684608050,"2,565",100% bullish,of 2 ratings,N/A
AXDX,$18.8,1440684608132,"26,183",100% bearish,of 1 rating,N/A
XLRN,$28.22,1440684608187,"17,811",50% bullish,of 2 ratings,$57
AXAS,$1.69,1440684608286,"133,062",78% bullish,of 9 ratings,$3.50
ANCX,$19.58,1440684608433,"5,112",Not yet rated,NULL,$20
ACHC,$72.17,1440684608469,"77,195",50% bullish,of 2 ratings,$92
ACTG,$8.95,1440684608600,"25,403",67% bullish,of 3 ratings,$18.50
ARAY,$6.29,1440684608625,"86,224",100% bearish,of 1 rating,$10.50
VXDN,$2.06,1440684609188,"21,773",100% bearish,of 1 rating,N/A
VXUP,$1.56,1440684609224,"13,982",100% bearish,of 1 rating,N/A
ACRX,$4.24,1440684609365,"39,780",67% bearish,of 6 ratings,$5.50
AKAO,$6.6405,1440684609495,"12,703",75% bullish,of 4 ratings,$15
ACET,$22.46,1440684609548,"8,426",75% bullish,of 4 ratings,$30
ACHN,$7.43,1440684609810,"142,767",90% bullish,of 21 ratings,$16
ATVI,$27.72,1440684610148,"604,046",68% bullish,of 84 ratings,$31.50
ACIW,$20.84,1440684610316,"74,399",67% bearish,of 3 ratings,$24
ACNB,NULL,1440684610724,0,Not yet rated,NULL,N/A
ACUR,$0.55,1440684610749,"16,812",100% bullish,of 5 ratings,$1
ACXM,$20.51,1440684610774,"45,539",67% bullish,of 3 ratings,N/A
ACTA,$12.9,1440684610987,"10,234",67% bearish,of 3 ratings,$25
ADMS,$19.83,1440684611142,"17,625",100% bearish,of 2 ratings,$36
ADMP,$3.5196,1440684611384,"3,284",50% bullish,of 2 ratings,$10
ACOR,$31.4925,1440684611428,"77,011",67% bearish,of 3 ratings,$38.50
ACTS,$1.62,1440684612489,"3,901",100% bearish,of 1 rating,N/A
ADUS,$28.36,1440684612646,"2,978",100% bearish,of 1 rating,$31
ACPW,$1.8299,1440684612698,"3,241",100% bullish,of 4 ratings,$3.50
ADAP,$11.72,1440684612728,"5,200",67% bullish,of 3 ratings,$22
ADEP,$6.51,1440684612787,"2,742",50% bullish,of 2 ratings,$10.75
AEY,$2.327,1440684612833,"1,904",100% bearish,of 2 ratings,N/A
ADTN,$15.41,1440684613025,"35,550",67% bullish,of 3 ratings,$17.125
ADBE,$78.72,1440684613091,"404,202",65% bullish,of 17 ratings,$90
ADRO,$20.9964,1440684613159,"48,917",80% bullish,of 5 ratings,$45.50
ADMA,$9.31,1440684613191,830,Not yet rated,NULL,$19
ADXSW,$9.05,1440684613219,"3,050",100% bullish,of 1 rating,N/A
AEIS,$24.2483,1440684613291,"23,401",50% bullish,of 2 ratings,$32.50
AMD,$1.77,1440684613348,"1,200,783",83% bullish,of 103 ratings,$2
ADXS,$13.8,1440684613374,"113,169",64% bullish,of 14 ratings,$27
MULT,NULL,1440684613448,0,100% bearish,of 1 rating,N/A
YPRO,NULL,1440684613739,0,100% bearish,of 1 rating,N/A
AEGR,$17.91,1440684613834,"69,407",50% bullish,of 6 ratings,$26
AEGN,$17.81,1440684613860,"21,038",100% bearish,of 2 ratings,$21
AMTX,$2.48,1440684613994,"5,351",50% bullish,of 2 ratings,$26.11
AEHR,$2.25,1440684614020,450,50% bullish,of 2 ratings,N/A
AEPI,$55.31,1440684614042,"1,388",100% bearish,of 1 rating,N/A
AERI,$16.24,1440684614070,"97,129",75% bullish,of 4 ratings,$31.50
AEZS,$0.0821,1440684614096,"1,811,613",90% bullish,of 21 ratings,$1.50
AVAV,$23.4999,1440684614380,"10,056",50% bullish,of 4 ratings,$31
AEMD,$6.97,1440684614430,"36,806",Not yet rated,NULL,$27.50
AFMD,$9.96,1440684614456,"20,760",50% bullish,of 4 ratings,$15
AFFX,$9.47,1440684614599,"76,080",80% bullish,of 5 ratings,$12
AGEN,$6.81,1440684614655,"102,413",85% bullish,of 13 ratings,$14
AGYS,$9.49,1440684614748,"4,992",100% bearish,of 1 rating,N/A
AGRX,$8.43,1440684614953,"1,946",100% bearish,of 1 rating,$17.50
AGFS,$10.2316,1440684615205,"3,136",100% bearish,of 1 rating,N/A
AGIO,$89.63,1440684615234,"34,342",88% bullish,of 8 ratings,$114
AGFSW,$1.975,1440684615337,"3,400",100% bearish,of 2 ratings,N/A
AIMT,$22,1440684615413,"8,021",Not yet rated,NULL,N/A
AIRM,$36.177,1440684615514,"18,508",80% bearish,of 5 ratings,$53
AIRT,$21.49,1440684615544,200,100% bullish,of 1 rating,N/A
AIXG,$5.95,1440684615609,"4,662",67% bearish,of 3 ratings,$5.25
AMCN,$4.6,1440684615636,"150,786",83% bullish,of 6 ratings,N/A
ATSG,$8.78,1440684615664,"23,158",67% bullish,of 3 ratings,$13
AKER,$2.55,1440684615696,142,Not yet rated,NULL,N/A
AKAM,$69.56,1440684615799,"111,793",63% bullish,of 8 ratings,$77
AKBA,$6.29,1440684615935,"27,248",100% bearish,of 1 rating,$18
AKRX,$40.03,1440684616014,"75,441",78% bullish,of 9 ratings,$56
ALRM,$16.47,1440684616183,"10,857",100% bearish,of 1 rating,$22
ALSK,$2,1440684616213,"35,492",78% bullish,of 18 ratings,$2
AMRI,$19.72,1440684616325,"13,926",75% bearish,of 4 ratings,$24
ABDC,$12.2,1440684616592,"8,905",Not yet rated,NULL,$15
ALDX,$6.75,1440684616836,"3,260",100% bearish,of 1 rating,$14.50
ADHD,$7.65,1440684616869,"28,574",50% bullish,of 4 ratings,$18
ALDR,$38.245,1440684616938,"30,653",67% bearish,of 3 ratings,$62
ALXN,$175.97,1440684616963,"136,747",88% bullish,of 8 ratings,$223
ALXA,$1.092,1440684617106,"4,376",83% bullish,of 6 ratings,$2.125
ALIM,$3.23,1440684617205,"10,500",80% bullish,of 5 ratings,$10
ALGN,$56.68,1440684617298,"58,202",100% bearish,of 2 ratings,$73
ALGT,$213.76,1440684617440,"11,493",100% bearish,of 2 ratings,$235
ALLB,$22.79,1440684617624,100,Not yet rated,NULL,N/A
AIQ,$13.5,1440684617655,900,67% bullish,of 3 ratings,N/A
ALCO,$42,1440684617692,434,50% bullish,of 2 ratings,N/A
ALKS,$61.12,1440684617719,"51,471",67% bullish,of 3 ratings,$75
AFOP,$18.2957,1440684617752,"18,676",75% bullish,of 8 ratings,$21
AHGP,$35.8865,1440684617784,"20,239",67% bullish,of 3 ratings,N/A
AHPI,NULL,1440684617886,0,50% bullish,of 2 ratings,N/A
ARLP,$24.58,1440684618021,"38,436",67% bearish,of 3 ratings,$32
ALQA,$4.21,1440684618065,200,75% bullish,of 4 ratings,$8.50
AMOT,$18.1183,1440684618153,"12,271",100% bearish,of 1 rating,N/A
MDRX,$13.6,1440684618195,"180,411",60% bullish,of 5 ratings,$16
ALLT,$4.99,1440684618220,"11,563",75% bullish,of 4 ratings,$6.25
AFAM,$44.42,1440684618247,"4,450",50% bullish,of 2 ratings,$44
ALNY,$105.76,1440684618498,"59,258",67% bullish,of 3 ratings,$148.50
AOSL,$7.29,1440684618525,"8,764",67% bullish,of 3 ratings,$9
SMCP,NULL,1440684618657,0,Not yet rated,NULL,N/A
ALTR,$48.45,1440684618703,"272,276",80% bearish,of 5 ratings,$54
ATEC,$0.588,1440684618730,"15,250",100% bullish,of 1 rating,$2
ASPS,$25.82,1440684618751,"36,780",67% bullish,of 3 ratings,$46.50
AMRN,$2.01,1440684618906,"171,003",85% bullish,of 39 ratings,$8
AMAG,$64.79,1440684618932,"52,473",100% bullish,of 2 ratings,$77.50
AMZN,$516.44,1440684619075,"967,067",81% bullish,of 264 ratings,$646
AMRK,NULL,1440684619234,0,50% bullish,of 2 ratings,$14
AYA,$20.02,1440684619262,"10,082",100% bearish,of 1 rating,$40
AMBC,$15.53,1440684619309,"45,175",100% bearish,of 1 rating,$16.50
AMBCW,NULL,1440684619413,0,100% bearish,of 1 rating,N/A
AIMC,$24.2,1440684619518,"7,412",100% bearish,of 2 ratings,$28.50
AMBA,$93.5,1440684619543,"538,987",83% bullish,of 12 ratings,$102.50
EPAX,$2.67,1440684619617,"3,800",100% bearish,of 1 rating,N/A
AMCX,$71.704,1440684619688,"109,267",67% bullish,of 3 ratings,$87.50
DOX,$57.09,1440684619746,"40,069",67% bearish,of 3 ratings,$60
AMED,$38.1761,1440684619904,"21,449",100% bearish,of 1 rating,$42
ASBI,NULL,1440684619932,0,Not yet rated,NULL,N/A
AMDA,$0.4799,1440684619961,"226,697",90% bullish,of 10 ratings,$1
UHAL,$370.25,1440684620064,"1,462",100% bullish,of 2 ratings,$393.50
ATAX,$5.16,1440684620095,"14,010",100% bullish,of 1 rating,$6.50
AMOV,$17.79,1440684620120,590,100% bearish,of 1 rating,N/A
AAL,$38.91,1440684620145,"1,348,052",93% bullish,of 88 ratings,$57
AGNC,$19.255,1440684620341,"377,838",71% bullish,of 28 ratings,$22
AGNCP,$25.0484,1440684620370,"1,800",Not yet rated,NULL,N/A
AGNCB,$24.3399,1440684620398,"4,275",Not yet rated,NULL,N/A
MTGEP,$24.68,1440684620574,131,Not yet rated,NULL,N/A
MTGE,$15.32,1440684620614,"59,177",75% bullish,of 4 ratings,$19.50
ACSF,$12.0587,1440684620644,"2,330",100% bearish,of 1 rating,$15
ACAS,$13.63,1440684620675,"652,637",60% bullish,of 5 ratings,$16.75
ANCI,NULL,1440684620778,0,100% bearish,of 1 rating,N/A
AETI,NULL,1440684620946,0,67% bearish,of 3 ratings,N/A
AMNB,$23.15,1440684620999,"2,774",Not yet rated,NULL,$25.50
AMIC,$9.62,1440684621027,200,Not yet rated,NULL,N/A
APEI,$21.23,1440684621102,"7,390",100% bearish,of 1 rating,$25.50
ARII,$38.8525,1440684621187,"110,475",67% bearish,of 3 ratings,$45
AMRB,$10.1,1440684621214,206,Not yet rated,NULL,$11
ASEI,$36.9,1440684621239,"2,492",100% bearish,of 1 rating,$52.50
ANAT,$100.1,1440684621372,"1,078",100% bullish,of 1 rating,N/A
AMSC,$4.3767,1440684621559,"22,952",50% bullish,of 4 ratings,N/A
AMSWA,$8.55,1440684621585,"4,302",100% bearish,of 2 ratings,$10.75
AMWD,$65.5,1440684621614,"13,904",50% bullish,of 2 ratings,$70
CRMT,$35.83,1440684621718,"7,063",100% bearish,of 1 rating,$39
ASRVP,NULL,1440684621928,0,Not yet rated,NULL,N/A
ASRV,$3.2,1440684622027,200,100% bullish,of 2 ratings,N/A
ABCB,$26.6,1440684622057,"11,676",Not yet rated,NULL,$31
AMGN,$154.37,1440684622088,"508,360",89% bullish,of 19 ratings,$185
