Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
FCTY,NULL,1440080402656,0,100% bullish,of 1 rating,$8.50
TFSC,NULL,1440080402698,0,100% bearish,of 1 rating,N/A
FCCY,NULL,1440080402724,0,100% bullish,of 1 rating,$13
TFSCU,NULL,1440080402756,0,Not yet rated,NULL,N/A
PIH,$7.423,1440080402778,200,100% bearish,of 1 rating,N/A
TFSCR,NULL,1440080402808,0,Not yet rated,NULL,N/A
FLWS,$9.62,1440080402830,"16,050",100% bullish,of 5 ratings,$15
TFSCW,NULL,1440080402859,0,100% bearish,of 1 rating,N/A
SRCE,$30,1440080403061,"1,929",100% bullish,of 3 ratings,$33
UGLD,$9.6089,1440080403120,"69,193",100% bearish,of 1 rating,N/A
DGLD,$78.872,1440080403153,"3,959",100% bullish,of 1 rating,N/A
TWOU,$34.714,1440080403188,"63,945",50% bullish,of 2 ratings,$39
JOBS,$26.59,1440080403225,"32,429",50% bullish,of 4 ratings,$36
USLV,$15.2101,1440080403247,"78,192",86% bullish,of 7 ratings,N/A
VNET,$20.02,1440080403269,"52,878",60% bullish,of 5 ratings,$29.50
DSLV,$58.9799,1440080403308,"7,271",100% bearish,of 1 rating,N/A
CAFD,$15.43,1440080403714,"19,986",Not yet rated,NULL,$25
EGHT,$8.36,1440080403768,"49,929",82% bullish,of 17 ratings,$11
AVHI,$14,1440080403795,"6,832",100% bearish,of 1 rating,$19
SHLM,$35.62,1440080403818,"6,544",100% bearish,of 1 rating,$50
ABY,$21.11,1440080403853,"16,918",100% bearish,of 2 ratings,$46
ABGB,$4.0394,1440080403874,"28,105",67% bullish,of 3 ratings,$5.50
SIXD,$2.21,1440080403905,"20,828",Not yet rated,NULL,N/A
AAON,$22.48,1440080403961,"3,216",100% bearish,of 1 rating,$24
ABAX,$47.7,1440080404099,"15,588",100% bearish,of 1 rating,$60
ABEOW,NULL,1440080404133,0,100% bullish,of 1 rating,N/A
ABEO,$5.27,1440080404163,"9,938",67% bullish,of 3 ratings,$15.50
ABMD,$103.4,1440080404206,"32,909",75% bullish,of 4 ratings,$100.50
ACTG,$8.79,1440080404246,"33,946",67% bullish,of 3 ratings,$18.50
ACHC,$77.73,1440080404336,"51,933",50% bullish,of 2 ratings,$92
AXAS,$1.64,1440080404366,"68,216",78% bullish,of 9 ratings,$3.50
ACAD,$37.675,1440080404416,"85,628",80% bullish,of 20 ratings,$48
XLRN,$30.48,1440080404729,"8,324",50% bullish,of 2 ratings,$57
ACST,$0.3601,1440080404768,"7,400",100% bullish,of 2 ratings,N/A
AXDX,$18.6,1440080404797,"16,376",100% bearish,of 1 rating,N/A
ANCX,$19.07,1440080404830,"5,806",Not yet rated,NULL,$19
ARAY,$5.902,1440080404864,"76,836",100% bearish,of 1 rating,$10.50
ACET,$24.975,1440080404933,"23,926",75% bullish,of 4 ratings,$30
VXUP,$17.72,1440080404962,"12,208",Not yet rated,NULL,N/A
VXDN,$13.87,1440080404989,"1,015",Not yet rated,NULL,N/A
AKAO,$6.9,1440080405164,"16,627",75% bullish,of 4 ratings,$15
ACHN,$8.1601,1440080405238,"123,189",90% bullish,of 21 ratings,$16
ACIW,$22.48,1440080405269,"32,523",50% bullish,of 2 ratings,$24
ACRX,$4.24,1440080405295,"38,586",67% bearish,of 6 ratings,$5.50
ACOR,$30.08,1440080405372,"31,370",67% bearish,of 3 ratings,$38.50
ACNB,NULL,1440080405438,0,Not yet rated,NULL,N/A
ACTS,$1.38,1440080405513,"3,300",100% bearish,of 1 rating,N/A
ACPW,$1.8791,1440080405618,"2,279",100% bullish,of 4 ratings,$3.50
ATVI,$28.13,1440080405683,"432,415",68% bullish,of 84 ratings,$31.50
ACTA,$13.52,1440080405709,"18,715",67% bearish,of 3 ratings,$25
ACUR,$0.618,1440080405737,500,100% bullish,of 5 ratings,$1
ACXM,$20.48,1440080405770,"39,053",67% bullish,of 3 ratings,N/A
ADMS,$19.925,1440080405870,"7,174",100% bearish,of 2 ratings,$36
ADMP,$3.62,1440080405935,936,50% bullish,of 2 ratings,$10
AEY,NULL,1440080406076,0,100% bearish,of 2 ratings,N/A
ADUS,$29.23,1440080406104,"3,493",100% bearish,of 1 rating,$31
ADAP,$14.9,1440080406142,"2,802",67% bullish,of 3 ratings,$22
ADEP,$7.1,1440080406241,"5,284",50% bullish,of 2 ratings,$10.75
ADMA,$9.6,1440080406273,100,Not yet rated,NULL,$19
ADBE,$83.748,1440080406299,"141,075",65% bullish,of 17 ratings,$90
ADTN,$15.6,1440080406374,"47,266",67% bullish,of 3 ratings,$17.125
AEIS,$25.36,1440080406509,"13,611",50% bullish,of 2 ratings,$32.50
AMD,$1.77,1440080406546,"1,140,630",83% bullish,of 102 ratings,$2
ADRO,$20.895,1440080406639,"8,112",80% bullish,of 5 ratings,$45.50
ADXSW,$10.01,1440080406667,"1,030",100% bullish,of 1 rating,N/A
ADXS,$14.34,1440080406700,"134,393",64% bullish,of 14 ratings,$27
