Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
FCTY,$7.88,1440511802164,"2,000",100% bullish,of 1 rating,$8.50
FCCY,$11.4001,1440511802202,200,100% bullish,of 1 rating,$13
TFSCW,$0.2,1440511802230,"3,500",100% bearish,of 1 rating,N/A
PIH,$7.05,1440511802252,107,100% bearish,of 1 rating,N/A
FLWS,$9.155,1440511802273,"19,799",100% bullish,of 5 ratings,$15
TFSCU,NULL,1440511802305,0,Not yet rated,NULL,N/A
UGLD,$9.3789,1440511802659,"123,766",100% bearish,of 1 rating,N/A
SRCE,$28.99,1440511802708,"1,600",100% bullish,of 3 ratings,$33
VNET,$18.21,1440511802735,"138,890",60% bullish,of 5 ratings,$29.50
TWOU,$33.9,1440511802757,"22,274",50% bullish,of 2 ratings,$39
DGLD,$80.2,1440511802790,"17,069",100% bearish,of 1 rating,N/A
DSLV,$70.4799,1440511802811,"3,407",100% bearish,of 1 rating,N/A
USLV,$12.6788,1440511803223,"115,811",86% bullish,of 7 ratings,N/A
JOBS,$27,1440511803248,"24,587",50% bullish,of 4 ratings,$36
CAFD,$15.38,1440511803428,"61,446",Not yet rated,NULL,$25
EGHT,$7.9299,1440511803453,"106,980",82% bullish,of 17 ratings,$11
SHLM,$32.81,1440511803620,"8,312",100% bearish,of 1 rating,$50
SIXD,$1.4,1440511803677,"8,000",Not yet rated,NULL,N/A
AAON,$20.59,1440511803748,"5,067",100% bearish,of 1 rating,$24
AVHI,$13.908,1440511803780,"6,245",100% bearish,of 1 rating,$19
ABAX,$46.85,1440511803836,"17,660",100% bearish,of 1 rating,$60
ABY,$20.615,1440511803917,"222,696",100% bearish,of 2 ratings,$46
ABEO,$4.3902,1440511804004,"21,213",67% bullish,of 3 ratings,$15.50
ABEOW,$1.83,1440511804218,"6,540",100% bullish,of 1 rating,N/A
ABGB,$5.3862,1440511804303,"73,591",67% bullish,of 3 ratings,$5.50
