Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
TFSCR,NULL,1441221302900,0,Not yet rated,NULL,N/A
PIH,NULL,1441221302934,0,100% bearish,of 1 rating,N/A
TFSCU,NULL,1441221302960,0,Not yet rated,NULL,N/A
TFSCW,NULL,1441221302987,0,100% bearish,of 1 rating,N/A
FLWS,$8.51,1441221303008,"168,867",80% bullish,of 5 ratings,$15
FCTY,$7.74,1441221303030,890,100% bullish,of 1 rating,$8.50
FCCY,$11.74,1441221303062,150,100% bullish,of 1 rating,$13
TFSC,NULL,1441221303084,0,100% bearish,of 1 rating,N/A
SRCE,$29.6,1441221303222,"8,751",100% bullish,of 3 ratings,$33
USLV,$12.71,1441221303331,"213,638",86% bullish,of 7 ratings,N/A
DSLV,$68.66,1441221303352,"15,540",100% bearish,of 1 rating,N/A
VNET,$16.51,1441221303374,"288,433",60% bullish,of 5 ratings,$35
UGLD,$9.2628,1441221303418,"102,698",100% bearish,of 1 rating,N/A
TWOU,$34.91,1441221303448,"72,270",50% bullish,of 2 ratings,$39
DGLD,$80.9601,1441221303469,"4,925",100% bullish,of 1 rating,N/A
JOBS,$26.55,1441221303503,"70,150",50% bullish,of 4 ratings,$36
EGHT,$7.69,1441221303858,"159,606",82% bullish,of 17 ratings,$11
ABGB,$5.25,1441221303909,"15,197",67% bullish,of 3 ratings,$5.50
SIXD,$2.7,1441221303934,"26,477",Not yet rated,NULL,N/A
CAFD,$14.86,1441221303968,"95,840",Not yet rated,NULL,$24.50
ABAX,$47.16,1441221303990,"69,281",100% bearish,of 1 rating,$60
AVHI,$13.95,1441221304019,"11,690",100% bearish,of 1 rating,$19
SHLM,$32.94,1441221304066,"56,962",100% bearish,of 1 rating,$47
AAON,$20,1441221304098,"47,971",100% bearish,of 1 rating,$24
ABY,$22.33,1441221304150,"317,355",100% bearish,of 2 ratings,$46
ABEO,$4.81,1441221304200,"56,558",50% bullish,of 4 ratings,$15.50
ABMD,$94.49,1441221304255,"252,523",75% bullish,of 4 ratings,$100.50
AXAS,$1.72,1441221304293,"614,230",78% bullish,of 9 ratings,$3.50
ABEOW,$1.8,1441221304318,400,100% bullish,of 1 rating,N/A
ACTG,$9.14,1441221304357,"253,350",67% bullish,of 3 ratings,$18.50
ACHC,$72.79,1441221304452,"147,991",50% bullish,of 2 ratings,$92
ACAD,$37.33,1441221304555,"387,809",80% bullish,of 20 ratings,$48
ARAY,$6.59,1441221304683,"277,980",100% bearish,of 1 rating,$10.50
AXDX,$19.25,1441221304713,"45,633",100% bearish,of 1 rating,N/A
ACST,$0.3421,1441221304756,"1,190",100% bullish,of 2 ratings,N/A
ANCX,$20.07,1441221304785,"9,994",Not yet rated,NULL,$20
XLRN,$29.38,1441221304814,"38,845",50% bullish,of 2 ratings,$57
ACRX,$4.48,1441221304893,"262,496",67% bearish,of 6 ratings,$5.50
VXDN,$1.8799,1441221304925,"20,545",100% bearish,of 1 rating,N/A
ACET,$21.74,1441221304951,"47,067",75% bullish,of 4 ratings,$30
VXUP,$1.6827,1441221305027,"21,972",100% bearish,of 1 rating,N/A
AKAO,$7,1441221305078,"35,101",75% bullish,of 4 ratings,$15
ACHN,$7.33,1441221305114,"1,936,501",90% bullish,of 21 ratings,$16
ACIW,$21.14,1441221305140,"186,464",67% bearish,of 3 ratings,$24
ACNB,$20.35,1441221305172,463,Not yet rated,NULL,N/A
ACOR,$32.085,1441221305274,"284,967",67% bearish,of 3 ratings,$38.50
ACTS,$1.6,1441221305362,"8,148",100% bearish,of 1 rating,N/A
ACPW,$1.955,1441221305459,"20,092",100% bullish,of 4 ratings,$3.25
ATVI,$28.11,1441221305489,"6,021,733",67% bullish,of 84 ratings,$31.50
ACTA,$13.79,1441221305520,"39,542",67% bearish,of 3 ratings,$25
ACUR,$2.85,1441221305557,"1,848",100% bullish,of 5 ratings,$5
ACXM,$20.49,1441221305625,"99,248",67% bullish,of 3 ratings,N/A
ADMS,$19.665,1441221305650,"23,424",100% bearish,of 2 ratings,$36
ADMP,$3.89,1441221305680,"13,989",50% bullish,of 2 ratings,$10
ADUS,$29.43,1441221305786,"17,761",100% bearish,of 1 rating,$31
ADAP,$11.4662,1441221305815,"23,643",67% bullish,of 3 ratings,$22
ADEP,$6.97,1441221305923,"29,578",50% bullish,of 2 ratings,$10.75
AEY,$2.35,1441221305949,"9,438",100% bearish,of 2 ratings,N/A
ADBE,$76.9,1441221306083,"988,155",65% bullish,of 17 ratings,$90
ADMA,$9,1441221306109,"4,581",Not yet rated,NULL,$19
ADTN,$15.67,1441221306187,"85,499",67% bullish,of 3 ratings,$17.125
ADRO,$19.1,1441221306244,"109,886",80% bullish,of 5 ratings,$45.50
AEIS,$24.14,1441221306322,"55,632",50% bullish,of 2 ratings,$32.50
AMD,$1.755,1441221306353,"2,866,448",83% bullish,of 103 ratings,$2
