Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
TFSCW,NULL,1440260402442,0,100% bearish,of 1 rating,N/A
TFSCU,NULL,1440260402483,0,Not yet rated,NULL,N/A
PIH,$7.2,1440260402504,"15,400",100% bearish,of 1 rating,N/A
FCCY,$11.6,1440260402527,354,100% bullish,of 1 rating,$13
FLWS,$9.36,1440260402571,"220,692",100% bullish,of 5 ratings,$15
TFSCR,NULL,1440260402596,0,Not yet rated,NULL,N/A
TFSC,NULL,1440260402617,0,100% bearish,of 1 rating,N/A
FCTY,$7.63,1440260402656,300,100% bullish,of 1 rating,$8.50
SRCE,$30.03,1440260402758,"55,334",100% bullish,of 3 ratings,$33
VNET,$19.27,1440260402786,"733,790",60% bullish,of 5 ratings,$29.50
TWOU,$34.02,1440260402818,"673,961",50% bullish,of 2 ratings,$39
DGLD,$76.08,1440260402839,"21,135",100% bullish,of 1 rating,N/A
UGLD,$9.99,1440260402982,"253,649",100% bearish,of 1 rating,N/A
USLV,$14.59,1440260403011,"218,982",86% bullish,of 7 ratings,N/A
DSLV,$61.29,1440260403078,"22,007",100% bearish,of 1 rating,N/A
JOBS,$25.35,1440260403109,"172,084",50% bullish,of 4 ratings,$36
CAFD,$15.52,1440260403304,"330,925",Not yet rated,NULL,$25
AVHI,$13.95,1440260403335,"37,920",100% bearish,of 1 rating,$19
SHLM,$34.05,1440260403391,"123,800",100% bearish,of 1 rating,$50
EGHT,$8.215,1440260403412,"436,691",82% bullish,of 17 ratings,$11
AAON,$21.67,1440260403448,"166,594",100% bearish,of 1 rating,$24
SIXD,$1.47,1440260403495,"250,988",Not yet rated,NULL,N/A
ABY,$20,1440260403544,"1,100,886",100% bearish,of 2 ratings,$46
ABAX,$47.54,1440260403583,"139,615",100% bearish,of 1 rating,$60
ABEOW,$1.76,1440260403712,"2,525",100% bullish,of 1 rating,N/A
ABEO,$4.83,1440260403737,"140,862",67% bullish,of 3 ratings,$15.50
ABMD,$97.08,1440260403794,"831,796",75% bullish,of 4 ratings,$100.50
ABGB,$4.09,1440260403954,"34,916",67% bullish,of 3 ratings,$5.50
AXAS,$1.56,1440260403982,"860,487",78% bullish,of 9 ratings,$3.50
ACTG,$8.87,1440260404003,"323,174",67% bullish,of 3 ratings,$18.50
ACHC,$73.6762,1440260404136,"815,815",50% bullish,of 2 ratings,$92
ACAD,$38.13,1440260404165,"928,540",80% bullish,of 20 ratings,$48
AXDX,$17.93,1440260404201,"220,988",100% bearish,of 1 rating,N/A
