Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
FLWS,$8.51,1440778202940,"221,822",80% bullish,of 5 ratings,$15
FCCY,NULL,1440778203017,0,100% bullish,of 1 rating,$13
FCTY,NULL,1440778203042,0,100% bullish,of 1 rating,$8.50
VNET,$17.85,1440778203392,"238,295",60% bullish,of 5 ratings,$35
SRCE,$29.29,1440778203418,"11,236",100% bullish,of 3 ratings,$33
TWOU,$34.56,1440778203443,"71,388",50% bullish,of 2 ratings,$39
DGLD,$80.9301,1440778203765,"14,336",100% bullish,of 1 rating,N/A
DSLV,$71.31,1440778203800,"5,631",100% bearish,of 1 rating,N/A
UGLD,$9.26,1440778203869,"244,632",100% bearish,of 1 rating,N/A
USLV,$12.18,1440778204163,"187,551",86% bullish,of 7 ratings,N/A
JOBS,$27.24,1440778204234,"19,004",50% bullish,of 4 ratings,$36
CAFD,$15.13,1440778204832,"53,369",Not yet rated,NULL,$25
EGHT,$7.95,1440778204903,"76,355",82% bullish,of 17 ratings,$11
SIXD,$2.6361,1440778204963,"72,142",Not yet rated,NULL,N/A
AVHI,$13.96,1440778205311,"7,041",100% bearish,of 1 rating,$19
SHLM,$34.05,1440778205339,"14,858",100% bearish,of 1 rating,$47
ABAX,$47.03,1440778205380,"36,785",100% bearish,of 1 rating,$60
AAON,$20.47,1440778205670,"28,969",100% bearish,of 1 rating,$24
ABY,$22.85,1440778205698,"182,486",100% bearish,of 2 ratings,$46
ABGB,$5.72,1440778205730,"22,032",67% bullish,of 3 ratings,$5.50
ABEO,$4.71,1440778206039,"15,092",50% bullish,of 4 ratings,$15.50
ABEOW,$1.86,1440778206149,"1,861",100% bullish,of 1 rating,N/A
AXAS,$1.96,1440778206500,"512,761",78% bullish,of 9 ratings,$3.50
ABMD,$97.5401,1440778206527,"135,993",75% bullish,of 4 ratings,$100.50
ACTG,$9.51,1440778206553,"67,499",67% bullish,of 3 ratings,$18.50
ACHC,$74.14,1440778206932,"130,589",50% bullish,of 2 ratings,$92
ACAD,$37.84,1440778206957,"161,284",80% bullish,of 20 ratings,$48
ACST,$0.355,1440778207039,"1,156",100% bullish,of 2 ratings,N/A
AXDX,$18.469,1440778207274,"27,689",100% bearish,of 1 rating,N/A
