TFSC,NULL,1439682002766,[]
HTHT,$24.6555,1439682038063,[u'77,339']
CNIT,$1.82,1439682038083,[u'81,629']
CHLN,$1.39,1439682038094,[u'6,811']
CHNR,$2.0101,1439682038118,[u'110']
CPGI,$6.99,1439682038266,[u'1,372']
CREG,$0.77,1439682038324,[u'22,815']
CSUN,$1.54,1439682038386,[u'16,327']
CNTF,$0.95,1439682038438,[u'26,649']
CXDC,$6.25,1439682038492,[u'21,845']
CCIH,$9.79,1439682038627,[u'32,972']
CNYD,$3.41,1439682038666,[u'401']
CNET,$0.824,1439682038706,[u'12,696']
IMOS,$15.8765,1439682038766,[u'87,325']
CHSCL,$27.15,1439682038794,[u'17,402']
CHSCM,$26.36,1439682038843,[u'14,485']
CHSCN,$27.5,1439682038908,[u'2,252']
CHSCO,$28.5,1439682038986,[u'2,713']
CHSCP,$30.63,1439682039077,[u'1,730']
CHDN,$135.81,1439682039124,[u'23,011']
CHUY,$32.95,1439682039200,[u'149,930']
CDTX,$14.5,1439682039221,[u'18,948']
CIFC,$7.35,1439682039266,[u'2,606']
CMCT,$15.6,1439682039436,[u'927']
CINF,$56.6513,1439682039475,[u'274,162']
CMPR,$70.48,1439682039495,[u'173,078']
CIDM,$0.7,1439682039559,[u'143,667']
CTAS,$88.49,1439682039596,[u'219,344']
CSCO,$29.05,1439682039612,[u'19,482,765']
CPHR,$7.5,1439682039645,[u'20,308']
CRUS,$29.35,1439682039766,[u'680,690']
CTRN,$22.76,1439682039886,[u'32,987']
CZNC,$20.34,1439682040030,[u'40,689']
CZFC,NULL,1439682040064,[]
CIZN,$19.6,1439682040136,[u'18']
CZWI,$9.17,1439682040162,[u'535']
CTXS,$77.55,1439682040293,[u'816,989']
CIVB,$10.29,1439682040345,[u'845']
CHCO,$48.29,1439682040376,[u'23,230']
CIVBP,NULL,1439682040405,[]
CLNE,$4.94,1439682040417,[u'579,431']
CDTI,$1.61,1439682040427,[u'47,350']
CLFD,$18.18,1439682040513,[u'21,757']
CLNT,$1.97,1439682040603,[u'32,118']
CLRO,$11.9,1439682040638,[u'9,018']
CLIR,$5.3,1439682040689,[u'58,399']
CBLI,$3.57,1439682040807,[u'62,396']
CSBK,$14.03,1439682040831,[u'66,895']
CMFN,$11.225,1439682040948,[u'10,095']
CME,$98.1796,1439682040988,[u'686,578']
CCNE,$17.36,1439682041011,[u'11,405']
CLVS,$77.07,1439682041037,[u'186,536']
CISG,$8.5,1439682041054,[u'30,224']
CNV,$4.92,1439682041088,[u'31,030']
CWAY,$11.5,1439682041186,[u'1,402']
COBZ,$12.82,1439682041251,[u'46,622']
COKE,$162.85,1439682041304,[u'21,305']
CDRB,$13.06,1439682041328,[u'16,884']
CDXS,$3.69,1439682041380,[u'542,941']
CVLY,$20.68,1439682041437,[u'1,001']
JVA,$4.77,1439682041547,[u'2,178']
CCOI,$29.16,1439682041648,[u'323,506']
CGNX,$36.99,1439682041753,[u'235,019']
CGNT,$1.57,1439682041794,[u'31,943']
CTSH,$67.17,1439682041826,[u'1,997,748']
COHR,$58.79,1439682041866,[u'46,930']
CHRS,$34.14,1439682041881,[u'150,579']
COHU,$9.52,1439682041920,[u'54,839']
CLRX,$0.48,1439682041950,[u'30,833']
COLL,$16.76,1439682042073,[u'26,390']
CLCT,$19.76,1439682042108,[u'12,796']
CIGI,$47.34,1439682042207,[u'12,840']
CBAN,$9.18,1439682042227,[u'696']
CLCD,$8.07,1439682042300,[u'25,111']
COLB,$33.06,1439682042462,[u'244,214']
COLM,$65.52,1439682042484,[u'73,336']
CMCO,$22.05,1439682042631,[u'41,805']
CMCSK,$59.4284,1439682042642,[u'2,116,219']
CMCSA,$58.99,1439682042713,[u'9,046,286']
CBMX,$1.32,1439682042730,[u'9,080']
CBSH,$47.5595,1439682042750,[u'94,480']
CBSHP,$25.44,1439682042835,[u'12,520']
CUBN,$13.84,1439682042862,[u'8,599']
CVGI,$4.96,1439682042899,[u'77,971']
COMM,$31.6,1439682042997,[u'387,513']
CSAL,$23.0646,1439682043087,[u'482,140']
JCS,$9.8,1439682043153,[u'3,640']
CYHHZ,$0.012,1439682043334,[u'396,294']
CTBI,$35.13,1439682043397,[u'36,097']
CWBC,$6.76,1439682043437,[u'2,326']
CVLT,$37.51,1439682043488,[u'155,345']
ESXB,$5.12,1439682043506,[u'20,106']
COB,$10.9,1439682043536,[u'31,489']
CIZ,$35.22,1439682043553,[u'3,483']
CIL,NULL,1439682043563,[]
CID,NULL,1439682043642,[]
CDC,$36.72,1439682043843,[u'9,346']
CSF,$38.404,1439682043866,[u'3,987']
CSA,NULL,1439682043884,[]
CFO,$37.55,1439682043934,[u'14,685']
CFA,$37.4308,1439682044016,[u'625']
CSB,NULL,1439682044196,[]
CGEN,$5.78,1439682044216,[u'67,614']
CPSI,$46.19,1439682044254,[u'59,316']
SCOR,$63.99,1439682044282,[u'147,311']
CTG,$6.54,1439682044293,[u'14,602']
CDL,$35.5,1439682044318,[u'1,200']
CHCI,$0.5499,1439682044400,[u'6,412']
CMTL,$28.25,1439682044420,[u'21,410']
CNSI,$19.31,1439682044561,[u'38,416']
CNAT,$4.02,1439682044656,[u'94,837']
CXRX,$76.81,1439682044755,[u'3,328']
CNCE,$16.51,1439682044800,[u'261,188']
CCUR,$5.16,1439682044868,[u'11,624']
CDOR,$1.47,1439682044891,[u'4,104']
CDORO,$19.55,1439682044926,[u'955']
CFMS,$22.03,1439682044998,[u'107,758']
CDORP,$7.48,1439682045027,[u'4,900']
CNFR,$10.5,1439682045060,[u'73,332']
CNMD,$56.07,1439682045100,[u'75,211']
CNOB,$20.29,1439682045170,[u'21,914']
CNXR,$7.1,1439682045197,[u'15,900']
CTWS,$35.15,1439682045228,[u'16,970']
CONN,$35.36,1439682045304,[u'224,161']
CNSL,$20.6,1439682045367,[u'103,551']
CWCO,$11.97,1439682045520,[u'45,051']
CTCT,$24.67,1439682045541,[u'171,330']
CPSS,$5.5839,1439682045570,[u'41,993']
CFRX,$4.54,1439682045600,[u'34,379']
CFRXZ,$0.388,1439682045668,[u'5,198']
CFRXW,NULL,1439682045742,[]
CTRL,$8.59,1439682045792,[u'83,173']
CTRV,$4.4,1439682045812,[u'9,138']
CORT,$5.29,1439682045887,[u'117,705']
CPRT,$36.38,1439682045910,[u'123,592']
CRBP,$1.85,1439682046056,[u'51,601']
CORE,$64.92,1439682046112,[u'83,301']
BVA,$3.87,1439682046169,[u'2,924']
CORI,$11.57,1439682046184,[u'305,165']
CRVL,$33,1439682046286,[u'11,047']
CSOD,$38.79,1439682046306,[u'215,145']
COSI,$1.32,1439682046399,[u'146,237']
CSGP,$195.58,1439682046462,[u'58,789']
CPAH,$0.45,1439682046564,[u'3,990']
COST,$146.09,1439682046588,[u'812,356']
ICBK,$18.8,1439682046673,[u'5']
CVTI,$25.72,1439682046711,[u'86,095']
COVS,$3,1439682046731,[u'81,990']
COWN,$5.69,1439682046754,[u'810,359']
COWNL,$27.35,1439682046889,[u'1,700']
CPSH,$2.42,1439682046927,[u'1,072']
CRAI,$23.07,1439682047028,[u'17,184']
CBRL,$151.13,1439682047118,[u'193,977']
BREW,$8.29,1439682047139,[u'29,057']
CRAY,$23.42,1439682047296,[u'101,120']
CACC,$208.7,1439682047341,[u'73,625']
GLDI,$10.94,1439682047389,[u'1,486']
CREE,$27,1439682047449,[u'736,542']
CRESY,$11.64,1439682047496,[u'34,022']
SLVO,$10.52,1439682047580,[u'2,025']
CROX,$15.03,1439682047703,[u'695,076']
CCRN,$14.11,1439682047751,[u'104,581']
CRTO,$46.1135,1439682047831,[u'151,489']
CRDS,$1.13,1439682047849,[u'9,494']
CRWN,$4.79,1439682047876,[u'122,136']
CRWS,$8.12,1439682047913,[u'12,956']
CYRX,$3.01,1439682047931,[u'34,312']
CYRXW,$0.75,1439682048081,[u'3,200']
CSGS,$31.91,1439682048132,[u'62,662']
CSPI,$6.25,1439682048255,[u'2,426']
CCLP,$15.11,1439682048282,[u'41,482']
CTIC,$1.78,1439682048293,[u'675,461']
CTCM,$1.81,1439682048321,[u'421,922']
CTIB,$3.56,1439682048399,[u'142']
CTRP,$71.58,1439682048668,[u'647,995']
CUNB,$22.57,1439682048706,[u'15,094']
CPIX,$5.88,1439682048747,[u'3,244']
CUI,$5.53,1439682048759,[u'27,959']
CMLS,$1.33,1439682048791,[u'351,192']
CRIS,$2.81,1439682048801,[u'409,127']
CUTR,$15.06,1439682048831,[u'25,137']
CVBF,$17.49,1439682048968,[u'216,059']
CYBR,$58.613,1439682049150,[u'1,090,998']
CVV,$11.9,1439682049176,[u'17,365']
CYAN,$7.71,1439682049199,[u'1,820']
CYBE,$5.67,1439682049218,[u'12,559']
CYBX,$59.23,1439682049239,[u'95,419']
CYCC,$0.6,1439682049293,[u'62,551']
CYCCP,$5.9999,1439682049360,[u'400']
CBAY,$2.63,1439682049438,[u'74,945']
CYNA,$15.08,1439682049490,[u'32,912']
CYNO,$34.48,1439682049519,[u'107,143']
CY,$10.2,1439682049594,[u'4,925,613']
CYTK,$6.45,1439682049646,[u'117,593']
CONE,$34.6169,1439682049681,[u'440,802']
CYRN,$1.68,1439682049692,[u'85,044']
CYTX,$0.4041,1439682049726,[u'484,773']
CTSO,$6.86,1439682049985,[u'218,347']
CYTR,$2.35,1439682050005,[u'393,916']
TVIZ,$12.7,1439682050062,[u'799']
ZIV,$50.24,1439682050082,[u'24,669']
TVIX,$5.66,1439682050140,[u'2,539,657']
DJCO,$209.79,1439682050212,[u'388']
XIV,$47.853,1439682050237,[u'4,574,986']
DAKT,$12.09,1439682050302,[u'119,351']
DAEG,$0.36,1439682050339,[u'121,546']
DARA,$0.86,1439682050440,[u'89,811']
DTLK,$6.21,1439682050517,[u'56,595']
DWCH,$5.32,1439682050587,[u'33,560']
DAIO,$2.61,1439682050606,[u'6,016']
DRAM,$1.5,1439682050625,[u'3,374']
PLAY,$36.99,1439682050736,[u'95,663']
DTEA,$12.86,1439682050761,[u'100,839']
DWSN,$5.26,1439682050883,[u'128,866']
DBVT,$40.24,1439682050954,[u'62,448']
DHRM,$1.7101,1439682051008,[u'300']
DFRG,$15.43,1439682051027,[u'102,102']
TACO,$14.13,1439682051059,[u'145,091']
TRAK,$62.17,1439682051144,[u'171,284']
TACOW,$4.84,1439682051166,[u'6,997']
DGAS,$20.29,1439682051350,[u'1,081']
DCTH,$0.506,1439682051369,[u'93,303']
DELT,$2.27,1439682051473,[u'1,400']
DELTW,NULL,1439682051489,[]
DENN,$12.45,1439682051508,[u'229,084']
XRAY,$56.79,1439682051570,[u'360,722']
DSCI,$6.48,1439682051632,[u'34,546']
DEPO,$31.5,1439682051758,[u'450,314']
DERM,$24.35,1439682051781,[u'290,496']
DEST,$11.9,1439682051878,[u'37,464']
DXLG,$4.8,1439682051903,[u'32,163']
DSWL,$1.8,1439682051943,[u'200']
DXCM,$99.88,1439682051962,[u'425,358']
DXM,$0.3104,1439682052014,[u'22,833']
DHXM,NULL,1439682052119,[]
DMND,$32.05,1439682052242,[u'66,566']
DHIL,$191.83,1439682052270,[u'2,202']
FANG,$73.9,1439682052310,[u'806,182']
DCIX,$1.91,1439682052475,[u'25,108']
DGII,$10.03,1439682052495,[u'54,981']
DRNA,$10.9,1439682052607,[u'83,375']
DRAD,$4.03,1439682052623,[u'10,843']
DGLY,$7.9,1439682052672,[u'65,368']
APPS,$2.36,1439682052692,[u'115,256']
DMRC,$37.6,1439682052719,[u'26,231']
DCOM,$17.25,1439682052743,[u'55,077']
DIOD,$20.25,1439682052942,[u'69,966']
DPRX,$14.12,1439682052974,[u'32,366']
DISCA,$28.31,1439682053043,[u'1,225,213']
DISCK,$27.12,1439682053108,[u'475,636']
DISCB,NULL,1439682053150,[]
DSCO,$0.48,1439682053229,[u'94,291']
DLHC,$2.5,1439682053315,[u'1,408']
DISH,$66.31,1439682053341,[u'318,377']
DNBF,$26.58,1439682053389,[u'901']
DLTR,$77.78,1439682053452,[u'906,641']
DVCR,$11.91,1439682053489,[u'1,034']
BAGR,$2.85,1439682053518,[u'12,164']
DGICB,NULL,1439682053547,[]
DGICA,$14.4,1439682053589,[u'26,119']
DORM,$52.57,1439682053696,[u'115,775']
DMLP,$14.92,1439682053721,[u'25,551']
HILL,$5.43,1439682053892,[u'217,772']
DRWI,$0.29,1439682053918,[u'91,105']
DRWIW,$0.059,1439682053971,[u'1,176']
DRYS,$0.3785,1439682054059,[u'1,950,899']
DSPG,$9.12,1439682054097,[u'174,369']
DSKX,$3.71,1439682054139,[u'184,236']
DWA,$19.54,1439682054178,[u'378,295']
CADT,NULL,1439682054209,[]
CADTU,NULL,1439682054254,[]
CADTR,NULL,1439682054274,[]
CADTW,NULL,1439682054328,[]
DTSI,$27.02,1439682054391,[u'62,117']
DRRX,$2.16,1439682054493,[u'188,067']
DNKN,$52.43,1439682054638,[u'294,738']
DYAX,$22.33,1439682054680,[u'532,466']
DXPE,$30,1439682054699,[u'115,466']
DYSL,NULL,1439682054769,[]
BOOM,$10.15,1439682054820,[u'23,624']
DVAX,$29.31,1439682054842,[u'182,230']
DYNT,$3.05,1439682054862,[u'14,702']
ETFC,$28.5357,1439682054952,[u'801,059']
EGBN,$44.5,1439682055044,[u'100,761']
EGRX,$66.8,1439682055078,[u'540,439']
EBMT,$11.63,1439682055101,[u'4,832']
EGLE,$8,1439682055126,[u'23,643']
EROC,$1.52,1439682055171,[u'371,604']
ELNK,$9.26,1439682055255,[u'559,987']
EWBC,$45.149,1439682055385,[u'523,967']
EACQU,$10.03,1439682055413,[u'3,923']
EML,$17.29,1439682055463,[u'2,762']
EBAY,$28.28,1439682055486,[u'4,099,330']
EVBS,$6.43,1439682055521,[u'3,597']
EBIX,$30.86,1439682055568,[u'213,354']
ECHO,$25.21,1439682055658,[u'185,482']
ECTE,$1.51,1439682055736,[u'20,042']
ELON,$0.54,1439682055807,[u'53,529']
EEI,$11.3,1439682055862,[u'611']
SATS,$46.0773,1439682055882,[u'53,543']
ECACU,$10.03,1439682055940,[u'13,800']
ESES,$3.49,1439682055952,[u'7,993']
EDAP,$3.7,1439682055980,[u'14,717']
EDUC,$4.91,1439682056204,[u'450']
EFUT,$4.61,1439682056278,[u'1,315']
EDGW,$7.17,1439682056289,[u'2,580']
EGAN,$3.55,1439682056327,[u'16,571']
EGLT,$12.58,1439682056379,[u'31,175']
LOCO,$14.64,1439682056439,[u'5,588,616']
EHTH,$15.08,1439682056481,[u'65,255']
ELRC,$10.49,1439682056629,[u'22,286']
EMITF,$1.29,1439682056683,[u'46,303']
ERI,$8.9381,1439682056719,[u'143,521']
ESIO,$4.72,1439682056738,[u'39,298']
EFII,$45.7,1439682056832,[u'134,474']
ESLT,$83.26,1439682056852,[u'3,131']
EA,$73.14,1439682056898,[u'1,341,794']
ELSE,$3.88,1439682057024,[u'4,891']
ELEC,NULL,1439682057096,[]
EBIO,$4.71,1439682057255,[u'1,929,066']
ELECU,NULL,1439682057280,[]
ELECW,NULL,1439682057300,[]
RDEN,$10.34,1439682057316,[u'110,192']
CAPX,$23.96,1439682057397,[u'800']
ESBK,$19.97,1439682057433,[u'12']
ELTK,$1.14,1439682057575,[u'24,034']
LONG,$17.08,1439682057612,[u'3,212']
EMCF,$23.68,1439682057663,[u'210']
EMCI,$24.79,1439682057679,[u'20,067']
EMKR,$7.22,1439682057703,[u'292,043']
EMMS,$1.24,1439682057728,[u'17,905']
EMMSP,NULL,1439682057746,[]
NYNY,$4.51,1439682057848,[u'43,787']
ENTA,$40.29,1439682058049,[u'101,077']
ECPG,$40.31,1439682058120,[u'152,054']
ERS,$3.1,1439682058141,[u'65,064']
ECYT,$5.42,1439682058174,[u'138,959']
ELGX,$13.35,1439682058270,[u'411,751']
WIRE,$33.61,1439682058290,[u'51,560']
EIGI,$16.42,1439682058309,[u'207,454']
ENDP,$84.84,1439682058350,[u'1,329,136']
WATT,$7.05,1439682058443,[u'105,240']
EFOI,$18.82,1439682058464,[u'832,264']
ERII,$2.86,1439682058564,[u'44,357']
EXXI,$1.73,1439682058617,[u'517,132']
ENOC,$9.01,1439682058649,[u'213,279']
ENPH,$5.5,1439682058673,[u'294,120']
ENG,$1.14,1439682058695,[u'3,082']
ESGR,$161.16,1439682058864,[u'17,997']
ENTG,$14.45,1439682059009,[u'376,369']
ETRM,$0.25,1439682059063,[u'651,477']
ENTL,$22.41,1439682059081,[u'70,292']
ENFC,$18.39,1439682059101,[u'6,278']
EFSC,$24.81,1439682059140,[u'19,694']
ENVI,$1.82,1439682059187,[u'26,146']
EBTC,$21.22,1439682059335,[u'4,191']
EGT,$2.23,1439682059355,[u'2,709']
ENZN,$1.13,1439682059376,[u'890,164']
EPRS,$5.14,1439682059471,[u'90,026']
EPIQ,$14.12,1439682059494,[u'62,342']
EPZM,$17.34,1439682059517,[u'188,948']
PLUS,$74.04,1439682059612,[u'44,902']
EQIX,$284.4569,1439682059690,[u'510,554']
EQFN,$8.34,1439682059796,[u'300']
ERIC,$10.3741,1439682059912,[u'983,601']
ESCA,$18.49,1439682059961,[u'8,160']
ESCR,$0.23,1439682060011,[u'2,414']
ESCRP,$1.65,1439682060034,[u'8,530']
ESMC,$1.38,1439682060062,[u'8,018']
ESPR,$66.5,1439682060073,[u'209,376']
ERIE,$86.8074,1439682060100,[u'30,666']
ESSA,$12.86,1439682060119,[u'1,300']
EPIX,$7.15,1439682060372,[u'2,670']
ESND,$36.16,1439682060398,[u'85,475']
ESSX,$0.4701,1439682060409,[u'43,950']
CLWT,$2.6,1439682060515,[u'1,200']
ETSY,$17.08,1439682060598,[u'666,621']
EEFT,$68.74,1439682060637,[u'144,293']
EVEP,$9.21,1439682060657,[u'397,964']
ESEA,$6.46,1439682060684,[u'10,323']
EVK,$3.96,1439682060744,[u'11']
EVLV,$2.23,1439682060767,[u'69,085']
EVOK,$4.65,1439682060788,[u'45,627']
EXA,$10.68,1439682060881,[u'9,087']
EVOL,$6.35,1439682060952,[u'3,389']
EXAS,$22.94,1439682061000,[u'349,131']
EXEL,$5.817,1439682061074,[u'2,099,714']
EXAC,$18.29,1439682061095,[u'82,298']
EXFO,$2.91,1439682061271,[u'5,288']
EXPE,$121.71,1439682061386,[u'503,732']
ESRX,$88.26,1439682061407,[u'3,060,353']
EXPO,$43.78,1439682061442,[u'45,109']
EXPD,$49.28,1439682061463,[u'615,404']
EXLS,$37.13,1439682061495,[u'97,551']
EXLP,$20.99,1439682061515,[u'60,574']
EYEG,$3.99,1439682061559,[u'26,799']
EXTR,$2.93,1439682061609,[u'414,766']
EYEGW,NULL,1439682061804,[]
EZPW,$6.12,1439682061825,[u'192,066']
EZCH,$20.66,1439682061859,[u'151,611']
FFIV,$132.61,1439682061966,[u'307,911']
FB,$94.5,1439682062023,[u'9,771,618']
FCS,$14.44,1439682062088,[u'276,113']
FRP,$17.47,1439682062185,[u'58,600']
FALC,$1.68,1439682062206,[u'42,047']
FARM,$23.86,1439682062249,[u'18,782']
FWM,$2.25,1439682062280,[u'132,585']
DAVE,$14.94,1439682062312,[u'11,148']
FMNB,$8.2,1439682062494,[u'8,804']
FFKT,$26.69,1439682062541,[u'10,401']
FARO,$42.16,1439682062572,[u'53,935']
FAST,$40.21,1439682062692,[u'703,087']
FATE,$7.46,1439682062749,[u'27,707']
FBSS,$15.82,1439682062804,[u'34']
FBRC,$23.13,1439682062921,[u'9,387']
FDML,$9.8,1439682062976,[u'115,988']
FEIC,$81.65,1439682063018,[u'228,806']
FNHC,$24.34,1439682063045,[u'27,647']
FENX,$9.83,1439682063080,[u'45,917']
FHCO,$1.52,1439682063106,[u'19,982']
FGEN,$25.9,1439682063129,[u'927,214']
FCSC,$6.57,1439682063199,[u'149,188']
LION,$20.37,1439682063350,[u'252,799']
ONEQ,$198.49,1439682063372,[u'15,244']
FDUS,$14.59,1439682063431,[u'40,675']
FRGI,$54.98,1439682063500,[u'95,802']
FSAM,$8.75,1439682063549,[u'11,831']
FSC,$6.5499,1439682063672,[u'452,822']
FSCFL,NULL,1439682063683,[]
FSFR,$9.13,1439682063707,[u'83,639']
FITBI,$27.83,1439682063784,[u'3,626']
FISI,$24.39,1439682063805,[u'11,112']
FNSR,$17.26,1439682063908,[u'658,501']
FITB,$21.1142,1439682063919,[u'3,776,569']
FNGN,$36.18,1439682063930,[u'333,093']
FNJN,$1.81,1439682064025,[u'40,023']
FNTC,NULL,1439682064065,[]
FNTCU,NULL,1439682064265,[]
FNTCW,NULL,1439682064323,[]
FBNC,$17.18,1439682064435,[u'14,007']
BUSE,$6.44,1439682064456,[u'39,535']
FEYE,$43,1439682064506,[u'1,390,964']
FRBA,$6.02,1439682064525,[u'1,300']
FCVA,$4.71,1439682064574,[u'1,090']
FBIZ,$43.95,1439682064613,[u'8,944']
FNLC,$18.84,1439682064631,[u'9,493']
FCAP,$26.7,1439682064745,[u'763']
FCNCA,$252.9,1439682064825,[u'17,265']
FCLF,$9.19,1439682064857,[u'252']
FCBC,$18.1,1439682064892,[u'11,453']
FCCO,$12.14,1439682064908,[u'788']
FCFS,$38.37,1439682064953,[u'56,943']
FCFP,$6.8,1439682064997,[u'2,600']
FBNK,$16.27,1439682065251,[u'12,340']
FDEF,$37.12,1439682065270,[u'16,041']
FFNM,$6.33,1439682065312,[u'212']
FFBC,$19.26,1439682065328,[u'67,929']
THFF,$33.49,1439682065370,[u'171,589']
FFBCW,NULL,1439682065404,[]
FFNW,$12.5,1439682065467,[u'12,446']
FFIN,$32.79,1439682065548,[u'106,041']
FFWM,$21.4,1439682065593,[u'9,501']
INBK,$35.38,1439682065726,[u'4,601']
FIBK,$28.13,1439682065738,[u'50,346']
FMBH,$21.7701,1439682065761,[u'400']
FRME,$26.23,1439682065818,[u'52,974']
FMBI,$18.49,1439682065885,[u'119,055']
FNWB,$12.31,1439682066068,[u'2,879']
FSFG,$30.27,1439682066123,[u'112']
FNBC,$36.64,1439682066167,[u'88,959']
FSGI,$2.5,1439682066190,[u'6,390']
FNFG,$9.7219,1439682066251,[u'833,198']
FSLR,$51.51,1439682066283,[u'687,562']
FSBK,$7.89,1439682066373,[u'4,687']
FBZ,$10.88,1439682066451,[u'100']
FCAN,$25.82,1439682066584,[u'2,227']
BICK,NULL,1439682066632,[]
FV,$24.66,1439682066669,[u'827,913']
FTCS,$38.71,1439682066708,[u'8,644']
FCA,$23.1001,1439682066740,[u'370']
IFV,$18.98,1439682066833,[u'211,987']
FEMB,NULL,1439682066888,[]
FTSM,$59.91,1439682066919,[u'19,221']
FEUZ,$32.65,1439682067029,[u'450']
TDIV,$26.02,1439682067103,[u'44,692']
MDIV,$19.84,1439682067145,[u'126,750']
FGM,$37.8,1439682067162,[u'5,656']
FTHI,$21.21,1439682067405,[u'2,369']
FHK,$36.46,1439682067425,[u'5,732']
HYLS,$49.79,1439682067446,[u'26,504']
FTGC,$22.92,1439682067466,[u'84,693']
FPXI,$29.11,1439682067517,[u'1,244']
SKYY,$30.5,1439682067565,[u'14,146']
YDIV,$17.4,1439682067581,[u'390']
CU,$13.49,1439682067704,[u'646']
PLTM,NULL,1439682067753,[]
FJP,$50.42,1439682067795,[u'30,073']
FTLB,NULL,1439682067878,[]
FMB,NULL,1439682068031,[]
CIBR,$19.55,1439682068084,[u'50,198']
LMBS,NULL,1439682068104,[]
QABA,$39.36,1439682068125,[u'3,580']
GRID,NULL,1439682068153,[]
FONE,$36.86,1439682068174,[u'300']
QCLN,$16.04,1439682068193,[u'18,493']
CARZ,$37.03,1439682068291,[u'3,534']
RDVY,$22.4571,1439682068406,[u'3,099']
QQEW,$44.1,1439682068427,[u'13,303']
QQXT,$42.59,1439682068508,[u'21,860']
QTEC,$42.25,1439682068529,[u'22,929']
AIRR,$17.07,1439682068684,[u'51,393']
QINC,$21.49,1439682068728,[u'75,158']
FTSL,$49.04,1439682068754,[u'48,267']
FDIV,$47.35,1439682068770,[u'335']
FKO,NULL,1439682068798,[]
FTW,$32.574,1439682068832,[u'1,432']
TUSA,$26.209,1439682068875,[u'300']
FSZ,$40.72,1439682068899,[u'8,594']
FKU,$44.18,1439682069040,[u'4,467']
FUNC,$8.4,1439682069068,[u'556']
FMER,$18.76,1439682069145,[u'755,503']
SVVC,$10.82,1439682069238,[u'19,598']
FSV,$32.5,1439682069291,[u'10,747']
FISV,$89.58,1439682069407,[u'439,590']
FPRX,$18.79,1439682069432,[u'223,946']
FIVN,$4.46,1439682069449,[u'104,048']
FIVE,$38.41,1439682069476,[u'457,240']
FLML,$21.3267,1439682069497,[u'101,223']
FLKS,$14.32,1439682069519,[u'37,536']
SKOR,NULL,1439682069641,[]
FLXN,$23.1,1439682069676,[u'70,755']
FLEX,$11.0865,1439682069793,[u'2,141,447']
MBSD,NULL,1439682069813,[]
FLXS,$40.54,1439682069878,[u'11,848']
FLDM,$12.89,1439682070002,[u'390,736']
FLIR,$30.54,1439682070024,[u'278,824']
FFIC,$20.88,1439682070070,[u'65,081']
FOGO,$19.6175,1439682070093,[u'142,486']
FOMX,$9.79,1439682070115,[u'55,260']
FES,$1.06,1439682070169,[u'4,048']
FONR,$9.68,1439682070215,[u'5,700']
FORM,$6.66,1439682070275,[u'162,468']
FORTY,$34,1439682070377,[u'400']
FORR,$32.43,1439682070406,[u'27,600']
FTNT,$46.4459,1439682070428,[u'607,785']
FBIO,$3.08,1439682070481,[u'58,911']
FWRD,$49.08,1439682070538,[u'98,880']
FORD,$1.34,1439682070708,[u'3,138,874']
FOSL,$61.4026,1439682070737,[u'746,137']
FWP,$25.84,1439682070770,[u'110,674']
FMI,$20.13,1439682070795,[u'169,488']
FXCB,$17.38,1439682070829,[u'8,423']
FOXF,$15.88,1439682070874,[u'39,343']
FELE,$30.34,1439682070915,[u'126,492']
FRAN,$11.36,1439682070976,[u'347,919']
RAIL,$22.53,1439682071140,[u'98,929']
FRED,$14.51,1439682071161,[u'97,499']
FEIM,$10.68,1439682071209,[u'2,278']
FREE,$0.49,1439682071229,[u'488,100']
FTR,$5.45,1439682071278,[u'9,480,709']
FRPT,$14.61,1439682071301,[u'282,342']
FTRPR,$107.75,1439682071369,[u'3,598']
FRPH,$31.35,1439682071478,[u'6,999']
FTD,$30.04,1439682071561,[u'66,983']
FSYS,$6.82,1439682071585,[u'31,304']
FULL,$3.24,1439682071627,[u'52,034']
FSBW,$23.72,1439682071653,[u'1,200']
FTEK,$2.33,1439682071681,[u'15,429']
FCEL,$0.82,1439682071694,[u'504,567']
FLL,$1.55,1439682071922,[u'27,340']
FULLL,NULL,1439682071940,[]
FULT,$13.09,1439682071970,[u'459,622']
FSNN,$2.69,1439682072003,[u'658']
FFHL,NULL,1439682072159,[]
FXEN,$0.99,1439682072196,[u'48,256']
FXENP,$15.84,1439682072231,[u'400']
GK,$71.79,1439682072310,[u'46,241']
GAIA,$6.2,1439682072338,[u'23,442']
GALT,$2.38,1439682072413,[u'160,338']
WILC,NULL,1439682072440,[]
GLPG,$60.86,1439682072457,[u'12,247']
GALTU,NULL,1439682072516,[]
GALE,$1.42,1439682072559,[u'917,044']
GALTW,$0.7729,1439682072584,[u'2,000']
GLMD,$9.18,1439682072819,[u'8,734']
GLPI,$33.1866,1439682072901,[u'182,255']
GPIC,$10.89,1439682072913,[u'200']
GGAC,NULL,1439682072943,[]
GRMN,$39.9,1439682072964,[u'440,580']
GGACU,$10.04,1439682072989,[u'1,198']
GGACR,NULL,1439682073030,[]
GGACW,NULL,1439682073133,[]
GENC,$9.54,1439682073264,[u'22']
GNCMA,$17.92,1439682073301,[u'49,347']
GFNCP,$92.98,1439682073338,[u'1,987']
GFN,$4.1,1439682073412,[u'16,924']
GARS,$14.8,1439682073430,[u'13,068']
GENE,$2.66,1439682073471,[u'114,278']
GFNSL,$26,1439682073483,[u'1,854']
GNMK,$9.2,1439682073707,[u'131,296']
