TFSC,NULL,1439682002766,[]
AMBA,$108.62,1439682010798,[u'850,438']
AMBCW,$8.26,1439682010863,[u'2,275']
AMCX,$74.87,1439682010888,[u'298,626']
EPAX,$2.41,1439682010900,[u'319,443']
AMDA,$0.51,1439682010924,[u'1,545,260']
DOX,$60.03,1439682011065,[u'461,039']
AMED,$45.38,1439682011101,[u'117,758']
UHAL,$384.51,1439682011171,[u'18,282']
ASBI,$22.88,1439682011305,[u'851']
ATAX,$5.35,1439682011428,[u'56,831']
AGNC,$19.95,1439682011495,[u'1,320,962']
AMOV,$18.68,1439682011527,[u'2,426']
AGNCB,$24.2,1439682011564,[u'4,281']
AAL,$42.94,1439682011583,[u'2,788,427']
ACAS,$14.23,1439682011723,[u'595,829']
MTGEP,NULL,1439682011755,[]
ACSF,$12.8,1439682011775,[u'27,575']
AGNCP,$25.28,1439682011824,[u'2,679']
MTGE,$15.82,1439682011870,[u'166,745']
AETI,$4.05,1439682011904,[u'1,241']
ANCI,$1.69,1439682011954,[u'1,232']
AMIC,$10.26,1439682012044,[u'3']
AMNB,$23.23,1439682012060,[u'8,672']
ANAT,$104.931,1439682012224,[u'15,994']
APEI,$22.03,1439682012321,[u'36,788']
AMRB,$10.1,1439682012393,[u'5,564']
ASEI,$39.89,1439682012428,[u'32,018']
ARII,$40.52,1439682012452,[u'156,983']
AMSWA,$9.31,1439682012472,[u'28,210']
AMSC,$4.11,1439682012563,[u'25,769']
AMWD,$65.3878,1439682012602,[u'87,312']
CRMT,$46.35,1439682012682,[u'13,664']
ABCB,$28.058,1439682012736,[u'122,269']
ASRVP,NULL,1439682012790,[]
AMSF,$50.37,1439682012825,[u'30,540']
ASRV,$3.3,1439682012855,[u'2,858']
ATLO,$23.46,1439682012877,[u'3,702']
AMGN,$167.72,1439682013019,[u'1,715,864']
FOLD,$15.97,1439682013099,[u'824,112']
AMPH,$14.64,1439682013156,[u'158,759']
AMKR,$4.45,1439682013215,[u'785,910']
AMSG,$84.8,1439682013270,[u'199,521']
AFSI,$62.9255,1439682013297,[u'254,270']
ASYS,$5.83,1439682013323,[u'54,662']
AMSGP,NULL,1439682013347,[]
AMRS,$1.68,1439682013444,[u'87,693']
ANAC,$136.22,1439682013468,[u'395,676']
ANAD,$0.3061,1439682013503,[u'553,257']
ADI,$58.84,1439682013578,[u'871,498']
ALOG,$78.8,1439682013636,[u'69,157']
ANCB,$22.95,1439682013655,[u'830']
ABCW,$41.532,1439682013685,[u'13,741']
AMCF,$0.3,1439682013774,[u'36,055']
ANGO,$14.88,1439682013914,[u'59,404']
ANGI,$4.4,1439682013933,[u'217,296']
ANIP,$54.76,1439682013989,[u'152,414']
ANSS,$94.26,1439682014031,[u'265,800']
ANIK,$35.96,1439682014048,[u'57,914']
ANTH,$9.22,1439682014091,[u'581,423']
ATRS,$1.89,1439682014131,[u'387,131']
ABAC,$0.92,1439682014231,[u'4,540']
APIC,$8.14,1439682014303,[u'120,354']
ATNY,$2.41,1439682014330,[u'1,519']
APOG,$54.27,1439682014371,[u'230,022']
APOL,$11.77,1439682014393,[u'591,187']
