AMZN,$531.8,1439682311270,[u'1,034,705']
AMBCW,$8.26,1439682311280,[u'2,275']
AMBA,$108.62,1439682311354,[u'850,438']
AMCX,$74.87,1439682311540,[u'298,626']
DOX,$60.03,1439682311559,[u'461,039']
AMDA,$0.51,1439682311605,[u'1,545,260']
UHAL,$384.51,1439682311624,[u'18,282']
AMOV,$18.68,1439682311703,[u'2,426']
AMED,$45.38,1439682311722,[u'117,758']
ASBI,$22.88,1439682311732,[u'851']
ATAX,$5.35,1439682311760,[u'56,831']
AAL,$42.94,1439682311889,[u'2,788,427']
AGNC,$19.95,1439682312117,[u'1,320,962']
AGNCB,$24.2,1439682312136,[u'4,281']
MTGE,$15.82,1439682312156,[u'166,745']
AGNCP,$25.28,1439682312171,[u'2,679']
MTGEP,NULL,1439682312255,[]
ACSF,$12.8,1439682312326,[u'27,575']
ANCI,$1.69,1439682312345,[u'1,232']
ACAS,$14.23,1439682312393,[u'595,829']
AETI,$4.05,1439682312441,[u'1,241']
AMNB,$23.23,1439682312477,[u'8,672']
ANAT,$104.931,1439682312551,[u'15,994']
AMIC,$10.26,1439682312618,[u'3']
AMRB,$10.1,1439682312747,[u'5,564']
APEI,$22.03,1439682312800,[u'36,788']
ARII,$40.52,1439682312851,[u'156,983']
ASEI,$39.89,1439682312923,[u'32,018']
AMSC,$4.11,1439682313053,[u'25,769']
AMSWA,$9.31,1439682313075,[u'28,210']
AMWD,$65.3878,1439682313101,[u'87,312']
CRMT,$46.35,1439682313151,[u'13,664']
ABCB,$28.058,1439682313166,[u'122,269']
ASRV,$3.3,1439682313202,[u'2,858']
ASRVP,NULL,1439682313290,[]
ATLO,$23.46,1439682313396,[u'3,702']
AMSF,$50.37,1439682313416,[u'30,540']
AMGN,$167.72,1439682313449,[u'1,715,864']
FOLD,$15.97,1439682313503,[u'824,112']
AMKR,$4.45,1439682313553,[u'785,910']
AMSGP,NULL,1439682313822,[]
AFSI,$62.9255,1439682313841,[u'254,270']
AMPH,$14.64,1439682313860,[u'158,759']
AMRS,$1.68,1439682313878,[u'87,693']
ASYS,$5.83,1439682313892,[u'54,662']
AMSG,$84.8,1439682313912,[u'199,521']
ANAD,$0.3061,1439682313962,[u'553,257']
ANAC,$136.22,1439682313982,[u'395,676']
ADI,$58.84,1439682314218,[u'871,498']
ANCB,$22.95,1439682314278,[u'830']
ABCW,$41.532,1439682314299,[u'13,741']
ALOG,$78.8,1439682314317,[u'69,157']
ANGI,$4.4,1439682314519,[u'217,296']
ANGO,$14.88,1439682314552,[u'59,404']
AMCF,$0.3,1439682314596,[u'36,055']
ANIK,$35.96,1439682314675,[u'57,914']
ATRS,$1.89,1439682314695,[u'387,131']
ANSS,$94.26,1439682314719,[u'265,800']
