Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
TFSCR,NULL,1441052402741,0,Not yet rated,NULL,N/A
TFSCU,$10.21,1441052402818,"1,300",Not yet rated,NULL,N/A
SRCE,$29.95,1441052402856,"12,393",100% bullish,of 3 ratings,$33
FCCY,$11.65,1441052402882,591,100% bullish,of 1 rating,$13
TFSCW,$0.23,1441052402918,932,100% bearish,of 1 rating,N/A
FCTY,$7.8605,1441052402943,"2,843",100% bullish,of 1 rating,$8.50
TFSC,$9.7401,1441052402968,539,100% bearish,of 1 rating,N/A
PIH,$7.7099,1441052402989,"9,000",100% bearish,of 1 rating,N/A
FLWS,$8.385,1441052403163,"483,796",80% bullish,of 5 ratings,$15
TWOU,$35.01,1441052403217,"149,499",50% bullish,of 2 ratings,$39
UGLD,$9.248,1441052403349,"171,931",100% bearish,of 1 rating,N/A
JOBS,$26.97,1441052403385,"86,049",50% bullish,of 4 ratings,$36
VNET,$17.89,1441052403411,"274,307",60% bullish,of 5 ratings,$35
DSLV,$69.1132,1441052403436,"6,900",100% bearish,of 1 rating,N/A
DGLD,$80.7101,1441052403460,"9,481",100% bullish,of 1 rating,N/A
USLV,$12.56,1441052403491,"218,690",86% bullish,of 7 ratings,N/A
CAFD,$14.92,1441052403860,"114,300",Not yet rated,NULL,$25
EGHT,$7.71,1441052403889,"225,437",82% bullish,of 17 ratings,$11
AVHI,$14.27,1441052403915,"23,003",100% bearish,of 1 rating,$19
SIXD,$2.39,1441052403992,"76,170",Not yet rated,NULL,N/A
SHLM,$34.25,1441052404067,"32,789",100% bearish,of 1 rating,$47
ABY,$22.78,1441052404263,"404,305",100% bearish,of 2 ratings,$46
ABAX,$47.01,1441052404320,"64,915",100% bearish,of 1 rating,$60
ABGB,$5.82,1441052404359,"28,139",67% bullish,of 3 ratings,$5.50
ABEOW,$1.8,1441052404386,"2,875",100% bullish,of 1 rating,N/A
AAON,$20.68,1441052404419,"48,745",100% bearish,of 1 rating,$24
ABMD,$96.16,1441052404440,"195,169",75% bullish,of 4 ratings,$100.50
AXAS,$1.96,1441052404530,"708,397",78% bullish,of 9 ratings,$3.50
ACTG,$9.52,1441052404566,"104,531",67% bullish,of 3 ratings,$18.50
ABEO,$4.69,1441052404721,"63,431",50% bullish,of 4 ratings,$15.50
ACHC,$73.026,1441052404819,"353,893",50% bullish,of 2 ratings,$92
ACAD,$36.95,1441052404844,"398,879",80% bullish,of 20 ratings,$48
XLRN,$29.03,1441052405116,"55,797",50% bullish,of 2 ratings,$57
ACST,$0.355,1441052405140,"28,022",100% bullish,of 2 ratings,N/A
ARAY,$6.91,1441052405200,"796,116",100% bearish,of 1 rating,$10.50
AXDX,$19.64,1441052405227,"100,326",100% bearish,of 1 rating,N/A
ANCX,$20.46,1441052405288,"18,471",Not yet rated,NULL,$20
ACRX,$4.3,1441052405379,"178,365",67% bearish,of 6 ratings,$5.50
ACET,$22.43,1441052405443,"28,418",75% bullish,of 4 ratings,$30
AKAO,$6.9,1441052405470,"23,046",75% bullish,of 4 ratings,$15
VXDN,$1.96,1441052405601,"32,910",100% bearish,of 1 rating,N/A
