Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
TFSC,NULL,1440170102251,0,100% bearish,of 1 rating,N/A
PIH,$7.1161,1440170102307,"10,600",100% bearish,of 1 rating,N/A
TFSCR,NULL,1440170102337,0,Not yet rated,NULL,N/A
FCTY,NULL,1440170102365,0,100% bullish,of 1 rating,$8.50
FCCY,NULL,1440170102390,0,100% bullish,of 1 rating,$13
FLWS,$9.43,1440170102444,"58,117",100% bullish,of 5 ratings,$15
SRCE,$29.73,1440170102601,"23,741",100% bullish,of 3 ratings,$33
TFSCU,NULL,1440170102655,0,Not yet rated,NULL,N/A
VNET,$19.74,1440170102688,"136,404",60% bullish,of 5 ratings,$29.50
TFSCW,NULL,1440170102732,0,100% bearish,of 1 rating,N/A
DGLD,$77.2834,1440170102763,"6,344",100% bullish,of 1 rating,N/A
TWOU,$33.945,1440170102796,"247,855",50% bullish,of 2 ratings,$39
USLV,$14.66,1440170102866,"113,720",86% bullish,of 7 ratings,N/A
DSLV,$61.12,1440170103080,"2,748",100% bearish,of 1 rating,N/A
UGLD,$9.8836,1440170103106,"148,733",100% bearish,of 1 rating,N/A
JOBS,$25.69,1440170103143,"67,328",50% bullish,of 4 ratings,$36
SIXD,$1.5,1440170103304,"170,351",Not yet rated,NULL,N/A
EGHT,$8.09,1440170103354,"151,394",82% bullish,of 17 ratings,$11
CAFD,$15.17,1440170103398,"166,857",Not yet rated,NULL,$25
AVHI,$13.97,1440170103436,"21,723",100% bearish,of 1 rating,$19
AAON,$21.7496,1440170103531,"71,411",100% bearish,of 1 rating,$24
SHLM,$34.0801,1440170103632,"33,408",100% bearish,of 1 rating,$50
ABY,$19.785,1440170103737,"313,699",100% bearish,of 2 ratings,$46
ABMD,$95.2912,1440170103768,"397,362",75% bullish,of 4 ratings,$100.50
ABEO,$4.7126,1440170103825,"82,044",67% bullish,of 3 ratings,$15.50
ABEOW,$1.6901,1440170103902,947,100% bullish,of 1 rating,N/A
ABAX,$46.992,1440170103955,"45,169",100% bearish,of 1 rating,$60
ABGB,$4.01,1440170104059,"11,157",67% bullish,of 3 ratings,$5.50
AXAS,$1.5925,1440170104084,"229,685",78% bullish,of 9 ratings,$3.50
ACTG,$8.74,1440170104277,"98,871",67% bullish,of 3 ratings,$18.50
ACHC,$73.92,1440170104313,"276,992",50% bullish,of 2 ratings,$92
ANCX,$18.65,1440170104444,"15,661",Not yet rated,NULL,$19
ACST,$0.3589,1440170104470,"24,202",100% bullish,of 2 ratings,N/A
XLRN,$27.565,1440170104602,"56,021",50% bullish,of 2 ratings,$57
AXDX,$17.98,1440170104629,"58,826",100% bearish,of 1 rating,N/A
ACAD,$34.86,1440170104696,"451,405",80% bullish,of 20 ratings,$48
VXDN,$12,1440170104723,"7,050",Not yet rated,NULL,N/A
VXUP,$19.64,1440170104758,"20,334",Not yet rated,NULL,N/A
ARAY,$6.3699,1440170104900,"1,518,469",100% bearish,of 1 rating,$10.50
ACRX,$3.96,1440170104930,"211,762",67% bearish,of 6 ratings,$5.50
AKAO,$6.9325,1440170105106,"30,839",75% bullish,of 4 ratings,$15
ACIW,$22.02,1440170105240,"238,355",50% bullish,of 2 ratings,$24
ACHN,$7.7,1440170105294,"682,573",90% bullish,of 21 ratings,$16
ACET,$23.9,1440170105322,"65,921",75% bullish,of 4 ratings,$30
ACOR,$29.525,1440170105463,"183,896",67% bearish,of 3 ratings,$38.50
ACPW,$1.8632,1440170105635,"29,394",100% bullish,of 4 ratings,$3.50
ACNB,$20.17,1440170105663,500,Not yet rated,NULL,N/A
ACTS,$1.35,1440170105710,"14,755",100% bearish,of 1 rating,N/A
ACTA,$13.47,1440170105739,"63,682",67% bearish,of 3 ratings,$25
ACUR,$0.6152,1440170105809,"12,564",100% bullish,of 5 ratings,$1
ATVI,$27.29,1440170105870,"1,733,326",68% bullish,of 84 ratings,$31.50
ADMP,$3.4,1440170105901,"9,011",50% bullish,of 2 ratings,$10
ACXM,$20.28,1440170106037,"129,494",67% bullish,of 3 ratings,N/A
ADMS,$19.165,1440170106075,"26,411",100% bearish,of 2 ratings,$36
ADUS,$29.56,1440170106107,"12,340",100% bearish,of 1 rating,$31
ADAP,$13.26,1440170106234,"32,482",67% bullish,of 3 ratings,$22
AEY,$2.3,1440170106291,"10,804",100% bearish,of 2 ratings,N/A
ADEP,$6.74,1440170106341,"15,786",50% bullish,of 2 ratings,$10.75
ADBE,$79.98,1440170106603,"1,271,343",65% bullish,of 17 ratings,$90
ADTN,$15.37,1440170106670,"108,886",67% bullish,of 3 ratings,$17.125
ADXS,$14.05,1440170106698,"366,783",64% bullish,of 14 ratings,$27
MULT,NULL,1440170106729,0,100% bearish,of 1 rating,N/A
ADMA,$9.2,1440170106755,434,Not yet rated,NULL,$19
AEIS,$25.12,1440170106828,"78,056",50% bullish,of 2 ratings,$32.50
ADXSW,$9.7499,1440170106888,"1,815",100% bullish,of 1 rating,N/A
ADRO,$18.12,1440170106916,"111,320",80% bullish,of 5 ratings,$45.50
AMD,$1.7,1440170106973,"2,385,761",83% bullish,of 103 ratings,$2
YPRO,$23.29,1440170107106,100,100% bearish,of 1 rating,N/A
AEGR,$18.14,1440170107131,"118,016",50% bullish,of 6 ratings,$26
AEGN,$18,1440170107299,"66,486",100% bearish,of 1 rating,$21
AEHR,NULL,1440170107328,0,50% bullish,of 2 ratings,N/A
AMTX,$3.311,1440170107465,232,50% bullish,of 2 ratings,$26.11
AEPI,$56.479,1440170107490,"8,703",100% bearish,of 1 rating,N/A
AEMD,$6.47,1440170107660,"51,464",Not yet rated,NULL,$27.50
AEZS,$0.105,1440170107709,"1,551,008",90% bullish,of 21 ratings,$1.50
AVAV,$24.1201,1440170107735,"59,022",50% bullish,of 4 ratings,$31
AGYS,$9.56,1440170107882,"10,374",100% bearish,of 1 rating,N/A
AERI,$15.42,1440170107915,"149,910",75% bullish,of 4 ratings,$31.50
AGEN,$6.76,1440170107937,"465,217",85% bullish,of 13 ratings,$14
AFMD,$9.485,1440170107975,"90,630",50% bullish,of 4 ratings,$15
AFFX,$9.41,1440170108022,"185,674",80% bullish,of 5 ratings,$12
AGRX,$8.21,1440170108071,"20,068",100% bearish,of 1 rating,$17.50
AGIO,$84.66,1440170108205,"133,237",88% bullish,of 8 ratings,$114
AGFSW,$1.74,1440170108295,"11,097",100% bearish,of 2 ratings,N/A
AGFS,$9.75,1440170108450,"16,729",100% bearish,of 1 rating,N/A
AIMT,$21.18,1440170108524,"69,471",Not yet rated,NULL,N/A
AIRM,$36.5901,1440170108579,"83,752",80% bearish,of 5 ratings,$53
ATSG,$9.01,1440170108613,"78,063",67% bullish,of 3 ratings,$13
AMCN,$4.66,1440170108680,"155,846",83% bullish,of 6 ratings,N/A
AIXG,$6.02,1440170108741,"26,682",67% bearish,of 3 ratings,$5.25
AKAM,$68.84,1440170108785,"504,948",63% bullish,of 8 ratings,$77
AKER,$2.53,1440170108842,"81,394",Not yet rated,NULL,N/A
AKBA,$6.3,1440170108881,"81,450",100% bearish,of 1 rating,$18
AIRT,$22.46,1440170108946,50,100% bullish,of 1 rating,N/A
AKRX,$39.55,1440170109051,"271,765",78% bullish,of 9 ratings,$56
AMRI,$19.67,1440170109254,"66,465",75% bearish,of 4 ratings,$24
ALSK,$2.13,1440170109311,"27,727",78% bullish,of 18 ratings,$2
ABDC,$12.69,1440170109339,"8,506",Not yet rated,NULL,$15
ALRM,$16.36,1440170109361,"62,221",100% bearish,of 1 rating,$22
ALDX,$7.45,1440170109498,502,100% bearish,of 1 rating,$14.50
ADHD,$8.21,1440170109528,"80,936",50% bullish,of 4 ratings,$18
