FOLD,$15.97,1439677445038
AFSI,$62.9255,1439677445257
AMSGP,NULL,1439677445356
ASYS,$5.83,1439677445762
AMRS,$1.68,1439677445909
ADI,$58.84,1439677446022
ANAC,$136.22,1439677446276
ANAD,$0.3061,1439677446336
ANCB,$22.95,1439677446432
AMCF,$0.3,1439677446599
ALOG,$78.8,1439677446706
ABCW,$41.532,1439677446802
ANGO,$14.88,1439677446939
ANIP,$54.76,1439677446969
ANGI,$4.4,1439677446980
ANTH,$9.22,1439677447037
ANIK,$35.96,1439677447100
ANSS,$94.26,1439677447163
ABAC,$0.92,1439677447275
ATNY,$2.41,1439677447366
APOL,$11.77,1439677447397
AINV,$6.7571,1439677447480
APOG,$54.27,1439677447499
ATRS,$1.89,1439677447708
AAPL,$116.14,1439677447734
APIC,$8.14,1439677447756
APDN,$3.37,1439677447860
ARCI,$1.36,1439677447880
APDNW,$1.29,1439677447905
APPF,$16.75,1439677447924
AGTC,$15.64,1439677447968
AMAT,$16.64,1439677448175
AMCC,$5.85,1439677448232
AREX,$2.69,1439677448285
AAOI,$22.11,1439677448466
APRI,$1.19,1439677448496
AQXP,$22.25,1439677448665
AUMAW,$0.27,1439677448688
AQMS,$5.44,1439677448741
APTO,$5.26,1439677448804
ABUS,$8.4978,1439677448837
AUMAU,NULL,1439677448921
ARDM,$7.49,1439677448945
AUMA,$9.75,1439677448967
ARCW,$3.74,1439677448991
PETX,$16.98,1439677449055
RKDA,$4.69,1439677449233
ARCB,$32.61,1439677449287
ABIO,$0.92,1439677449347
ACGL,$73.4547,1439677449390
ACAT,$30,1439677449571
ARNA,$3.397,1439677449617
AGII,$57.86,1439677449641
ARCC,$16.14,1439677449658
ARDX,$18.91,1439677449715
AGIIL,$25.37,1439677449776
ARGS,$4.21,1439677449798
ARIA,$7.27,1439677449833
ARKR,$25.4,1439677449958
ARIS,$3.32,1439677449976
ARMH,$42.47,1439677450226
ARTX,$1.57,1439677450291
ARWAR,NULL,1439677450363
ARWA,NULL,1439677450402
ARWAW,NULL,1439677450423
ARQL,$1.69,1439677450563
AROW,$27.56,1439677450588
ARRY,$5.7,1439677450619
DWAT,$10.4642,1439677450665
ARRS,$27.5836,1439677450736
ARWR,$5.52,1439677450764
ARTW,$4.5,1439677450774
ARTNA,$22.38,1439677450801
ARWAU,$10.11,1439677450928
ASNA,$12.36,1439677451032
ASBB,$24.82,1439677451065
ASTI,$0.22,1439677451276
ASMI,$38.99,1439677451299
ASCMA,$29.02,1439677451309
ASND,$17.02,1439677451333
APWC,$2.0912,1439677451371
AZPN,$37.65,1439677451395
ASML,$92.69,1439677451494
ASMB,$13.28,1439677451540
ASFI,$9.14,1439677451584
ALOT,$13.89,1439677451712
ATRO,$60.31,1439677451736
ASTC,$2.39,1439677451769
ASTE,$38.59,1439677451907
ASUR,$6.07,1439677452005
ATAI,$3.19,1439677452092
ATRA,$47.18,1439677452103
ATHN,$138.1303,1439677452156
AAME,$3.59,1439677452169
AAPC,$10.17,1439677452200
AFCB,$28,1439677452269
ATHX,$1.19,1439677452327
ACFC,$6.1,1439677452414
ATLC,$3.98,1439677452522
ATNI,$74.13,1439677452540
AAWW,$45.06,1439677452594
AFH,$17,1439677452666
ATML,$7.81,1439677452829
ATOS,$0.98,1439677452851
ATRC,$26.46,1439677452872
ATRI,$407,1439677452897
LIFE,$14.33,1439677452953
ATRM,$3.07,1439677453032
ATTU,$14.58,1439677453082
AUDC,$3.18,1439677453144
AUBN,$27.14,1439677453161
AUPH,$3.42,1439677453281
EARS,$5.04,1439677453302
ADAT,$0.1051,1439677453407
ABTL,$19.79,1439677453457
ADSK,$54.86,1439677453479
ADP,$82.8833,1439677453638
AVGO,$122.2,1439677453650
AVNU,$13.1,1439677453675
AAVL,$10.03,1439677453688
AVNW,$1.14,1439677453803
AVEO,$1.17,1439677453831
AVID,$9.15,1439677453846
AVGR,$15.46,1439677453915
CAR,$44.07,1439677454061
ACLS,$3.21,1439677454079
AWRE,$3.23,1439677454100
AXPW,$1.19,1439677454220
AXPWW,NULL,1439677454264
AXGN,$3.78,1439677454288
AXTI,$2.21,1439677454409
BCOM,$19.49,1439677454430
BOSC,$2.24,1439677454451
RILY,$10,1439677454571
BIDU,$164.65,1439677454601
BEAV,$51.17,1439677454616
BCPC,$60.4,1439677454698
BWINB,$23.34,1439677454786
BWINA,$23.35,1439677454877
BLDP,$1.34,1439677454938
BANF,$62.967,1439677454962
BANFP,NULL,1439677455021
BKMU,$7.35,1439677455059
BOCH,$5.8,1439677455138
BMRC,$48.09,1439677455149
BOTJ,$11.18,1439677455303
OZRK,$43.87,1439677455448
BWFG,$18.28,1439677455509
BANR,$47.94,1439677455577
BFIN,$12.3,1439677455595
BKSC,$15.97,1439677455625
TAPR,$31.71,1439677455667
BZUN,$7.73,1439677455685
BHACR,NULL,1439677455741
BHAC,NULL,1439677455836
BHACW,$0.1301,1439677455953
BHACU,NULL,1439677455971
