Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
PIH,$7.54,1440857702603,"9,402",100% bearish,of 1 rating,N/A
TFSCW,$0.21,1440857702669,"1,300",100% bearish,of 1 rating,N/A
FLWS,$8.91,1440857702695,"687,314",80% bullish,of 5 ratings,$15
FCCY,$11.54,1440857702735,933,100% bullish,of 1 rating,$13
FCTY,$7.96,1440857702762,"3,400",100% bullish,of 1 rating,$8.50
SRCE,$29.44,1440857702783,"29,029",100% bullish,of 3 ratings,$33
TFSCU,NULL,1440857702822,0,Not yet rated,NULL,N/A
TFSCR,NULL,1440857702916,0,Not yet rated,NULL,N/A
TFSC,NULL,1440857702981,0,100% bearish,of 1 rating,N/A
UGLD,$9.31,1440857703114,"340,880",100% bearish,of 1 rating,N/A
DSLV,$69.51,1440857703254,"9,311",100% bearish,of 1 rating,N/A
TWOU,$34.99,1440857703284,"129,143",50% bullish,of 2 ratings,$39
DGLD,$81.1,1440857703308,"16,958",100% bullish,of 1 rating,N/A
JOBS,$27.019,1440857703349,"69,549",50% bullish,of 4 ratings,$36
VNET,$18.05,1440857703373,"541,289",60% bullish,of 5 ratings,$35
USLV,$12.45,1440857703439,"242,677",86% bullish,of 7 ratings,N/A
SIXD,$2.72,1440857703624,"111,232",Not yet rated,NULL,N/A
CAFD,$15.0196,1440857703649,"242,552",Not yet rated,NULL,$25
EGHT,$7.84,1440857703692,"384,316",82% bullish,of 17 ratings,$11
AVHI,$13.96,1440857703785,"12,911",100% bearish,of 1 rating,$19
SHLM,$34.06,1440857703839,"65,672",100% bearish,of 1 rating,$47
ABAX,$47.89,1440857703870,"108,826",100% bearish,of 1 rating,$60
ABY,$23.04,1440857703896,"423,555",100% bearish,of 2 ratings,$46
ABGB,$5.71,1440857703949,"37,255",67% bullish,of 3 ratings,$5.50
AAON,$20.51,1440857703977,"107,410",100% bearish,of 1 rating,$24
ABEO,$4.82,1440857704056,"47,964",50% bullish,of 4 ratings,$15.50
ABEOW,$1.83,1440857704112,"2,361",100% bullish,of 1 rating,N/A
AXAS,$1.92,1440857704184,"949,481",78% bullish,of 9 ratings,$3.50
ABMD,$98.23,1440857704209,"317,770",75% bullish,of 4 ratings,$100.50
ACTG,$9.43,1440857704344,"194,247",67% bullish,of 3 ratings,$18.50
ACST,$0.3694,1440857704431,"9,260",100% bullish,of 2 ratings,N/A
ACHC,$74.2503,1440857704459,"344,347",50% bullish,of 2 ratings,$92
AXDX,$19.1,1440857704592,"112,407",100% bearish,of 1 rating,N/A
ACAD,$38.17,1440857704618,"436,567",80% bullish,of 20 ratings,$48
XLRN,$29.71,1440857704649,"89,309",50% bullish,of 2 ratings,$57
ANCX,$20.01,1440857704670,"20,165",Not yet rated,NULL,$20
VXDN,$1.96,1440857704752,"24,710",100% bearish,of 1 rating,N/A
VXUP,$1.6,1440857704806,"49,457",100% bearish,of 1 rating,N/A
ARAY,$6.77,1440857704882,"691,224",100% bearish,of 1 rating,$10.50
ACRX,$4.24,1440857704975,"310,833",67% bearish,of 6 ratings,$5.50
ACHN,$7.76,1440857705004,"1,462,742",90% bullish,of 21 ratings,$16
ACET,$22.76,1440857705025,"83,357",75% bullish,of 4 ratings,$30
AKAO,$6.99,1440857705059,"38,455",75% bullish,of 4 ratings,$15
ACIW,$21.38,1440857705156,"288,136",67% bearish,of 3 ratings,$24
ACTS,$1.6,1440857705324,"49,648",100% bearish,of 1 rating,N/A
ACNB,$19.85,1440857705359,"4,210",Not yet rated,NULL,N/A
ACPW,$1.81,1440857705456,"38,604",100% bullish,of 4 ratings,$3.50
ACOR,$32.73,1440857705485,"557,265",67% bearish,of 3 ratings,$38.50
ACTA,$14.02,1440857705511,"90,621",67% bearish,of 3 ratings,$25
