Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
FCCY,NULL,1440789002145,0,100% bullish,of 1 rating,$13
FCTY,$7.75,1440789002204,"3,100",100% bullish,of 1 rating,$8.50
FLWS,$8.66,1440789002275,"484,064",80% bullish,of 5 ratings,$15
SRCE,$29.5,1440789002552,"21,508",100% bullish,of 3 ratings,$33
VNET,$18.1,1440789002683,"401,889",60% bullish,of 5 ratings,$35
TWOU,$35.15,1440789002708,"103,356",50% bullish,of 2 ratings,$39
DGLD,$81.198,1440789003029,"16,038",100% bullish,of 1 rating,N/A
DSLV,$69.6171,1440789003186,"7,031",100% bearish,of 1 rating,N/A
UGLD,$9.3005,1440789003235,"281,523",100% bearish,of 1 rating,N/A
USLV,$12.4304,1440789003422,"214,963",86% bullish,of 7 ratings,N/A
JOBS,$27.2,1440789003597,"32,400",50% bullish,of 4 ratings,$36
CAFD,$15.08,1440789004004,"133,511",Not yet rated,NULL,$25
SIXD,$2.668,1440789004135,"88,064",Not yet rated,NULL,N/A
EGHT,$7.865,1440789004292,"136,092",82% bullish,of 17 ratings,$11
SHLM,$33.93,1440789004482,"22,324",100% bearish,of 1 rating,$47
AVHI,$13.93,1440789004507,"8,931",100% bearish,of 1 rating,$19
ABAX,$47.51,1440789004675,"60,455",100% bearish,of 1 rating,$60
AAON,$20.5,1440789004855,"45,936",100% bearish,of 1 rating,$24
ABY,$22.84,1440789005036,"293,889",100% bearish,of 2 ratings,$46
ABGB,$5.65,1440789005063,"28,463",67% bullish,of 3 ratings,$5.50
ABEO,$4.7925,1440789005333,"35,164",50% bullish,of 4 ratings,$15.50
ABEOW,$1.8301,1440789005561,"1,961",100% bullish,of 1 rating,N/A
AXAS,$1.909,1440789005803,"763,983",78% bullish,of 9 ratings,$3.50
ABMD,$98.12,1440789005958,"206,778",75% bullish,of 4 ratings,$100.50
ACTG,$9.37,1440789006053,"116,236",67% bullish,of 3 ratings,$18.50
ACHC,$74.36,1440789006223,"209,833",50% bullish,of 2 ratings,$92
ACAD,$38.03,1440789006384,"260,700",80% bullish,of 20 ratings,$48
